Nuclide ; I-134 
Element ; Iodine
Z ; 53
Daughter(s) ; (B-) ; Xe-134 ; 100
Q- ; 4065
Possible parent(s) ; (B-) ; Te-134 ; 100
Half-life (min) ; 52.5 ; 0.2
Half-life (s) ; 3.150E3 ; 0.012E3
Decay constant (1/s) ; 220.0E-6 ; 0.8E-6
Specific activity (Bq/g) ; 988.9E15 ; 3.8E15
Reference ; NDS 34 - 1999
Emissions (93 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.58 ;  ; 0.24 ; 0.08 ; XL ; Xe ;  ;  ; 
29.459 ;  ; 0.60 ; 0.03 ; XKa2 ; Xe ;  ;  ; 
29.779 ;  ; 1.11 ; 0.05 ; XKa1 ; Xe ;  ;  ; 
33.6893 ;  ; 0.328 ; 0.015 ; XK'b1 ; Xe ;  ;  ; 
34.4877 ;  ; 0.077 ; 0.004 ; XK'b2 ; Xe ;  ;  ; 
135.399 ; 0.022 ; 4.10 ; 0.29 ; g ; Xe-134 ; -1 ; 0 ; 
139.03 ; 0.03 ; 0.77 ; 0.05 ; g ; Xe-134 ; -1 ; 1 ; 
151.98 ; 0.15 ; 0.106 ; 0.012 ; g ; Xe-134 ; -1 ; 2 ; 
162.48 ; 0.07 ; 0.30 ; 0.04 ; g ; Xe-134 ; -1 ; 3 ; 
188.47 ; 0.04 ; 0.79 ; 0.06 ; g ; Xe-134 ; -1 ; 4 ; 
217.0 ; 0.2 ; 0.25 ; 0.03 ; g ; Xe-134 ; -1 ; 5 ; 
235.471 ; 0.026 ; 2.19 ; 0.19 ; g ; Xe-134 ; -1 ; 6 ; 
278.80 ; 0.15 ; 0.153 ; 0.019 ; g ; Xe-134 ; -1 ; 7 ; 
319.81 ; 0.06 ; 0.47 ; 0.04 ; g ; Xe-134 ; -1 ; 8 ; 
351.08 ; 0.10 ; 0.50 ; 0.06 ; g ; Xe-134 ; -1 ; 9 ; 
405.451 ; 0.020 ; 7.35 ; 0.38 ; g ; Xe-134 ; -1 ; 10 ; 
411.00 ; 0.08 ; 0.56 ; 0.06 ; g ; Xe-134 ; -1 ; 11 ; 
433.345 ; 0.030 ; 4.20 ; 0.19 ; g ; Xe-134 ; -1 ; 12 ; 
458.92 ; 0.06 ; 1.3 ; 0.1 ; g ; Xe-134 ; -1 ; 13 ; 
465.5 ; 0.1 ; 0.36 ; 0.04 ; g ; Xe-134 ; -1 ; 14 ; 
488.88 ; 0.04 ; 1.43 ; 0.10 ; g ; Xe-134 ; -1 ; 15 ; 
514.40 ; 0.03 ; 2.21 ; 0.13 ; g ; Xe-134 ; -1 ; 16 ; 
540.825 ; 0.025 ; 7.63 ; 0.38 ; g ; Xe-134 ; -1 ; 17 ; 
565.52 ; 0.04 ; 0.94 ; 0.07 ; g ; Xe-134 ; -1 ; 18 ; 
570.75 ; 0.15 ; 0.34 ; 0.08 ; g ; Xe-134 ; -1 ; 19 ; 
595.362 ; 0.020 ; 11.2 ; 0.6 ; g ; Xe-134 ; -1 ; 20 ; 
621.790 ; 0.025 ; 10.6 ; 0.6 ; g ; Xe-134 ; -1 ; 21 ; 
627.96 ; 0.03 ; 2.20 ; 0.13 ; g ; Xe-134 ; -1 ; 22 ; 
677.338 ; 0.030 ; 7.8 ; 0.5 ; g ; Xe-134 ; -1 ; 23 ; 
706.65 ; 0.10 ; 0.83 ; 0.06 ; g ; Xe-134 ; -1 ; 24 ; 
730.74 ; 0.04 ; 1.82 ; 0.11 ; g ; Xe-134 ; -1 ; 25 ; 
739.18 ; 0.08 ; 0.71 ; 0.07 ; g ; Xe-134 ; -1 ; 26 ; 
766.675 ; 0.035 ; 4.10 ; 0.29 ; g ; Xe-134 ; -1 ; 27 ; 
816.38 ; 0.07 ; 0.59 ; 0.05 ; g ; Xe-134 ; -1 ; 28 ; 
847.025 ; 0.025 ; 95.4 ; 1.9 ; g ; Xe-134 ; -1 ; 29 ; 
857.285 ; 0.030 ; 6.96 ; 0.19 ; g ; Xe-134 ; -1 ; 30 ; 
864.0 ; 0.3 ; 0.19 ; 0.03 ; g ; Xe-134 ; -1 ; 31 ; 
884.090 ; 0.025 ; 64.9 ; 1.0 ; g ; Xe-134 ; -1 ; 32 ; 
922.6 ; 0.3 ; 0.14 ; 0.03 ; g ; Xe-134 ; -1 ; 33 ; 
947.86 ; 0.04 ; 4.01 ; 0.19 ; g ; Xe-134 ; -1 ; 34 ; 
966.90 ; 0.05 ; 0.36 ; 0.05 ; g ; Xe-134 ; -1 ; 35 ; 
974.670 ; 0.035 ; 4.77 ; 0.29 ; g ; Xe-134 ; -1 ; 36 ; 
1040.25 ; 0.10 ; 1.91 ; 0.19 ; g ; Xe-134 ; -1 ; 37 ; 
1052.2 ; 0.3 ; 0.067 ; 0.019 ; g ; Xe-134 ; -1 ; 38 ; 
1058.8 ; 0.3 ; 0.095 ; 0.029 ; g ; Xe-134 ; -1 ; 39 ; 
1072.55 ; 0.03 ; 15.0 ; 0.8 ; g ; Xe-134 ; -1 ; 40 ; 
1087.0 ; 0.2 ; 0.086 ; 0.019 ; g ; Xe-134 ; -1 ; 41 ; 
1100.07 ; 0.12 ; 0.69 ; 0.06 ; g ; Xe-134 ; -1 ; 42 ; 
1103.18 ; 0.12 ; 0.73 ; 0.06 ; g ; Xe-134 ; -1 ; 43 ; 
1136.160 ; 0.035 ; 9.2 ; 0.5 ; g ; Xe-134 ; -1 ; 44 ; 
1159.10 ; 0.08 ; 0.33 ; 0.03 ; g ; Xe-134 ; -1 ; 45 ; 
