Nuclide ; I-135 
Element ; Iodine
Z ; 53
Daughter(s) ; (B-) ; Xe-135 ; 100
Q- ; 2648
Half-life (h) ; 6.57 ; 0.02
Half-life (s) ; 23.65E3 ; 0.07E3
Decay constant (1/s) ; 29.31E-6 ; 0.09E-6
Specific activity (Bq/g) ; 130.73E15 ; 0.40E15
Reference ; NDS 84 - 1999
Emissions (94 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.58 ;  ; 0.053 ; 0.016 ; XL ; Xe ;  ;  ; 
29.459 ;  ; 0.128 ; 0.004 ; XKa2 ; Xe ;  ;  ; 
29.779 ;  ; 0.237 ; 0.008 ; XKa1 ; Xe ;  ;  ; 
33.6893 ;  ; 0.070 ; 0.003 ; XK'b1 ; Xe ;  ;  ; 
34.4877 ;  ; 0.0165 ; 0.0006 ; XK'b2 ; Xe ;  ;  ; 
112.8 ;  ; 0.0126 ; 0.0004 ; g ; Xe-135 ; -1 ; 0 ; 
113.1 ;  ; 0.00689 ; 0.00022 ; g ; Xe-135 ; -1 ; 1 ; 
162.65 ; 0.11 ; 0.010 ; 0.003 ; g ; Xe-135 ; -1 ; 2 ; 
165.74 ; 0.06 ; 0.031 ; 0.003 ; g ; Xe-135 ; -1 ; 3 ; 
184.49 ; 0.08 ; 0.0235 ; 0.0025 ; g ; Xe-135 ; -1 ; 4 ; 
197.19 ; 0.07 ; 0.033 ; 0.003 ; g ; Xe-135 ; -1 ; 5 ; 
220.502 ; 0.015 ; 1.75 ; 0.07 ; g ; Xe-135 ; -1 ; 6 ; 
229.72 ; 0.03 ; 0.241 ; 0.008 ; g ; Xe-135 ; -1 ; 7 ; 
247.5 ; 0.3 ; 0.029 ; 0.009 ; g ; Xe-135 ; -1 ; 8 ; 
254.74 ; 0.13 ; 0.023 ; 0.009 ; g ; Xe-135 ; -1 ; 9 ; 
264.26 ; 0.09 ; 0.184 ; 0.007 ; g ; Xe-135 ; -1 ; 10 ; 
288.451 ; 0.016 ; 3.10 ; 0.12 ; g ; Xe-135 ; -1 ; 11 ; 
290.27 ; 0.04 ; 0.304 ; 0.020 ; g ; Xe-135 ; -1 ; 12 ; 
304.91 ; 0.13 ; 0.032 ; 0.003 ; g ; Xe-135 ; -1 ; 13 ; 
305.83 ; 0.09 ; 0.095 ; 0.004 ; g ; Xe-135 ; -1 ; 14 ; 
326.0 ; 0.2 ; 0.0023 ; 0.0018 ; g ; Xe-135 ; -1 ; 15 ; 
333.6 ; 0.2 ; 0.037 ; 0.003 ; g ; Xe-135 ; -1 ; 16 ; 
342.52 ; 0.12 ; 0.0009 ; 0.0006 ; g ; Xe-135 ; -1 ; 17 ; 
361.85 ; 0.13 ; 0.187 ; 0.024 ; g ; Xe-135 ; -1 ; 18 ; 
403.03 ; 0.04 ; 0.232 ; 0.008 ; g ; Xe-135 ; -1 ; 19 ; 
414.83 ; 0.03 ; 0.301 ; 0.018 ; g ; Xe-135 ; -1 ; 20 ; 
417.633 ; 0.022 ; 3.53 ; 0.12 ; g ; Xe-135 ; -1 ; 21 ; 
429.93 ; 0.03 ; 0.304 ; 0.023 ; g ; Xe-135 ; -1 ; 22 ; 
433.741 ; 0.019 ; 0.554 ; 0.023 ; g ; Xe-135 ; -1 ; 23 ; 
451.63 ; 0.03 ; 0.316 ; 0.018 ; g ; Xe-135 ; -1 ; 24 ; 
530.8 ; 0.4 ; 0.032 ; 0.015 ; g ; Xe-135 ; -1 ; 25 ; 
546.557 ; 0.016 ; 7.15 ; 0.24 ; g ; Xe-135 ; -1 ; 26 ; 
575.97 ; 0.08 ; 0.129 ; 0.024 ; g ; Xe-135 ; -1 ; 27 ; 
588.28 ; 0.06 ; 0.052 ; 0.015 ; g ; Xe-135 ; -1 ; 28 ; 
616.9 ; 0.2 ; 0.037 ; 0.018 ; g ; Xe-135 ; -1 ; 29 ; 
649.85 ; 0.04 ; 0.46 ; 0.03 ; g ; Xe-135 ; -1 ; 30 ; 
656.09 ; 0.10 ; 0.075 ; 0.015 ; g ; Xe-135 ; -1 ; 31 ; 
679.22 ; 0.15 ; 0.055 ; 0.015 ; g ; Xe-135 ; -1 ; 32 ; 
684.6 ; 0.2 ; 0.023 ; 0.009 ; g ; Xe-135 ; -1 ; 33 ; 
690.13 ; 0.05 ; 0.129 ; 0.015 ; g ; Xe-135 ; -1 ; 34 ; 
707.92 ; 0.04 ; 0.66 ; 0.04 ; g ; Xe-135 ; -1 ; 35 ; 
785.48 ; 0.05 ; 0.152 ; 0.018 ; g ; Xe-135 ; -1 ; 36 ; 
795.5 ; 0.4 ; 0.023 ; 0.023 ; g ; Xe-135 ; -1 ; 37 ; 
797.71 ; 0.08 ; 0.17 ; 0.03 ; g ; Xe-135 ; -1 ; 38 ; 
807.2 ; 0.3 ; 0.046 ; 0.018 ; g ; Xe-135 ; -1 ; 39 ; 
836.804 ; 0.016 ; 6.69 ; 0.23 ; g ; Xe-135 ; -1 ; 40 ; 
960.3 ;  ; 0.03 ; 0.03 ; g ; Xe-135 ; -1 ; 41 ; 
961.4 ;  ; 0.15 ; 0.03 ; g ; Xe-135 ; -1 ; 42 ; 
972 ;  ; 0.89 ; 0.04 ; g ; Xe-135 ; -1 ; 43 ; 
972.6 ;  ; 1.21 ; 0.05 ; g ; Xe-135 ; -1 ; 44 ; 
995.09 ; 0.10 ; 0.15 ; 0.03 ; g ; Xe-135 ; -1 ; 45 ; 
1038.760 ; 0.021 ; 7.9 ; 0.3 ; g ; Xe-135 ; -1 ; 46 ; 
1096.86 ; 0.10 ; 0.089 ; 0.015 ; g ; Xe-135 ; -1 ; 47 ; 
1101.58 ; 0.03 ; 1.61 ; 0.06 ; g ; Xe-135 ; -1 ; 48 ; 
1124.00 ; 0.03 ; 3.62 ; 0.12 ; g ; Xe-135 ; -1 ; 49 ; 
1131.511 ; 0.018 ; 22.6 ; 0.8 ; g ; Xe-135 ; -1 ; 50 ; 
1152 ;  ; 0.01 ; 0.01 ; g ; Xe-135 ; -1 ; 51 ; 
1159.9 ; 0.2 ; 0.103 ; 0.024 ; g ; Xe-135 ; -1 ; 52 ; 
1169.04 ; 0.04 ; 0.88 ; 0.04 ; g ; Xe-135 ; -1 ; 53 ; 
1225.6 ; 0.3 ; 0.043 ; 0.018 ; g ; Xe-135 ; -1 ; 54 ; 
1240.47 ; 0.03 ; 0.9 ; 0.4 ; g ; Xe-135 ; -1 ; 55 ; 
1254.8 ; 1.0 ; 0.0057 ; 0.0029 ; g ; Xe-135 ; -1 ; 56 ; 
1260.409 ; 0.017 ; 28.7 ; 0.9 ; g ; Xe-135 ; -1 ; 58 ; 
1277.83 ; 0.12 ; 0.058 ; 0.003 ; g ; Xe-135 ; -1 ; 85 ; 
1315.77 ; 0.11 ; 0.066 ; 0.018 ; g ; Xe-135 ; -1 ; 59 ; 
1334.8 ; 0.2 ; 0.032 ; 0.009 ; g ; Xe-135 ; -1 ; 60 ; 
1343.66 ; 0.09 ; 0.077 ; 0.012 ; g ; Xe-135 ; -1 ; 61 ; 
1367.89 ; 0.04 ; 0.61 ; 0.03 ; g ; Xe-135 ; -1 ; 62 ; 
1416.3 ; 0.4 ; 0.031 ; 0.009 ; g ; Xe-135 ; -1 ; 86 ; 
1441.8 ; 0.5 ; 0.017 ; 0.012 ; g ; Xe-135 ; -1 ; 63 ; 
1448.35 ; 0.10 ; 0.32 ; 0.03 ; g ; Xe-135 ; -1 ; 64 ; 
1457.56 ; 0.03 ; 8.7 ; 0.3 ; g ; Xe-135 ; -1 ; 65 ; 
1502.79 ; 0.04 ; 1.08 ; 0.05 ; g ; Xe-135 ; -1 ; 66 ; 
1521.99 ; 0.13 ; 0.037 ; 0.018 ; g ; Xe-135 ; -1 ; 67 ; 
1543.7 ; 0.2 ; 0.026 ; 0.009 ; g ; Xe-135 ; -1 ; 68 ; 
1566.41 ; 0.03 ; 1.29 ; 0.05 ; g ; Xe-135 ; -1 ; 69 ; 
1613.75 ; 0.14 ; 0.026 ; 0.006 ; g ; Xe-135 ; -1 ; 87 ; 
1678.027 ; 0.021 ; 9.6 ; 0.4 ; g ; Xe-135 ; -1 ; 70 ; 
1706.459 ; 0.021 ; 4.10 ; 0.17 ; g ; Xe-135 ; -1 ; 71 ; 
1791.196 ; 0.021 ; 7.72 ; 0.25 ; g ; Xe-135 ; -1 ; 72 ; 
1830.69 ; 0.04 ; 0.58 ; 0.03 ; g ; Xe-135 ; -1 ; 73 ; 
1845.3 ; 0.4 ; 0.006 ; 0.003 ; g ; Xe-135 ; -1 ; 74 ; 
1927.30 ; 0.03 ; 0.296 ; 0.015 ; g ; Xe-135 ; -1 ; 75 ; 
1948.49 ; 0.05 ; 0.063 ; 0.006 ; g ; Xe-135 ; -1 ; 76 ; 
2045.88 ; 0.03 ; 0.87 ; 0.04 ; g ; Xe-135 ; -1 ; 77 ; 
2112.4 ; 0.5 ; 0.069 ; 0.004 ; g ; Xe-135 ; -1 ; 78 ; 
2151.5 ; 0.1 ; 0.022 ; 0.003 ; g ; Xe-135 ; -1 ; 79 ; 
2179.7 ; 0.5 ; 0.004 ; 0.002 ; g ; Xe-135 ; -1 ; 88 ; 
2189.4 ; 0.2 ; 0.013 ; 0.003 ; g ; Xe-135 ; -1 ; 80 ; 
2255.457 ; 0.022 ; 0.61 ; 0.03 ; g ; Xe-135 ; -1 ; 81 ; 
2408.65 ; 0.03 ; 0.96 ; 0.04 ; g ; Xe-135 ; -1 ; 82 ; 
2452.8 ; 0.8 ; 0.009 ; 0.006 ; g ; Xe-135 ; -1 ; 89 ; 
2466.07 ; 0.10 ; 0.072 ; 0.004 ; g ; Xe-135 ; -1 ; 83 ; 
2477.1 ; 0.4 ; 0.0014 ; 0.0003 ; g ; Xe-135 ; -1 ; 84 ; 
==================================================================================================================
