Nuclide ; I-137 
Element ; Iodine
Z ; 53
Daughter(s) ; (B-) ; Xe-137 ; 100
Q- ; 6027
Half-life (s) ; 24.5 ; 0.2
Decay constant (1/s) ; 28.29E-3 ; 0.23E-3
Specific activity (Bq/g) ; 124.4E18 ; 1.0E18
Reference ; NDS 59 - 1999
Emissions (350 lines) sorted by nuclide and by increasing energy
------------------------------------------------------ I-137 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
252.83 ; 0.07 ; 0.14 ;  ; g ; Xe-137 ; -1 ; 0 ; I-137
283.78 ; 0.10 ; 0.073 ;  ; g ; Xe-137 ; -1 ; 1 ; I-137
316.28 ; 0.20 ; 0.087 ;  ; g ; Xe-137 ; -1 ; 2 ; I-137
377.77 ; 0.30 ; 0.032 ;  ; g ; Xe-137 ; -1 ; 3 ; I-137
385.15 ; 0.07 ; 0.46 ;  ; g ; Xe-137 ; -1 ; 4 ; I-137
394.52 ; 0.07 ; 0.46 ;  ; g ; Xe-137 ; -1 ; 5 ; I-137
408.31 ; 0.20 ; 0.052 ;  ; g ; Xe-137 ; -1 ; 6 ; I-137
412.97 ; 0.15 ; 0.098 ;  ; g ; Xe-137 ; -1 ; 7 ; I-137
431.82 ; 0.15 ; 0.052 ;  ; g ; Xe-137 ; -1 ; 8 ; I-137
435.28 ; 0.07 ; 0.34 ;  ; g ; Xe-137 ; -1 ; 9 ; I-137
442.4 ; 0.3 ; 0.027 ;  ; g ; Xe-137 ; -1 ; 10 ; I-137
463.9 ; 0.3 ; 0.25 ;  ; g ; Xe-137 ; -1 ; 11 ; I-137
477.98 ; 0.07 ; 0.39 ;  ; g ; Xe-137 ; -1 ; 12 ; I-137
527.92 ; 0.30 ; 0.075 ;  ; g ; Xe-137 ; -1 ; 13 ; I-137
532.49 ; 0.10 ; 0.18 ;  ; g ; Xe-137 ; -1 ; 14 ; I-137
538.85 ; 0.20 ; 0.08 ;  ; g ; Xe-137 ; -1 ; 15 ; I-137
547.20 ; 0.07 ; 0.24 ;  ; g ; Xe-137 ; -1 ; 16 ; I-137
565.73 ; 0.10 ; 0.11 ;  ; g ; Xe-137 ; -1 ; 17 ; I-137
570.51 ; 0.07 ; 0.24 ;  ; g ; Xe-137 ; -1 ; 18 ; I-137
576.01 ; 0.07 ; 0.53 ;  ; g ; Xe-137 ; -1 ; 19 ; I-137
578.22 ; 0.07 ; 0.4 ;  ; g ; Xe-137 ; -1 ; 20 ; I-137
601.05 ; 0.07 ; 4.8 ;  ; g ; Xe-137 ; -1 ; 21 ; I-137
613.8 ; 0.3 ; 0.036 ;  ; g ; Xe-137 ; -1 ; 22 ; I-137
620.71 ; 0.30 ; 0.032 ;  ; g ; Xe-137 ; -1 ; 23 ; I-137
633.46 ; 0.07 ; 0.27 ;  ; g ; Xe-137 ; -1 ; 24 ; I-137
647.91 ; 0.40 ; 0.057 ;  ; g ; Xe-137 ; -1 ; 25 ; I-137
655.29 ; 0.20 ; 0.14 ;  ; g ; Xe-137 ; -1 ; 26 ; I-137
659.21 ; 0.10 ; 0.4 ;  ; g ; Xe-137 ; -1 ; 27 ; I-137
673.36 ; 0.20 ; 0.043 ;  ; g ; Xe-137 ; -1 ; 28 ; I-137
678.07 ; 0.20 ; 0.05 ;  ; g ; Xe-137 ; -1 ; 29 ; I-137
682.00 ; 0.07 ; 0.2 ;  ; g ; Xe-137 ; -1 ; 30 ; I-137
694.61 ; 0.20 ; 0.16 ;  ; g ; Xe-137 ; -1 ; 31 ; I-137
701.79 ; 0.07 ; 0.43 ;  ; g ; Xe-137 ; -1 ; 32 ; I-137
709.71 ; 0.10 ; 0.28 ;  ; g ; Xe-137 ; -1 ; 33 ; I-137
725.52 ; 0.15 ; 0.11 ;  ; g ; Xe-137 ; -1 ; 34 ; I-137
727.31 ; 0.15 ; 0.07 ;  ; g ; Xe-137 ; -1 ; 35 ; I-137
746.24 ; 0.30 ; 0.066 ;  ; g ; Xe-137 ; -1 ; 36 ; I-137
773.16 ; 0.07 ; 0.94 ;  ; g ; Xe-137 ; -1 ; 37 ; I-137
777.92 ; 0.40 ; 0.055 ;  ; g ; Xe-137 ; -1 ; 38 ; I-137
786.1 ; 0.5 ; 0.048 ;  ; g ; Xe-137 ; -1 ; 39 ; I-137
796.09 ; 0.15 ; 0.1 ;  ; g ; Xe-137 ; -1 ; 40 ; I-137
811.84 ; 0.07 ; 0.23 ;  ; g ; Xe-137 ; -1 ; 41 ; I-137
830.7 ; 0.2 ; 0.057 ;  ; g ; Xe-137 ; -1 ; 42 ; I-137
834.4 ; 0.3 ; 0.043 ;  ; g ; Xe-137 ; -1 ; 43 ; I-137
852.4 ; 0.3 ; 0.052 ;  ; g ; Xe-137 ; -1 ; 44 ; I-137
863.27 ; 0.20 ; 0.089 ;  ; g ; Xe-137 ; -1 ; 45 ; I-137
867.75 ; 0.20 ; 0.12 ;  ; g ; Xe-137 ; -1 ; 46 ; I-137
869.92 ; 0.20 ; 0.14 ;  ; g ; Xe-137 ; -1 ; 47 ; I-137
877.15 ; 0.20 ; 0.073 ;  ; g ; Xe-137 ; -1 ; 48 ; I-137
882.13 ; 0.07 ; 0.31 ;  ; g ; Xe-137 ; -1 ; 49 ; I-137
888.43 ; 0.15 ; 0.1 ;  ; g ; Xe-137 ; -1 ; 50 ; I-137
893.42 ; 0.07 ; 0.34 ;  ; g ; Xe-137 ; -1 ; 51 ; I-137
909.33 ; 0.15 ; 0.11 ;  ; g ; Xe-137 ; -1 ; 52 ; I-137
927.1 ; 0.3 ; 0.17 ;  ; g ; Xe-137 ; -1 ; 53 ; I-137
937.19 ; 0.20 ; 0.18 ;  ; g ; Xe-137 ; -1 ; 54 ; I-137
941.41 ; 0.07 ; 0.67 ;  ; g ; Xe-137 ; -1 ; 55 ; I-137
950.85 ; 0.20 ; 0.082 ;  ; g ; Xe-137 ; -1 ; 56 ; I-137
973.49 ; 0.15 ; 0.12 ;  ; g ; Xe-137 ; -1 ; 57 ; I-137
978.18 ; 0.20 ; 0.087 ;  ; g ; Xe-137 ; -1 ; 58 ; I-137
1019.32 ; 0.15 ; 0.073 ;  ; g ; Xe-137 ; -1 ; 59 ; I-137
1066.9 ; 0.3 ; 0.3 ;  ; g ; Xe-137 ; -1 ; 60 ; I-137
1100.4 ; 0.3 ; 0.046 ;  ; g ; Xe-137 ; -1 ; 61 ; I-137
1103.6 ; 0.3 ; 0.057 ;  ; g ; Xe-137 ; -1 ; 62 ; I-137
1123.9 ; 0.5 ; 0.032 ;  ; g ; Xe-137 ; -1 ; 63 ; I-137
1127.59 ; 0.10 ; 0.17 ;  ; g ; Xe-137 ; -1 ; 64 ; I-137
1136.06 ; 0.30 ; 0.043 ;  ; g ; Xe-137 ; -1 ; 65 ; I-137
1150.35 ; 0.10 ; 0.2 ;  ; g ; Xe-137 ; -1 ; 66 ; I-137
1158.42 ; 0.15 ; 0.094 ;  ; g ; Xe-137 ; -1 ; 67 ; I-137
1165.00 ; 0.15 ; 0.096 ;  ; g ; Xe-137 ; -1 ; 68 ; I-137
1205.1 ; 0.6 ; 0.17 ;  ; g ; Xe-137 ; -1 ; 69 ; I-137
1218.0 ; 0.1 ; 12.8 ;  ; g ; Xe-137 ; -1 ; 70 ; I-137
1220.07 ; 0.15 ; 3.5 ;  ; g ; Xe-137 ; -1 ; 71 ; I-137
1224.01 ; 0.20 ; 0.24 ;  ; g ; Xe-137 ; -1 ; 72 ; I-137
1236.67 ; 0.20 ; 0.066 ;  ; g ; Xe-137 ; -1 ; 73 ; I-137
1243.0 ; 0.7 ; 0.018 ;  ; g ; Xe-137 ; -1 ; 74 ; I-137
1248.55 ; 0.07 ; 0.51 ;  ; g ; Xe-137 ; -1 ; 75 ; I-137
1256.76 ; 0.15 ; 0.089 ;  ; g ; Xe-137 ; -1 ; 76 ; I-137
1268.48 ; 0.40 ; 0.039 ;  ; g ; Xe-137 ; -1 ; 77 ; I-137
1275.27 ; 0.30 ; 0.048 ;  ; g ; Xe-137 ; -1 ; 78 ; I-137
1302.64 ; 0.07 ; 4.42 ;  ; g ; Xe-137 ; -1 ; 79 ; I-137
1330.4 ; 0.3 ; 0.062 ;  ; g ; Xe-137 ; -1 ; 80 ; I-137
1334.94 ; 0.07 ; 0.42 ;  ; g ; Xe-137 ; -1 ; 81 ; I-137
1346.7 ; 0.5 ; 0.034 ;  ; g ; Xe-137 ; -1 ; 82 ; I-137
1351.02 ; 0.10 ; 0.14 ;  ; g ; Xe-137 ; -1 ; 83 ; I-137
1357.37 ; 0.15 ; 0.18 ;  ; g ; Xe-137 ; -1 ; 84 ; I-137
1366.77 ; 0.20 ; 0.13 ;  ; g ; Xe-137 ; -1 ; 85 ; I-137
1396.03 ; 0.10 ; 0.15 ;  ; g ; Xe-137 ; -1 ; 86 ; I-137
1400.85 ; 0.30 ; 0.064 ;  ; g ; Xe-137 ; -1 ; 87 ; I-137
1409.75 ; 0.15 ; 0.15 ;  ; g ; Xe-137 ; -1 ; 88 ; I-137
1439.0 ; 0.7 ; 0.048 ;  ; g ; Xe-137 ; -1 ; 89 ; I-137
1446.08 ; 0.30 ; 0.05 ;  ; g ; Xe-137 ; -1 ; 90 ; I-137
1456.39 ; 0.10 ; 0.21 ;  ; g ; Xe-137 ; -1 ; 91 ; I-137
1488.62 ; 0.20 ; 0.16 ;  ; g ; Xe-137 ; -1 ; 92 ; I-137
1497.19 ; 0.20 ; 0.11 ;  ; g ; Xe-137 ; -1 ; 93 ; I-137
1506.79 ; 0.40 ; 0.078 ;  ; g ; Xe-137 ; -1 ; 94 ; I-137
1512.16 ; 0.07 ; 1.24 ;  ; g ; Xe-137 ; -1 ; 95 ; I-137
1534.32 ; 0.07 ; 3.24 ;  ; g ; Xe-137 ; -1 ; 96 ; I-137
1543.3 ; 0.3 ; 0.1 ;  ; g ; Xe-137 ; -1 ; 97 ; I-137
1553.98 ; 0.15 ; 0.21 ;  ; g ; Xe-137 ; -1 ; 98 ; I-137
1580.21 ; 0.40 ; 0.05 ;  ; g ; Xe-137 ; -1 ; 99 ; I-137
1600.06 ; 0.30 ; 0.046 ;  ; g ; Xe-137 ; -1 ; 100 ; I-137
1617.05 ; 0.40 ; 0.032 ;  ; g ; Xe-137 ; -1 ; 101 ; I-137
1628.35 ; 0.15 ; 0.1 ;  ; g ; Xe-137 ; -1 ; 102 ; I-137
1680.54 ; 0.15 ; 0.12 ;  ; g ; Xe-137 ; -1 ; 103 ; I-137
1696.78 ; 0.20 ; 0.1 ;  ; g ; Xe-137 ; -1 ; 104 ; I-137
1704.67 ; 0.40 ; 0.055 ;  ; g ; Xe-137 ; -1 ; 105 ; I-137
1715.51 ; 0.10 ; 0.42 ;  ; g ; Xe-137 ; -1 ; 106 ; I-137
1720.05 ; 0.15 ; 0.2 ;  ; g ; Xe-137 ; -1 ; 107 ; I-137
1755.22 ; 0.15 ; 0.23 ;  ; g ; Xe-137 ; -1 ; 108 ; I-137
1766.12 ; 0.10 ; 1.24 ;  ; g ; Xe-137 ; -1 ; 109 ; I-137
1773.84 ; 0.20 ; 0.066 ;  ; g ; Xe-137 ; -1 ; 110 ; I-137
1788.18 ; 0.15 ; 0.12 ;  ; g ; Xe-137 ; -1 ; 111 ; I-137
1804.95 ; 0.10 ; 0.32 ;  ; g ; Xe-137 ; -1 ; 112 ; I-137
1808.75 ; 0.10 ; 0.79 ;  ; g ; Xe-137 ; -1 ; 113 ; I-137
1820.56 ; 0.10 ; 0.23 ;  ; g ; Xe-137 ; -1 ; 114 ; I-137
1832.28 ; 0.20 ; 0.1 ;  ; g ; Xe-137 ; -1 ; 115 ; I-137
1835.02 ; 0.40 ; 0.057 ;  ; g ; Xe-137 ; -1 ; 116 ; I-137
1849.38 ; 0.15 ; 0.2 ;  ; g ; Xe-137 ; -1 ; 117 ; I-137
1853.3 ; 0.5 ; 0.055 ;  ; g ; Xe-137 ; -1 ; 118 ; I-137
1856.4 ; 0.7 ; 0.05 ;  ; g ; Xe-137 ; -1 ; 119 ; I-137
