Nuclide ; Ir-194 
Element ; Iridium
Z ; 77
Daughter(s) ; (B-) ; Pt-194 ; 100
Q- ; 2246.8
Half-life (h) ; 19.3 ; 0.1
Half-life (s) ; 69.48E3 ; 0.36E3
Decay constant (1/s) ; 9.98E-6 ; 0.05E-6
Specific activity (Bq/g) ; 30.97E15 ; 0.16E15
Reference ; LBNL - 1998
Emissions (72 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
10.8145 ;  ; 0.36 ; 0.06 ; XL ; Pt-194 ;  ; 
65.123 ;  ; 0.24 ; 0.03 ; XKa2 ; Pt-194 ;  ; 
66.833 ;  ; 0.41 ; 0.05 ; XKa1 ; Pt-194 ;  ; 
75.784 ;  ; 0.00138 ; 0.00019 ; XK'b1 ; Pt-194 ;  ; 
78.0643 ;  ; 0.00040 ; 0.00005 ; XK'b2 ; Pt-194 ;  ; 
111.4 ; 0.4 ; 0.0017 ; 0.0006 ; g ; Pt-194 ; 4 ; 3
202.91 ; 0.15 ; 0.0030 ; 0.0008 ; g ; Pt-194 ; 7 ; 5
244.83 ; 0.05 ; 0.0077 ; 0.0011 ; g ; Pt-194 ; 9 ; 6
293.541 ; 0.014 ; 2.5 ; 0.3 ; g ; Pt-194 ; 2 ; 1
300.741 ; 0.014 ; 0.35 ; 0.05 ; g ; Pt-194 ; 4 ; 2
328.448 ; 0.014 ; 13.1 ; 1.7 ; g ; Pt-194 ; 1 ; 0
364.867 ; 0.015 ; 0.041 ; 0.006 ; g ; Pt-194 ; 14 ; 7
482.857 ; 0.026 ; 0.046 ; 0.006 ; g ; Pt-194 ; 3 ; 1
530.173 ; 0.030 ; 0.016 ; 0.002 ; g ; Pt-194 ; 14 ; 6
589.179 ; 0.017 ; 0.140 ; 0.018 ; g ; Pt-194 ; 9 ; 4
594.291 ; 0.019 ; 0.062 ; 0.008 ; g ; Pt-194 ; 4 ; 1
607.61 ; 0.08 ; 0.0039 ; 0.0006 ; g ; Pt-194 ; 5 ; 2
621.29 ; 0.15 ; 0.0096 ; 0.0018 ; g ; Pt-194 ; 7 ; 3
621.971 ; 0.019 ; 0.33 ; 0.05 ; g ; Pt-194 ; 2 ; 0
645.146 ; 0.020 ; 1.18 ; 0.16 ; g ; Pt-194 ; 6 ; 2
699.5 ; 0.4 ; 0.0025 ; 0.0013 ; g ; Pt-194 ; 11 ; 4
