Nuclide ; Kr-88 
Element ; Krypton
Z ; 36
Daughter(s) ; (B-) ; Rb-88 ; 100
Q- ; 2917.7
Half-life (h) ; 2.84 ; 0.03
Half-life (s) ; 10.22E3 ; 0.11E3
Decay constant (1/s) ; 67.8E-6 ; 0.7E-6
Specific activity (Bq/g) ; 464.0E15 ; 4.9E15
Reference ; NDS 54 - 1999
Emissions (121 lines) sorted by nuclide and by increasing energy
------------------------------------------------------ Kr-88 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
1.765 ;  ; 0.23 ; 0.08 ; XL ; Rb ;  ;  ; Kr-88
13.3359 ;  ; 2.36 ; 0.23 ; XKa2 ; Rb ;  ;  ; Kr-88
13.3955 ;  ; 4.6 ; 0.5 ; XKa1 ; Rb ;  ;  ; Kr-88
14.9994 ;  ; 1.11 ; 0.12 ; XK'b1 ; Rb ;  ;  ; Kr-88
15.1953 ;  ; 0.13 ; 0.02 ; XK'b2 ; Rb ;  ;  ; Kr-88
27.51 ; 0.01 ; 1.94 ; 0.17 ; g ; Rb-88 ; -1 ; 0 ; Kr-88
28.26 ; 0.11 ; 0.028 ; 0.011 ; g ; Rb-88 ; -1 ; 1 ; Kr-88
122.27 ; 0.06 ; 0.197 ; 0.012 ; g ; Rb-88 ; -1 ; 2 ; Kr-88
165.98 ; 0.04 ; 3.10 ; 0.15 ; g ; Rb-88 ; -1 ; 3 ; Kr-88
168.5 ; 0.2 ; 0.003 ; 0.003 ; g ; Rb-88 ; -1 ; 4 ; Kr-88
176.71 ; 0.17 ; 0.024 ; 0.007 ; g ; Rb-88 ; -1 ; 5 ; Kr-88
196.32 ; 0.01 ; 26.0 ; 1.2 ; g ; Rb-88 ; -1 ; 6 ; Kr-88
240.71 ; 0.04 ; 0.253 ; 0.014 ; g ; Rb-88 ; -1 ; 7 ; Kr-88
311.69 ; 0.03 ; 0.107 ; 0.009 ; g ; Rb-88 ; -1 ; 8 ; Kr-88
334.71 ; 0.03 ; 0.145 ; 0.010 ; g ; Rb-88 ; -1 ; 9 ; Kr-88
350.04 ; 0.19 ; 0.017 ; 0.007 ; g ; Rb-88 ; -1 ; 10 ; Kr-88
362.23 ; 0.01 ; 2.25 ; 0.12 ; g ; Rb-88 ; -1 ; 11 ; Kr-88
363.5 ; 0.5 ; 0.05 ; 0.04 ; g ; Rb-88 ; -1 ; 12 ; Kr-88
390.54 ; 0.01 ; 0.64 ; 0.05 ; g ; Rb-88 ; -1 ; 13 ; Kr-88
391.2 ; 0.1 ; 0.080 ; 0.042 ; g ; Rb-88 ; -1 ; 14 ; Kr-88
421.70 ; 0.18 ; 0.010 ; 0.004 ; g ; Rb-88 ; -1 ; 15 ; Kr-88
471.80 ; 0.03 ; 0.727 ; 0.040 ; g ; Rb-88 ; -1 ; 16 ; Kr-88
500.02 ; 0.06 ; 0.097 ; 0.009 ; g ; Rb-88 ; -1 ; 17 ; Kr-88
517.00 ; 0.08 ; 0.035 ; 0.011 ; g ; Rb-88 ; -1 ; 18 ; Kr-88
570.57 ; 0.07 ; 0.062 ; 0.008 ; g ; Rb-88 ; -1 ; 19 ; Kr-88
573.27 ; 0.06 ; 0.073 ; 0.008 ; g ; Rb-88 ; -1 ; 20 ; Kr-88
579.04 ; 0.14 ; 0.024 ; 0.010 ; g ; Rb-88 ; -1 ; 21 ; Kr-88
603.21 ; 0.13 ; 0.042 ; 0.011 ; g ; Rb-88 ; -1 ; 22 ; Kr-88
665.94 ; 0.06 ; 0.087 ; 0.014 ; g ; Rb-88 ; -1 ; 23 ; Kr-88
677.34 ; 0.05 ; 0.235 ; 0.018 ; g ; Rb-88 ; -1 ; 24 ; Kr-88
731.01 ; 0.09 ; 0.035 ; 0.011 ; g ; Rb-88 ; -1 ; 25 ; Kr-88
741.34 ; 0.18 ; 0.035 ; 0.011 ; g ; Rb-88 ; -1 ; 26 ; Kr-88
774.14 ; 0.06 ; 0.097 ; 0.015 ; g ; Rb-88 ; -1 ; 27 ; Kr-88
779.12 ; 0.08 ; 0.097 ; 0.021 ; g ; Rb-88 ; -1 ; 28 ; Kr-88
788.28 ; 0.04 ; 0.53 ; 0.03 ; g ; Rb-88 ; -1 ; 29 ; Kr-88
790.32 ; 0.07 ; 0.125 ; 0.012 ; g ; Rb-88 ; -1 ; 30 ; Kr-88
798.65 ; 0.21 ; 0.028 ; 0.010 ; g ; Rb-88 ; -1 ; 31 ; Kr-88
822.01 ; 0.12 ; 0.090 ; 0.011 ; g ; Rb-88 ; -1 ; 32 ; Kr-88
834.83 ; 0.03 ; 13.0 ; 0.7 ; g ; Rb-88 ; -1 ; 33 ; Kr-88
850.34 ; 0.05 ; 0.173 ; 0.014 ; g ; Rb-88 ; -1 ; 34 ; Kr-88
862.33 ; 0.02 ; 0.67 ; 0.04 ; g ; Rb-88 ; -1 ; 35 ; Kr-88
879.51 ; 0.19 ; 0.024 ; 0.007 ; g ; Rb-88 ; -1 ; 36 ; Kr-88
883.06 ; 0.14 ; 0.042 ; 0.008 ; g ; Rb-88 ; -1 ; 37 ; Kr-88
944.92 ; 0.04 ; 0.294 ; 0.020 ; g ; Rb-88 ; -1 ; 38 ; Kr-88
950.49 ; 0.12 ; 0.038 ; 0.011 ; g ; Rb-88 ; -1 ; 39 ; Kr-88
961.83 ; 0.06 ; 0.083 ; 0.011 ; g ; Rb-88 ; -1 ; 40 ; Kr-88
985.780 ; 0.016 ; 1.31 ; 0.07 ; g ; Rb-88 ; -1 ; 41 ; Kr-88
990.09 ; 0.09 ; 0.142 ; 0.019 ; g ; Rb-88 ; -1 ; 42 ; Kr-88
1039.59 ; 0.03 ; 0.48 ; 0.03 ; g ; Rb-88 ; -1 ; 43 ; Kr-88
1049.48 ; 0.12 ; 0.142 ; 0.012 ; g ; Rb-88 ; -1 ; 44 ; Kr-88
1054.54 ; 0.20 ; 0.031 ; 0.010 ; g ; Rb-88 ; -1 ; 45 ; Kr-88
1090.53 ; 0.12 ; 0.062 ; 0.014 ; g ; Rb-88 ; -1 ; 46 ; Kr-88
1141.33 ; 0.06 ; 1.28 ; 0.07 ; g ; Rb-88 ; -1 ; 47 ; Kr-88
1179.51 ; 0.03 ; 1.00 ; 0.05 ; g ; Rb-88 ; -1 ; 48 ; Kr-88
1184.95 ; 0.04 ; 0.69 ; 0.05 ; g ; Rb-88 ; -1 ; 49 ; Kr-88
1209.84 ; 0.08 ; 0.140 ; 0.025 ; g ; Rb-88 ; -1 ; 50 ; Kr-88
1212.73 ; 0.17 ; 0.14 ; 0.05 ; g ; Rb-88 ; -1 ; 51 ; Kr-88
1245.22 ; 0.04 ; 0.363 ; 0.024 ; g ; Rb-88 ; -1 ; 52 ; Kr-88
1250.67 ; 0.04 ; 1.12 ; 0.06 ; g ; Rb-88 ; -1 ; 53 ; Kr-88
1298.78 ; 0.15 ; 0.093 ; 0.021 ; g ; Rb-88 ; -1 ; 54 ; Kr-88
1303.09 ; 0.24 ; 0.066 ; 0.024 ; g ; Rb-88 ; -1 ; 55 ; Kr-88
1324.98 ; 0.04 ; 0.160 ; 0.004 ; g ; Rb-88 ; -1 ; 56 ; Kr-88
1335.81 ; 0.14 ; 0.066 ; 0.011 ; g ; Rb-88 ; -1 ; 57 ; Kr-88
1352.32 ; 0.11 ; 0.159 ; 0.022 ; g ; Rb-88 ; -1 ; 58 ; Kr-88
1369.5 ; 0.2 ; 1.48 ; 0.09 ; g ; Rb-88 ; -1 ; 59 ; Kr-88
1406.94 ; 0.10 ; 0.218 ; 0.020 ; g ; Rb-88 ; -1 ; 60 ; Kr-88
