Nuclide ; Kr-91 
Element ; Krypton
Z ; 36
Daughter(s) ; (B-) ; Rb-91 ; 100
Q- ; 6440
Half-life (s) ; 8.57 ; 0.04
Decay constant (1/s) ; 80.88E-3 ; 0.38E-3
Specific activity (Bq/g) ; 535.2E18 ; 2.5E18
Reference ; NDS 86 - 1999
Emissions (225 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
1.765 ;  ; 0.09 ; 0.04 ; XL ; Rb ;  ;  ; 
13.3359 ;  ; 0.93 ; 0.10 ; XKa2 ; Rb ;  ;  ; 
13.3955 ;  ; 1.8 ; 0.2 ; XKa1 ; Rb ;  ;  ; 
14.9994 ;  ; 0.44 ; 0.05 ; XK'b1 ; Rb ;  ;  ; 
15.1953 ;  ; 0.050 ; 0.006 ; XK'b2 ; Rb ;  ;  ; 
108.788 ; 0.006 ; 44 ; 4 ; g ; Rb-91 ; -1 ; 0 ; 
215.46 ; 0.22 ; 0.18 ; 0.04 ; g ; Rb-91 ; -1 ; 1 ; 
384.3 ; 0.4 ; 0.07 ; 0.03 ; g ; Rb-91 ; -1 ; 2 ; 
397.83 ; 0.13 ; 1.57 ; 0.14 ; g ; Rb-91 ; -1 ; 3 ; 
400.7 ; 0.3 ; 0.21 ; 0.06 ; g ; Rb-91 ; -1 ; 4 ; 
412.04 ; 0.08 ; 2.35 ; 0.19 ; g ; Rb-91 ; -1 ; 5 ; 
446.78 ; 0.06 ; 1.65 ; 0.13 ; g ; Rb-91 ; -1 ; 6 ; 
450.8 ; 0.4 ; 0.052 ; 0.018 ; g ; Rb-91 ; -1 ; 7 ; 
470.0 ; 0.5 ; 0.065 ; 0.022 ; g ; Rb-91 ; -1 ; 8 ; 
474.63 ; 0.10 ; 0.91 ; 0.08 ; g ; Rb-91 ; -1 ; 9 ; 
481.39 ; 0.09 ; 1.24 ; 0.11 ; g ; Rb-91 ; -1 ; 10 ; 
489.49 ; 0.15 ; 0.43 ; 0.07 ; g ; Rb-91 ; -1 ; 11 ; 
501.97 ; 0.12 ; 1.6 ; 0.3 ; g ; Rb-91 ; -1 ; 12 ; 
506.592 ; 0.009 ; 19.1 ; 1.7 ; g ; Rb-91 ; -1 ; 13 ; 
541.9 ; 0.9 ; 0.06 ; 0.03 ; g ; Rb-91 ; -1 ; 14 ; 
545.96 ; 0.11 ; 0.41 ; 0.05 ; g ; Rb-91 ; -1 ; 15 ; 
555.57 ; 0.07 ; 1.94 ; 0.15 ; g ; Rb-91 ; -1 ; 16 ; 
569.00 ; 0.19 ; 0.20 ; 0.03 ; g ; Rb-91 ; -1 ; 17 ; 
588.22 ; 0.07 ; 0.90 ; 0.08 ; g ; Rb-91 ; -1 ; 18 ; 
612.87 ; 0.06 ; 7.7 ; 0.6 ; g ; Rb-91 ; -1 ; 19 ; 
630.14 ; 0.07 ; 2.22 ; 0.18 ; g ; Rb-91 ; -1 ; 20 ; 
662.42 ; 0.07 ; 1.28 ; 0.11 ; g ; Rb-91 ; -1 ; 21 ; 
671.46 ; 0.08 ; 0.70 ; 0.07 ; g ; Rb-91 ; -1 ; 22 ; 
680.0 ; 0.3 ; 0.12 ; 0.04 ; g ; Rb-91 ; -1 ; 23 ; 
712.39 ; 0.15 ; 0.22 ; 0.03 ; g ; Rb-91 ; -1 ; 24 ; 
721.55 ; 0.08 ; 0.66 ; 0.06 ; g ; Rb-91 ; -1 ; 25 ; 
748.64 ; 0.08 ; 0.57 ; 0.05 ; g ; Rb-91 ; -1 ; 26 ; 
761.01 ; 0.08 ; 1.04 ; 0.09 ; g ; Rb-91 ; -1 ; 27 ; 
766.0 ; 0.9 ; 0.05 ; 0.03 ; g ; Rb-91 ; -1 ; 28 ; 
771.86 ; 0.16 ; 0.35 ; 0.05 ; g ; Rb-91 ; -1 ; 29 ; 
780.2 ; 0.6 ; 0.10 ; 0.04 ; g ; Rb-91 ; -1 ; 30 ; 
785.25 ; 0.16 ; 0.47 ; 0.06 ; g ; Rb-91 ; -1 ; 31 ; 
797.68 ; 0.15 ; 0.24 ; 0.03 ; g ; Rb-91 ; -1 ; 32 ; 
802.17 ; 0.15 ; 0.122 ; 0.023 ; g ; Rb-91 ; -1 ; 33 ; 
807.14 ; 0.09 ; 0.57 ; 0.05 ; g ; Rb-91 ; -1 ; 34 ; 
814.0 ; 0.4 ; 0.13 ; 0.04 ; g ; Rb-91 ; -1 ; 35 ; 
