Nuclide ; Mo-101 
Element ; Molybdenum
Z ; 42
Daughter(s) ; (B-) ; Tc-101 ; 100
Q- ; 2824
Half-life (min) ; 14.6 ; 0.1
Half-life (s) ; 876 ; 6
Decay constant (1/s) ; 791E-6 ; 5E-6
Specific activity (Bq/g) ; 4.718E18 ; 0.032E18
Reference ; NDS 83 - 1999
Emissions (191 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
2.565 ;  ; 6.47 ; 0.24 ; XL ; Tc ;  ;  ; 
18.251 ;  ; 2.2 ; 0.7 ; XKa2 ; Tc ;  ;  ; 
18.3672 ;  ; 4.2 ; 1.3 ; XKa1 ; Tc ;  ;  ; 
20.669 ;  ; 0.51 ; 0.02 ; XK'b1 ; Tc ;  ;  ; 
21.0235 ;  ; 0.080 ; 0.003 ; XK'b2 ; Tc ;  ;  ; 
80.92 ; 0.03 ; 3.73 ; 0.12 ; g ; Tc-101 ; -1 ; 0 ; 
104.7 ; 0.8 ; 0.157 ; 0.013 ; g ; Tc-101 ; -1 ; 1 ; 
105.95 ; 0.05 ; 0.275 ; 0.015 ; g ; Tc-101 ; -1 ; 2 ; 
115.76 ; 0.13 ; 0.029 ; 0.004 ; g ; Tc-101 ; -1 ; 3 ; 
169 ; 3 ; 0.027 ; 0.008 ; g ; Tc-101 ; -1 ; 4 ; 
187.41 ; 0.20 ; 0.437 ; 0.019 ; g ; Tc-101 ; -1 ; 5 ; 
191.92 ; 0.20 ; 18.21 ; 0.21 ; g ; Tc-101 ; -1 ; 6 ; 
195.93 ; 0.04 ; 2.77 ; 0.08 ; g ; Tc-101 ; -1 ; 7 ; 
211.98 ; 0.03 ; 0.455 ; 0.025 ; g ; Tc-101 ; -1 ; 8 ; 
221.8 ; 2.0 ; 0.098 ; 0.008 ; g ; Tc-101 ; -1 ; 9 ; 
274.97 ; 0.20 ; 0.086 ; 0.010 ; g ; Tc-101 ; -1 ; 10 ; 
318.00 ; 0.06 ; 0.229 ; 0.012 ; g ; Tc-101 ; -1 ; 11 ; 
327.7 ; 0.7 ; 0.209 ; 0.010 ; g ; Tc-101 ; -1 ; 12 ; 
333.61 ; 0.06 ; 0.71 ; 0.03 ; g ; Tc-101 ; -1 ; 13 ; 
347.56 ; 0.09 ; 0.102 ; 0.010 ; g ; Tc-101 ; -1 ; 14 ; 
352.97 ; 0.09 ; 0.14 ; 0.10 ; g ; Tc-101 ; -1 ; 15 ; 
358.2 ; 0.5 ; 0.044 ; 0.010 ; g ; Tc-101 ; -1 ; 16 ; 
368.4 ; 0.5 ; 0.098 ; 0.015 ; g ; Tc-101 ; -1 ; 17 ; 
370.0 ; 0.8 ; 0.118 ; 0.015 ; g ; Tc-101 ; -1 ; 18 ; 
371.6 ; 0.8 ; 0.153 ; 0.013 ; g ; Tc-101 ; -1 ; 19 ; 
377.9 ; 0.5 ; 0.16 ; 0.04 ; g ; Tc-101 ; -1 ; 20 ; 
378.99 ; 0.21 ; 0.308 ; 0.015 ; g ; Tc-101 ; -1 ; 21 ; 
381.12 ; 0.10 ; 0.317 ; 0.019 ; g ; Tc-101 ; -1 ; 22 ; 
384.4 ; 0.4 ; 0.051 ; 0.008 ; g ; Tc-101 ; -1 ; 23 ; 
398.84 ; 0.07 ; 0.86 ; 0.03 ; g ; Tc-101 ; -1 ; 24 ; 
408.69 ; 0.06 ; 1.53 ; 0.06 ; g ; Tc-101 ; -1 ; 25 ; 
421.67 ; 0.10 ; 0.54 ; 0.02 ; g ; Tc-101 ; -1 ; 26 ; 
422.4 ; 0.5 ; 0.095 ; 0.017 ; g ; Tc-101 ; -1 ; 27 ; 
432.65 ; 0.14 ; 0.109 ; 0.011 ; g ; Tc-101 ; -1 ; 28 ; 
442.0 ; 0.3 ; 0.053 ; 0.008 ; g ; Tc-101 ; -1 ; 29 ; 
448.6 ; 0.6 ; 0.67 ; 0.03 ; g ; Tc-101 ; -1 ; 30 ; 
452.5 ; 0.3 ; 0.076 ; 0.006 ; g ; Tc-101 ; -1 ; 31 ; 
469.02 ; 0.12 ; 0.076 ; 0.006 ; g ; Tc-101 ; -1 ; 32 ; 
482.52 ; 0.12 ; 0.086 ; 0.011 ; g ; Tc-101 ; -1 ; 33 ; 
491.5 ; 0.3 ; 0.067 ; 0.006 ; g ; Tc-101 ; -1 ; 34 ; 
497.0 ; 0.8 ; 0.146 ; 0.017 ; g ; Tc-101 ; -1 ; 35 ; 
499.65 ; 0.03 ; 1.39 ; 0.05 ; g ; Tc-101 ; -1 ; 36 ; 
505.05 ; 0.18 ; 0.36 ; 0.04 ; g ; Tc-101 ; -1 ; 37 ; 
505.92 ; 0.03 ; 11.6 ; 0.3 ; g ; Tc-101 ; -1 ; 38 ; 
510.21 ; 0.12 ; 0.25 ; 0.03 ; g ; Tc-101 ; -1 ; 39 ; 
512.83 ; 0.05 ; 1.4 ; 0.1 ; g ; Tc-101 ; -1 ; 40 ; 
514.1 ; 0.4 ; 0.81 ; 0.03 ; g ; Tc-101 ; -1 ; 41 ; 
515.42 ; 0.10 ; 0.81 ; 0.03 ; g ; Tc-101 ; -1 ; 42 ; 
523.83 ; 0.12 ; 0.158 ; 0.010 ; g ; Tc-101 ; -1 ; 43 ; 
533.57 ; 0.07 ; 0.397 ; 0.019 ; g ; Tc-101 ; -1 ; 44 ; 
540.1 ; 0.5 ; 0.095 ; 0.013 ; g ; Tc-101 ; -1 ; 45 ; 
560.3 ; 0.3 ; 0.069 ; 0.008 ; g ; Tc-101 ; -1 ; 46 ; 
566.62 ; 0.05 ; 0.82 ; 0.04 ; g ; Tc-101 ; -1 ; 47 ; 
571.62 ; 0.17 ; 0.177 ; 0.012 ; g ; Tc-101 ; -1 ; 48 ; 
582.9 ; 0.9 ; 0.080 ; 0.013 ; g ; Tc-101 ; -1 ; 49 ; 
590.10 ; 0.19 ; 20.3 ; 0.9 ; g ; Tc-101 ; -1 ; 50 ; 
602.98 ; 0.23 ; 0.093 ; 0.010 ; g ; Tc-101 ; -1 ; 52 ; 
606.8 ; 0.3 ; 0.073 ; 0.019 ; g ; Tc-101 ; -1 ; 53 ; 
608.34 ; 0.04 ; 1.02 ; 0.04 ; g ; Tc-101 ; -1 ; 54 ; 
611.6 ; 0.5 ; 0.133 ; 0.019 ; g ; Tc-101 ; -1 ; 55 ; 
