Nucléide ; Nb-96 
Élément ; Niobium
Z ; 41
Fils ; (B-) ; Mo-96 ; 100
Q- ; 3187
Période (h) ; 23,35 ; 0,05
Période (s) ; 84,06E3 ; 0,18E3
Constante radioactive (1/s) ; 8,246E-6 ; 0,018E-6
Activité spécifique (Bq/g) ; 51,73E15 ; 0,11E15
Référence ; NDS 35 & 68 - 1999
Émissions (35 raies) triées par énergie croissante
------------------------------------------------------------------------------------------------------------------
Énergie (keV) ; Éner. inc. (keV) ; Intensité (%) ; Int. inc. (%) ; Type ; Origine ; Niv. déb. ; Niv. fin
2,42 ;  ; 0,0102 ; 0,0007 ; XL ; Mo ;  ;  ; 
17,3745 ;  ; 0,0484 ; 0,0023 ; XKa2 ; Mo ;  ;  ; 
17,4795 ;  ; 0,093 ; 0,005 ; XKa1 ; Mo ;  ;  ; 
19,6576 ;  ; 0,024 ; 0,002 ; XK'b1 ; Mo ;  ;  ; 
19,9817 ;  ; 0,0037 ; 0,0002 ; XK'b2 ; Mo ;  ;  ; 
109,10 ; 0,11 ; 0,044 ; 0,015 ; g ; Mo-96 ; -1 ; 1 ; 
120,3 ; 0,4 ; 0,024 ; 0,010 ; g ; Mo-96 ; -1 ; 2 ; 
128,0 ; 0,4 ; 0,016 ; 0,010 ; g ; Mo-96 ; -1 ; 3 ; 
144,129 ; 0,024 ; 0,44 ; 0,02 ; g ; Mo-96 ; -1 ; 34 ; 
219,081 ; 0,018 ; 2,97 ; 0,05 ; g ; Mo-96 ; -1 ; 7 ; 
241,40 ; 0,09 ; 3,5 ; 0,4 ; g ; Mo-96 ; -1 ; 8 ; 
314,34 ; 0,07 ; 0,074 ; 0,014 ; g ; Mo-96 ; -1 ; 9 ; 
316,27 ; 0,09 ; 0,06 ; 0,01 ; g ; Mo-96 ; -1 ; 10 ; 
350,053 ; 0,019 ; 1,54 ; 0,19 ; g ; Mo-96 ; -1 ; 11 ; 
352,56 ; 0,03 ; 0,83 ; 0,04 ; g ; Mo-96 ; -1 ; 13 ; 
371,91 ; 0,09 ; 2,62 ; 0,09 ; g ; Mo-96 ; -1 ; 14 ; 
434,79 ; 0,09 ; 0,38 ; 0,03 ; g ; Mo-96 ; -1 ; 17 ; 
460,05 ; 0,05 ; 26,62 ; 0,20 ; g ; Mo-96 ; -1 ; 18 ; 
480,705 ; 0,017 ; 5,84 ; 0,05 ; g ; Mo-96 ; -1 ; 19 ; 
568,84 ; 0,05 ; 58,0 ; 0,3 ; g ; Mo-96 ; -1 ; 20 ; 
591,24 ; 0,05 ; 0,94 ; 0,09 ; g ; Mo-96 ; -1 ; 21 ; 
593,25 ; 0,14 ; 0,31 ; 0,08 ; g ; Mo-96 ; -1 ; 22 ; 
719,562 ; 0,017 ; 6,85 ; 0,09 ; g ; Mo-96 ; -1 ; 23 ; 
721,629 ; 0,019 ; 1,02 ; 0,06 ; g ; Mo-96 ; -1 ; 24 ; 
778,200 ; 0,015 ; 96,45 ; 0,22 ; g ; Mo-96 ; -1 ; 25 ; 
810,330 ; 0,015 ; 11,09 ; 0,10 ; g ; Mo-96 ; -1 ; 26 ; 
812,581 ; 0,015 ; 2,95 ; 0,08 ; g ; Mo-96 ; -1 ; 27 ; 
847,69 ; 0,02 ; 1,14 ; 0,06 ; g ; Mo-96 ; -1 ; 28 ; 
849,929 ; 0,013 ; 20,45 ; 0,20 ; g ; Mo-96 ; -1 ; 29 ; 
1091,33 ; 0,05 ; 48,5 ; 1,6 ; g ; Mo-96 ; -1 ; 30 ; 
1126,965 ; 0,021 ; 0,424 ; 0,020 ; g ; Mo-96 ; -1 ; 31 ; 
1200,19 ; 0,05 ; 19,97 ; 0,10 ; g ; Mo-96 ; -1 ; 32 ; 
1346,9 ; 0,3 ; 0,024 ; 0,010 ; g ; Mo-96 ; -1 ; 33 ; 
1497,807 ; 0,015 ; 3,28 ; 0,07 ; g ; Mo-96 ; -1 ; 35 ; 
1625,903 ; 0,047 ; 0,154 ; 0,010 ; g ; Mo-96 ; -1 ; 36 ; 
==================================================================================================================
