Nuclide ; Np-236 
Element ; Neptunium
Z ; 93
Daughter(s) ; (EC) ; U-236 ; 87.8 ; (B-) ; Pu-236 ; 12 ; (alpha) ; Pa-232 ; 0.16
Q+ ; 930 ; Q- ; 480 ; Qalpha ; 5010
Half-life (a) ; 155E3 ; 8E3
Half-life (s) ; 4.89E12 ; 0.25E12
Decay constant (1/s) ; 142E-15 ; 7E-15
Specific activity (Bq/g) ; 362E6 ; 19E6
Reference ; KRI - 2009
Emissions (529 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Np-236 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
16.1665 ;  ; 117.5 ; 3.0 ; XL ; U ;  ;  ; Np-236
17.0543 ;  ; 12.1 ; 0.4 ; XL ; Pu ;  ;  ; Np-236
44.63 ; 0.10 ; 0.0161 ; 0.0009 ; g ; Pu-236 ; 1 ; 0 ; Np-236
45.244 ; 0.002 ; 0.149 ; 0.003 ; g ; U-236 ; 1 ; 0 ; Np-236
56.6 ; 0.5 ; 0.0004 ;  ; g ; U-236 ; 5 ; 4 ; Np-236
94.666 ;  ; 20.2 ; 0.3 ; XKa2 ; U ;  ;  ; Np-236
98.44 ;  ; 32.4 ; 0.5 ; XKa1 ; U ;  ;  ; Np-236
99.525 ;  ; 0.212 ; 0.023 ; XKa2 ; Pu ;  ;  ; Np-236
102.82 ; 0.02 ; 0.81 ; 0.06 ; g ; Pu-236 ; 2 ; 1 ; Np-236
103.734 ;  ; 0.33 ; 0.04 ; XKa1 ; Pu ;  ;  ; Np-236
104.1 ; 1.0 ; 0.008 ;  ; g ; U-236 ; 6 ; 5 ; Np-236
104.234 ; 0.006 ; 7.32 ; 0.13 ; g ; U-236 ; 2 ; 1 ; Np-236
111.2277 ;  ; 11.69 ; 0.25 ; XK'b1 ; U ;  ;  ; Np-236
114.932 ;  ; 4.00 ; 0.11 ; XK'b2 ; U ;  ;  ; Np-236
117.13 ;  ; 0.123 ; 0.014 ; XK'b1 ; Pu ;  ;  ; Np-236
121.0173 ;  ; 0.043 ; 0.005 ; XK'b2 ; Pu ;  ;  ; Np-236
158.35 ; 0.03 ; 3.8 ; 0.4 ; g ; Pu-236 ; 3 ; 2 ; Np-236
