Nuclide ; Np-237 
Element ; Neptunium
Z ; 93
Daughter(s) ; (alpha) ; Pa-233 ; 100
Qalpha ; 4958.3
Possible parent(s) ; (B+, EC) ; Pu-237 ; 99.9958 ; (B-) ; U-237 ; 100 ; (alpha) ; Am-241 ; 100
Half-life (a) ; 2.144E6 ; 0.007E6
Half-life (s) ; 67.66E12 ; 0.22E12
Decay constant (1/s) ; 10.245E-15 ; 0.033E-15
Specific activity (Bq/g) ; 26.03E6 ; 0.08E6
Reference ; KRI - 2009
Emissions (75 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
5.18 ;  ; 0.220 ; 0.005 ; g ; Pa-233 ; 7 ; 6
8.22 ; 0.05 ; 0.12 ; 0.05 ; g ; Pa-233 ; 5 ; 4
15.7405 ;  ; 59.7 ; 3.2 ; XL ; Pa-233 ;  ; 
21.5 ;  ; 0.352 ; 0.013 ; g ; Pa-233 ; -1 ; 1
27.7 ;  ; 0.84 ; 0.07 ; g ; Pa-233 ; -1 ; 2
29.374 ; 0.020 ; 14.3 ; 0.6 ; g ; Pa-233 ; 4 ; 2
36.32 ; 0.02 ; 0.005 ; 0.001 ; g ; Pa-233 ; 14 ; 12
46.53 ; 0.06 ; 0.109 ; 0.004 ; g ; Pa-233 ; 6 ; 2
57.104 ; 0.020 ; 0.381 ; 0.021 ; g ; Pa-233 ; 2 ; 0
62.59 ; 0.10 ; 0.006 ; 0.002 ; g ; Pa-233 ; 17 ; 14
63.9 ; 0.1 ; 0.0107 ; 0.0004 ; g ; Pa-233 ; 3 ; 1
70.49 ; 0.10 ; 0.0107 ; 0.0004 ; g ; Pa-233 ; 3 ; 0
74.54 ; 0.10 ; 0.012 ; 0.003 ; g ; Pa-233 ; 10 ; 5
86.477 ; 0.010 ; 12.26 ; 0.12 ; g ; Pa-233 ; 4 ; 0
87.99 ; 0.03 ; 0.143 ; 0.003 ; g ; Pa-233 ; 5 ; 1
92.288 ;  ; 1.813 ; 0.020 ; XKa2 ; Pa-233 ;  ; 
