Nuclide ; Pa-228 
Element ; Protactinium
Z ; 91
Daughter(s) ; (EC) ; Th-228 ; 98 ; (alpha) ; Ac-224 ; 2
Q+ ; 2152.1 ; Qalpha ; 6264.5
Half-life (h) ; 22 ; 1
Half-life (s) ; 79.2E3 ; 3.6E3
Decay constant (1/s) ; 8.75E-6 ; 0.40E-6
Specific activity (Bq/g) ; 23.1E15 ; 1.1E15
Reference ; NDS 80 - 1999
Emissions (560 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Pa-228 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
15.75 ;  ; 85 ; 11 ; XL ; Th ;  ;  ; Pa-228
18.41 ;  ; 0.34 ; 0.05 ; g ; Th-228 ; -1 ; 0 ; Pa-228
23.3 ; 0.2 ; 0.0024 ; 0.0011 ; g ; Ac-224 ; -1 ; 0 ; Pa-228
24.9 ; 0.2 ; 0.0020 ; 0.0011 ; g ; Ac-224 ; -1 ; 1 ; Pa-228
26.3 ; 0.1 ; 0.0072 ; 0.0013 ; g ; Ac-224 ; -1 ; 2 ; Pa-228
28.3 ; 0.1 ; 0.0020 ; 0.0002 ; g ; Ac-224 ; -1 ; 3 ; Pa-228
28.8 ; 0.1 ; 0.015 ; 0.003 ; g ; Ac-224 ; -1 ; 4 ; Pa-228
29.8 ; 0.1 ; 0.056 ; 0.009 ; g ; Ac-224 ; -1 ; 5 ; Pa-228
34.6 ; 0.1 ; 0.036 ; 0.006 ; g ; Ac-224 ; -1 ; 6 ; Pa-228
36.0 ; 0.1 ; 0.0104 ; 0.0019 ; g ; Ac-224 ; -1 ; 7 ; Pa-228
37.2 ; 1.0 ; 0.0040 ; 0.0004 ; g ; Ac-224 ; -1 ; 8 ; Pa-228
41.1 ; 0.1 ; 0.0108 ; 0.0021 ; g ; Ac-224 ; -1 ; 9 ; Pa-228
42.44 ;  ; 0.0015 ; 0.0006 ; g ; Th-228 ; -1 ; 1 ; Pa-228
43.3 ; 0.1 ; 0.048 ; 0.008 ; g ; Ac-224 ; -1 ; 10 ; Pa-228
46.5 ; 0.2 ; 0.0040 ; 0.0004 ; g ; Ac-224 ; -1 ; 11 ; Pa-228
48.6 ; 0.1 ; 0.016 ; 0.003 ; g ; Ac-224 ; -1 ; 12 ; Pa-228
49.8 ; 0.1 ; 0.0054 ; 0.0012 ; g ; Ac-224 ; -1 ; 13 ; Pa-228
51.8 ; 0.1 ; 0.027 ; 0.004 ; g ; Ac-224 ; -1 ; 14 ; Pa-228
52.0 ; 0.2 ; 0.0090 ; 0.0019 ; g ; Ac-224 ; -1 ; 15 ; Pa-228
52.1 ; 0.2 ; 0.0060 ; 0.0014 ; g ; Ac-224 ; -1 ; 16 ; Pa-228
53.1 ; 0.1 ; 0.0080 ; 0.0015 ; g ; Ac-224 ; -1 ; 17 ; Pa-228
54.2 ; 0.1 ; 0.024 ; 0.005 ; g ; Ac-224 ; -1 ; 18 ; Pa-228
56.86 ; 0.03 ; 0.099 ; 0.007 ; g ; Th-228 ; -1 ; 2 ; Pa-228
57.76 ; 0.20 ; 0.51 ; 0.04 ; g ; Th-228 ; -1 ; 3 ; Pa-228
59.8 ; 0.3 ; 0.0028 ; 0.0011 ; g ; Ac-224 ; -1 ; 19 ; Pa-228
60.3 ; 0.2 ; 0.020 ; 0.014 ; g ; Ac-224 ;  ;  ; Pa-228
61.5 ; 0.1 ; 0.0060 ; 0.0012 ; g ; Ac-224 ; -1 ; 22 ; Pa-228
62.5 ; 0.1 ; 0.0072 ; 0.0014 ; g ; Ac-224 ; -1 ; 23 ; Pa-228
66.3 ; 0.3 ; 0.0010 ; 0.0001 ; g ; Ac-224 ; -1 ; 24 ; Pa-228
67.2 ; 0.1 ; 0.034 ; 0.007 ; g ; Ac-224 ; -1 ; 25 ; Pa-228
67.4 ; 0.2 ; 0.0134 ; 0.0024 ; g ; Ac-224 ; -1 ; 26 ; Pa-228
68.08 ;  ; 0.0019 ; 0.0019 ; g ; Th-228 ; -1 ; 4 ; Pa-228
69.3 ; 0.2 ; 0.0070 ; 0.0014 ; g ; Ac-224 ; -1 ; 27 ; Pa-228
73.4 ; 0.2 ; 0.0028 ; 0.0013 ; g ; Ac-224 ; -1 ; 28 ; Pa-228
74.1 ; 0.3 ; 0.0030 ; 0.0009 ; g ; Ac-224 ; -1 ; 29 ; Pa-228
75.5 ; 0.3 ; 0.0020 ; 0.0002 ; g ; Ac-224 ; -1 ; 30 ; Pa-228
76.0 ; 0.2 ; 0.0030 ; 0.0009 ; g ; Ac-224 ; -1 ; 31 ; Pa-228
