Nuclide ; Pa-231 
Element ; Protactinium
Z ; 91
Daughter(s) ; (alpha) ; Ac-227 ; 100
Qalpha ; 5149.9
Possible parent(s) ; (B-) ; Th-231 ; 100 ; (alpha) ; Np-235 ; 0.0014
Half-life (a) ; 32.67E3 ; 0.26E3
Half-life (s) ; 1.031E12 ; 0.008E12
Decay constant (1/s) ; 672E-15 ; 5E-15
Specific activity (Bq/g) ; 1.753E9 ; 0.014E9
Reference ; NPL - 2010
Emissions (106 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
14.89645 ;  ; 44.3 ; 1.3 ; XL ; Ac-227 ;  ; 
16.370 ; 0.014 ; 0.221 ; 0.009 ; g ; Ac-227 ; 3 ; 2
18.980 ; 0.014 ; 0.37 ; 0.03 ; g ; Ac-227 ; 3 ; 1
23.46 ; 0.06 ; 0.0048 ; 0.0006 ; g ; Ac-227 ; 11 ; 9
24.46 ; 0.04 ; 0.0049 ; 0.0010 ; g ; Ac-227 ; 16 ; 15
25.390 ; 0.022 ; 0.095 ; 0.007 ; g ; Ac-227 ; 6 ; 5
27.37 ; 0.01 ; 10.8 ; 0.4 ; g ; Ac-227 ; 1 ; 0
29.98 ; 0.01 ; 0.097 ; 0.004 ; g ; Ac-227 ; 2 ; 0
35.800 ; 0.022 ; 0.0163 ; 0.0010 ; g ; Ac-227 ; 6 ; 4
38.200 ; 0.014 ; 0.144 ; 0.006 ; g ; Ac-227 ; 5 ; 3
44.160 ; 0.014 ; 0.055 ; 0.004 ; g ; Ac-227 ; 4 ; 2
46.35 ; 0.01 ; 0.19 ; 0.01 ; g ; Ac-227 ; 3 ; 0
50.73 ; 0.05 ; 0.0022 ; 0.0008 ; g ; Ac-227 ; 20 ; 17
52.720 ; 0.022 ; 0.076 ; 0.004 ; g ; Ac-227 ; 7 ; 4
54.570 ; 0.014 ; 0.070 ; 0.004 ; g ; Ac-227 ; 5 ; 2
56.90 ; 0.03 ; 0.0047 ; 0.0007 ; g ; Ac-227 ; 15 ; 13
57.180 ; 0.014 ; 0.031 ; 0.003 ; g ; Ac-227 ; 5 ; 1
57.190 ; 0.022 ; 0.0046 ; 0.0021 ; g ; Ac-227 ; 17 ; 15
60.46 ; 0.04 ; 0.0053 ; 0.0007 ; g ; Ac-227 ; 9 ; 7
63.590 ; 0.022 ; 0.0446 ; 0.0017 ; g ; Ac-227 ; 6 ; 3
70.49 ; 0.05 ; 0.0051 ; 0.0008 ; g ; Ac-227 ; -1 ; 1
71.85 ; 0.05 ; 0.0019 ; 0.0007 ; g ; Ac-227 ; 10 ; 7
72.58 ; 0.07 ; 0.0030 ; 0.0007 ; g ; Ac-227 ; 12 ; 10
74.14 ; 0.01 ; 0.0223 ; 0.0009 ; g ; Ac-227 ; 4 ; 0
77.38 ; 0.04 ; 0.061 ; 0.004 ; g ; Ac-227 ; 9 ; 6
87.768 ;  ; 0.715 ; 0.023 ; XKa2 ; Ac-227 ;  ; 
90.885 ;  ; 1.16 ; 0.04 ; XKa1 ; Ac-227 ;  ; 
96.880 ; 0.022 ; 0.084 ; 0.003 ; g ; Ac-227 ; 7 ; 2
100.84 ; 0.05 ; 0.0226 ; 0.0009 ; g ; Ac-227 ; 11 ; 6
102.77 ; 0.03 ; 0.019 ; 0.004 ; g ; Ac-227 ; 9 ; 5
102.8013 ;  ; 0.410 ; 0.015 ; XK'b1 ; Ac-227 ;  ; 
106.1133 ;  ; 0.136 ; 0.006 ; XK'b2 ; Ac-227 ;  ; 
124.57 ; 0.04 ; 0.0043 ; 0.0004 ; g ; Ac-227 ; 10 ; 4
144.43 ; 0.06 ; 0.0115 ; 0.0009 ; g ; Ac-227 ; 12 ; 7
199.00 ; 0.03 ; 0.0030 ; 0.0012 ; g ; Ac-227 ; 13 ; 4
230.59 ; 0.05 ; 0.0017 ; 0.0008 ; g ; Ac-227 ; 14 ; 4
242.18 ; 0.08 ; 0.0099 ; 0.0010 ; g ; Ac-227 ; -1 ; 2
243.16 ; 0.03 ; 0.036 ; 0.005 ; g ; Ac-227 ; 13 ; 2
245.490 ; 0.014 ; 0.0067 ; 0.0005 ; g ; Ac-227 ; 15 ; 5
245.77 ; 0.03 ; 0.012 ; 0.004 ; g ; Ac-227 ; 13 ; 1
255.900 ; 0.014 ; 0.1059 ; 0.0022 ; g ; Ac-227 ; 15 ; 4
258.38 ; 0.05 ; 0.0015 ; 0.0004 ; g ; Ac-227 ; 14 ; 3
260.37 ; 0.03 ; 0.182 ; 0.004 ; g ; Ac-227 ; 17 ; 7
273.14 ; 0.03 ; 0.0579 ; 0.0012 ; g ; Ac-227 ; 13 ; 0
277.29 ; 0.03 ; 0.0680 ; 0.0015 ; g ; Ac-227 ; 17 ; 6
283.690 ; 0.014 ; 1.65 ; 0.03 ; g ; Ac-227 ; 15 ; 3
286.58 ; 0.10 ; 0.0104 ; 0.0005 ; g ; Ac-227 ; -1 ; 3
300.060 ; 0.014 ; 2.41 ; 0.05 ; g ; Ac-227 ; 15 ; 2
302.670 ; 0.014 ; 2.3 ; 0.3 ; g ; Ac-227 ; 15 ; 1
302.680 ; 0.022 ; 0.21 ; 0.10 ; g ; Ac-227 ; 17 ; 5
310.0 ; 0.1 ; 0.00092 ; 0.00020 ; g ; Ac-227 ; -1 ; 4
313.090 ; 0.022 ; 0.0987 ; 0.0020 ; g ; Ac-227 ; 17 ; 4
327.13 ; 0.04 ; 0.0361 ; 0.0011 ; g ; Ac-227 ; 16 ; 1
330.04 ; 0.01 ; 1.36 ; 0.03 ; g ; Ac-227 ; 15 ; 0
340.880 ; 0.022 ; 0.177 ; 0.004 ; g ; Ac-227 ; 17 ; 3
351.45 ; 0.03 ; 0.0028 ; 0.0012 ; g ; Ac-227 ; 18 ; 4
354.50 ; 0.04 ; 0.0962 ; 0.0020 ; g ; Ac-227 ; 16 ; 0
357.250 ; 0.022 ; 0.168 ; 0.004 ; g ; Ac-227 ; 17 ; 2
359.860 ; 0.022 ; 0.0085 ; 0.0003 ; g ; Ac-227 ; 17 ; 1
363.82 ; 0.04 ; 0.0080 ; 0.0003 ; g ; Ac-227 ; 20 ; 4
374.95 ; 0.10 ; 0.0045 ; 0.0003 ; g ; Ac-227 ; -1 ; 5
379.24 ; 0.03 ; 0.0498 ; 0.0011 ; g ; Ac-227 ; 18 ; 3
384.69 ; 0.06 ; 0.00365 ; 0.00022 ; g ; Ac-227 ; 21 ; 5
387.23 ; 0.02 ; 0.0003 ; 0.0001 ; g ; Ac-227 ; 17 ; 0
391.61 ; 0.04 ; 0.00673 ; 0.00022 ; g ; Ac-227 ; 20 ; 3
395.61 ; 0.03 ; 0.00226 ; 0.00022 ; g ; Ac-227 ; 18 ; 2
398.22 ; 0.03 ; 0.0095 ; 0.0003 ; g ; Ac-227 ; 18 ; 1
407.820 ; 0.022 ; 0.0356 ; 0.0008 ; g ; Ac-227 ; 19 ; 1
410.59 ; 0.04 ; 0.00180 ; 0.00022 ; g ; Ac-227 ; 20 ; 1
427.14 ; 0.07 ; 0.0007 ; 0.0004 ; g ; Ac-227 ; 22 ; 4
435.19 ; 0.02 ; 0.00294 ; 0.00017 ; g ; Ac-227 ; 19 ; 0
437.96 ; 0.04 ; 0.0045 ; 0.0003 ; g ; Ac-227 ; 20 ; 0
438.72 ; 0.10 ; 0.0013 ; 0.0004 ; g ; Ac-227 ; -1 ; 6
488.66 ; 0.10 ; 0.00165 ; 0.00017 ; g ; Ac-227 ; 24 ; 4
490.65 ; 0.10 ; 0.0004 ; 0.0001 ; g ; Ac-227 ; 23 ; 3
501.28 ; 0.07 ; 0.00076 ; 0.00018 ; g ; Ac-227 ; 22 ; 0
509.63 ; 0.10 ; 0.00036 ; 0.00017 ; g ; Ac-227 ; 23 ; 1
516.45 ; 0.10 ; 0.00137 ; 0.00015 ; g ; Ac-227 ; 24 ; 3
535.43 ; 0.10 ; 0.00061 ; 0.00012 ; g ; Ac-227 ; 24 ; 1
546.5 ; 0.3 ; 0.00083 ; 0.00013 ; g ; Ac-227 ; 25 ; 6
571.9 ; 0.3 ; 0.00048 ; 0.00020 ; g ; Ac-227 ; 25 ; 5
582.3 ; 0.3 ; 0.00031 ; 0.00017 ; g ; Ac-227 ; 25 ; 4
610.1 ; 0.3 ; 0.0005 ; 0.0004 ; g ; Ac-227 ; 25 ; 3
4415.6 ; 0.9 ; 0.0021 ; 0.0005 ; a ; Pa-231 ; 0 ; 25
4507.6 ; 0.8 ; 0.0036 ; 0.0003 ; a ; Pa-231 ; 0 ; 24
4533.0 ; 0.8 ; 0.00076 ; 0.00020 ; a ; Pa-231 ; 0 ; 23
4568.1 ; 0.9 ; 0.008 ; 0.004 ; a ; Pa-231 ; 0 ; 22
4599.6 ; 0.8 ; 0.015 ; 0.007 ; a ; Pa-231 ; 0 ; 21
4630.3 ; 0.8 ; 0.078 ; 0.021 ; a ; Pa-231 ; 0 ; 20
4633.0 ; 0.8 ; 0.0504 ; 0.0011 ; a ; Pa-231 ; 0 ; 19
4642.5 ; 0.8 ; 0.080 ; 0.006 ; a ; Pa-231 ; 0 ; 18
4680.1 ; 0.8 ; 1.8 ; 0.3 ; a ; Pa-231 ; 0 ; 17
4712.3 ; 0.8 ; 1.20 ; 0.22 ; a ; Pa-231 ; 0 ; 16
4736.3 ; 0.8 ; 8.4 ; 0.4 ; a ; Pa-231 ; 0 ; 15
4761.2 ; 0.8 ; 0.0032 ; 0.0009 ; a ; Pa-231 ; 0 ; 14
4794.1 ; 0.8 ; 0.040 ; 0.015 ; a ; Pa-231 ; 0 ; 12
4853.5 ; 0.8 ; 1.40 ; 0.15 ; a ; Pa-231 ; 0 ; 11
4903.4 ; 2.2 ; 0.002 ; 0.001 ; a ; Pa-231 ; 0 ; 8
