Nuclide ; Pa-234 
Element ; Protactinium
Z ; 91
Daughter(s) ; (B-) ; U-234 ; 100
Q- ; 2195
Possible parent(s) ; (I.T.) ; Pa-234m ; 0.15 ; (B-) ; Th-234 ; 100
Half-life (h) ; 6.70 ; 0.05
Half-life (s) ; 24.12E3 ; 0.18E3
Decay constant (1/s) ; 28.74E-6 ; 0.21E-6
Specific activity (Bq/g) ; 74.0E15 ; 0.6E15
Reference ; CNDC - 2010
Emissions (345 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
16.1663 ;  ; 77 ; 10 ; XL ; U-234 ;  ; 
34.30 ; 0.04 ; 0.0037 ; 0.0004 ; g ; U-234 ; 14 ; 13
43.49 ; 0.02 ; 0.12 ; 0.03 ; g ; U-234 ; 1 ; 0
45.45 ; 0.05 ; 0.027 ; 0.009 ; g ; U-234 ; 16 ; 14
54.96 ; 0.10 ; 0.0188 ;  ; g ; U-234 ;  ; 
55.45 ; 0.05 ; 0.027 ; 0.009 ; g ; U-234 ; 45 ; 39
58.20 ; 0.06 ; 0.0027 ; 0.0009 ; g ; U-234 ; 22 ; 16
59.19 ; 0.05 ; 0.032 ; 0.011 ; g ; U-234 ; 56 ; 51
62.70 ; 0.01 ; 1.6 ; 0.5 ; g ; U-234 ; 13 ; 9
67.25 ; 0.10 ; 0.036 ; 0.011 ; g ; U-234 ; 25 ; 22
69.46 ; 0.05 ; 0.018 ; 0.008 ; g ; U-234 ; 25 ; 20
79.84 ; 0.02 ; 0.062 ; 0.022 ; g ; U-234 ; 16 ; 13
94.666 ;  ; 10.5 ; 0.6 ; XKa2 ; U-234 ;  ; 
97.17 ; 0.10 ; 0.24 ; 0.09 ; g ; U-234 ; 14 ; 9
98.44 ;  ; 16.8 ; 0.9 ; XKa1 ; U-234 ;  ; 
99.86 ; 0.02 ; 3.2 ; 0.6 ; g ; U-234 ; 2 ; 1
100.89 ; 0.02 ; 0.125 ; 0.024 ; g ; U-234 ; 16 ; 12
103.77 ; 0.02 ; 0.24 ; 0.04 ; g ; U-234 ; 22 ; 14
106.68 ; 0.05 ; 0.036 ; 0.011 ; g ; U-234 ; 16 ; 11
111.2277 ;  ; 6.1 ; 0.4 ; XK'b1 ; U-234 ;  ; 
114.932 ;  ; 2.0 ; 0.1 ; XK'b2 ; U-234 ;  ; 
125.46 ; 0.01 ; 0.79 ; 0.12 ; g ; U-234 ; 25 ; 16
131.30 ; 0.01 ; 18.2 ; 1.6 ; g ; U-234 ; 43 ; 33
134.61 ; 0.02 ; 0.114 ; 0.023 ; g ; U-234 ; 51 ; 45
137.23 ; 0.05 ; 0.027 ; 0.009 ; g ; U-234 ; 21 ; 13
140.15 ; 0.02 ; 0.51 ; 0.07 ; g ; U-234 ; 13 ; 7
140.91 ; 0.03 ; 0.31 ; 0.05 ; g ; U-234 ; 49 ; 43
143.78 ; 0.02 ; 0.32 ; 0.05 ; g ; U-234 ; 33 ; 30
149.88 ; 0.03 ; 0.073 ; 0.022 ; g ; U-234 ; 30 ; 22
152.71 ; 0.02 ; 6.0 ; 0.7 ; g ; U-234 ; 3 ; 2
159.48 ; 0.02 ; 0.66 ; 0.10 ; g ; U-234 ; 33 ; 28
164.94 ; 0.05 ; 0.052 ; 0.022 ; g ; U-234 ; 22 ; 11
165.61 ; 0.05 ; 0.073 ; 0.022 ; g ; U-234 ; 64 ; 54
170.85 ; 0.02 ; 0.51 ; 0.07 ; g ; U-234 ; 51 ; 43
174.55 ; 0.03 ; 0.17 ; 0.03 ; g ; U-234 ; 14 ; 7
179.80 ; 0.08 ; 0.045 ; 0.016 ; g ; U-234 ; 51 ; 41
186.15 ; 0.02 ; 1.78 ; 0.19 ; g ; U-234 ; 51 ; 40
193.73 ; 0.03 ; 0.50 ; 0.08 ; g ; U-234 ; 56 ; 45
196.80 ; 0.05 ; 0.073 ; 0.022 ; g ; U-234 ; 23 ; 12
199.95 ; 0.05 ; 0.073 ; 0.022 ; g ; U-234 ; 21 ; 9
200.97 ; 0.03 ; 0.90 ; 0.13 ; g ; U-234 ; 4 ; 3
203.12 ; 0.03 ; 1.24 ; 0.15 ; g ; U-234 ; 13 ; 5
220.00 ; 0.08 ; 0.146 ; 0.025 ; g ; U-234 ; 16 ; 7
221.15 ; 0.10 ; 0.052 ; 0.022 ; g ; U-234 ; 66 ; 53
221.83 ; 0.10 ; 0.073 ; 0.022 ; g ; U-234 ; 37 ; 29
226.50 ; 0.03 ; 4.9 ; 0.6 ; g ; U-234 ; 33 ; 25
227.25 ; 0.03 ; 5.8 ; 0.6 ; g ; U-234 ; 51 ; 37
232.21 ; 0.03 ; 0.18 ; 0.03 ; g ; U-234 ; 25 ; 11
235.11 ; 0.03 ; 0.114 ; 0.023 ; g ; U-234 ; 66 ; 51
235.9 ; 3.0 ; 0.005 ; 0.003 ; g ; U-234 ; 17 ; 7
240.2 ; 0.1 ; 0.052 ; 0.022 ; g ; U-234 ; 58 ; 43
245.37 ; 0.02 ; 0.76 ; 0.11 ; g ; U-234 ; 56 ; 40
