Nuclide ; Pa-234m 
Element ; Protactinium
Z ; 91
Daughter(s) ; (I.T.) ; Pa-234 ; 0.15 ; (B-) ; U-234 ; 99.85
QIT ; 73.92 ; Q- ; 2269
Half-life (min) ; 1.159 ; 0.011
Half-life (s) ; 69.5 ; 0.7
Decay constant (1/s) ; 9.97E-3 ; 0.09E-3
Specific activity (Bq/g) ; 25.65E18 ; 0.24E18
Reference ; CNDC - 2010
Emissions (143 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
15.7401 ;  ; 0.046 ; 0.004 ; XL ; Pa-234 ;  ; 
16.1663 ;  ; 0.856 ; 0.019 ; XL ; U-234 ;  ; 
43.49 ; 0.02 ; 0.00198 ; 0.00002 ; g ; U-234 ; 1 ; 0
62.70 ; 0.01 ; 0.0013 ; 0.0004 ; g ; U-234 ; 8 ; 7
73.92 ; 0.02 ; 0.0129 ; 0.0009 ; g ; Pa-234 ; 1 ; 0
94.666 ;  ; 0.1973 ; 0.0025 ; XKa2 ; U-234 ;  ; 
98.44 ;  ; 0.316 ; 0.004 ; XKa1 ; U-234 ;  ; 
99.86 ; 0.02 ; 0.00057 ; 0.00005 ; g ; U-234 ; 2 ; 1
111.2277 ;  ; 0.115 ; 0.002 ; XK'b1 ; U-234 ;  ; 
114.932 ;  ; 0.0382 ; 0.0005 ; XK'b2 ; U-234 ;  ; 
135.32 ; 0.08 ; 0.0000042 ; 0.0000005 ; g ; U-234 ; 18 ; 14
137.23 ; 0.05 ; 0.000048 ; 0.000017 ; g ; U-234 ; 11 ; 8
140.1 ; 1.0 ; 0.00127 ;  ; g ; U-234 ; 8 ; 5
166.5 ; 0.1 ; 0.000000237 ; 0.000000005 ; g ; U-234 ; 20 ; 14
185.0 ; 0.4 ; 0.00172 ; 0.00015 ; g ; U-234 ; 12 ; 8
193.4 ; 0.8 ; 0.00072 ; 0.00015 ; g ; U-234 ; 9 ; 6
197.91 ; 0.15 ; 0.000027 ; 0.000007 ; g ; U-234 ; 14 ; 13
199.9 ; 1.0 ; 0.00058 ; 0.00012 ; g ; U-234 ; 11 ; 7
203.3 ; 0.8 ; 0.00119 ; 0.00009 ; g ; U-234 ; 8 ; 3
209.9 ; 0.4 ; 0.00132 ; 0.00015 ; g ; U-234 ; 23 ; 18
235.9 ; 0.3 ; 0.00009 ; 0.00004 ; g ; U-234 ; 10 ; 5
243.5 ; 0.8 ; 0.00050 ; 0.00009 ; g ; U-234 ; -1 ; 1
247.7 ; 0.8 ; 0.00097 ; 0.00022 ; g ; U-234 ; 13 ; 8
258.227 ; 0.003 ; 0.0738 ; 0.0008 ; g ; U-234 ; 9 ; 3
275.5 ; 0.8 ; 0.00031 ; 0.00006 ; g ; U-234 ; 11 ; 6
299 ; 1 ; 0.00064 ; 0.00013 ; g ; U-234 ; 10 ; 3
311 ; 1 ; 0.00052 ; 0.00011 ; g ; U-234 ; 13 ; 7
316.7 ; 0.1 ; 0.00019 ; 0.00005 ; g ; U-234 ; 11 ; 4
338.1 ; 0.8 ; 0.00113 ; 0.00023 ; g ; U-234 ; 24 ; 15
340.2 ; 0.1 ; 0.000072 ; 0.000021 ; g ; U-234 ; 11 ; 3
357.5 ; 1.0 ; 0.00080 ; 0.00017 ; g ; U-234 ; 28 ; 17
362.8 ; 1.0 ; 0.00069 ; 0.00015 ; g ; U-234 ; 24 ; 14
387.6 ; 0.8 ; 0.00144 ; 0.00016 ; g ; U-234 ;  ; 
427.4 ; 0.2 ; 0.000020 ; 0.000005 ; g ; U-234 ; 13 ; 4
445.91 ; 0.10 ; 0.000031 ; 0.000007 ; g ; U-234 ; 14 ; 8
450.98 ; 0.10 ; 0.00310 ; 0.00013 ; g ; U-234 ; 13 ; 3
453.58 ; 0.10 ; 0.00213 ; 0.00012 ; g ; U-234 ; 28 ; 15
456.7 ; 1.0 ; 0.00072 ; 0.00015 ; g ; U-234 ; 22 ; 13
468.43 ; 0.10 ; 0.00206 ; 0.00012 ; g ; U-234 ; 17 ; 10
475.74 ; 0.10 ; 0.00237 ; 0.00013 ; g ; U-234 ; 28 ; 14
485.44 ; 0.07 ; 0.0000187 ; 0.0000017 ; g ; U-234 ; 18 ; 10
507.5 ; 1.0 ; 0.00158 ; 0.00015 ; g ; U-234 ; 19 ; 10
509.2 ; 0.8 ; 0.0022 ; 0.0003 ; g ; U-234 ; 17 ; 9
516.60 ; 0.06 ; 0.0000122 ; 0.0000016 ; g ; U-234 ; 20 ; 10
526.02 ; 0.10 ; 0.000009 ; 0.000001 ; g ; U-234 ; 18 ; 9
543.98 ; 0.10 ; 0.00349 ; 0.00015 ; g ; U-234 ; 23 ; 13
557.24 ; 0.06 ; 0.0000083 ; 0.0000011 ; g ; U-234 ; 20 ; 9
