Nuclide ; Pb-201 
Element ; Lead
Z ; 82
Daughter(s) ; (B+, EC) ; Tl-201 ; 100
Q+ ; 1920
Half-life (h) ; 9.33 ; 0.03
Half-life (s) ; 33.59E3 ; 0.11E3
Decay constant (1/s) ; 20.64E-6 ; 0.07E-6
Specific activity (Bq/g) ; 61.83E15 ; 0.20E15
Reference ; NDS 71 &108 - 2007
Emissions (80 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.14 ;  ; 34.6 ; 2.1 ; XL ; Tl ;  ;  ; 
58.92 ; 0.05 ; 0.083 ; 0.009 ; g ; Tl-201 ; -1 ; 0 ; 
70.8325 ;  ; 25.5 ; 1.5 ; XKa2 ; Tl ;  ;  ; 
72.8725 ;  ; 42.8 ; 2.5 ; XKa1 ; Tl ;  ;  ; 
82.6033 ;  ; 15.1 ; 0.9 ; XK'b1 ; Tl ;  ;  ; 
85.1387 ;  ; 3.61 ; 0.21 ; XK'b2 ; Tl ;  ;  ; 
120.0 ; 0.2 ; 0.021 ; 0.006 ; g ; Tl-201 ; -1 ; 1 ; 
124.2 ; 0.2 ; 0.044 ; 0.009 ; g ; Tl-201 ; -1 ; 2 ; 
129.92 ; 0.10 ; 0.111 ; 0.016 ; g ; Tl-201 ; -1 ; 3 ; 
155.31 ; 0.10 ; 0.142 ; 0.024 ; g ; Tl-201 ; -1 ; 4 ; 
202.79 ; 0.10 ; 0.070 ; 0.009 ; g ; Tl-201 ; -1 ; 5 ; 
231.85 ; 0.10 ; 0.100 ; 0.015 ; g ; Tl-201 ; -1 ; 6 ; 
241.02 ; 0.08 ; 0.174 ; 0.024 ; g ; Tl-201 ; -1 ; 7 ; 
285 ;  ; 0.0791 ; 0.0005 ; g ; Tl-201 ; -1 ; 8 ; 
285.1 ;  ; 0.0791 ; 0.0005 ; g ; Tl-201 ; -1 ; 9 ; 
