Nuclide ; Pb-211 
Element ; Lead
Z ; 82
Daughter(s) ; (B-) ; Bi-211 ; 100
Q- ; 1367
Possible parent(s) ; (alpha) ; Po-215 ; 99.99977
Half-life (min) ; 36.1 ; 0.2
Half-life (s) ; 2.166E3 ; 0.012E3
Decay constant (1/s) ; 320.0E-6 ; 1.8E-6
Specific activity (Bq/g) ; 913E15 ; 5E15
Reference ; ANL - 2011
Emissions (27 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.56455 ;  ; 0.494 ; 0.013 ; XL ; Bi-211 ;  ; 
65.304 ; 0.018 ; 0.077 ; 0.004 ; g ; Bi-211 ; 3 ; 2
74.8157 ;  ; 0.228 ; 0.010 ; XKa2 ; Bi-211 ;  ; 
77.1088 ;  ; 0.381 ; 0.017 ; XKa1 ; Bi-211 ;  ; 
87.347 ;  ; 0.130 ; 0.006 ; XK'b1 ; Bi-211 ;  ; 
90.0757 ;  ; 0.0399 ; 0.0020 ; XK'b2 ; Bi-211 ;  ; 
95.13 ; 0.05 ; 0.018 ; 0.003 ; g ; Bi-211 ; 7 ; 4
313.96 ; 0.04 ; 0.0268 ; 0.0021 ; g ; Bi-211 ; 5 ; 2
342.83 ; 0.03 ; 0.029 ; 0.004 ; g ; Bi-211 ; 7 ; 2
361.846 ; 0.016 ; 0.042 ; 0.003 ; g ; Bi-211 ; 2 ; 1
404.834 ; 0.009 ; 3.83 ; 0.06 ; g ; Bi-211 ; 1 ; 0
427.150 ; 0.015 ; 1.81 ; 0.04 ; g ; Bi-211 ; 3 ; 1
429.65 ; 0.06 ; 0.008 ; 0.003 ; g ; Bi-211 ; 8 ; 2
504.07 ; 0.06 ; 0.0059 ; 0.0008 ; g ; Bi-211 ; 10 ; 2
609.55 ; 0.04 ; 0.033 ; 0.009 ; g ; Bi-211 ; 4 ; 1
675.81 ; 0.04 ; 0.0181 ; 0.0009 ; g ; Bi-211 ; 5 ; 1
704.675 ; 0.025 ; 0.47 ; 0.01 ; g ; Bi-211 ; 7 ; 1
766.680 ; 0.013 ; 0.62 ; 0.04 ; g ; Bi-211 ; 2 ; 0
831.984 ; 0.012 ; 3.50 ; 0.05 ; g ; Bi-211 ; 3 ; 0
865.92 ; 0.06 ; 0.0046 ; 0.0002 ; g ; Bi-211 ; 10 ; 1
1014.38 ; 0.04 ; 0.0173 ; 0.0005 ; g ; Bi-211 ; 4 ; 0
1080.64 ; 0.04 ; 0.0121 ; 0.0005 ; g ; Bi-211 ; 5 ; 0
1103.52 ; 0.20 ; 0.0047 ; 0.0007 ; g ; Bi-211 ; 6 ; 0
1109.509 ; 0.023 ; 0.116 ; 0.003 ; g ; Bi-211 ; 7 ; 0
1196.33 ; 0.05 ; 0.0103 ; 0.0004 ; g ; Bi-211 ; 8 ; 0
1234.3 ; 0.4 ; 0.0009 ; 0.0003 ; g ; Bi-211 ; 9 ; 0
1270.75 ; 0.06 ; 0.0068 ; 0.0012 ; g ; Bi-211 ; 10 ; 0
==========================================================================================================
