Nuclide ; Pb-214 
Element ; Lead
Z ; 82
Daughter(s) ; (B-) ; Bi-214 ; 100
Q- ; 1019
Possible parent(s) ; (alpha) ; Po-218 ; 99.978
Half-life (min) ; 26.916 ; 0.044
Half-life (s) ; 1.6150E3 ; 0.0026E3
Decay constant (1/s) ; 429.2E-6 ; 0.7E-6
Specific activity (Bq/g) ; 1.2078E18 ; 0.0020E18
Reference ; CEA/LNE-LNHB - 2007
Emissions (31 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.89 ;  ; 12.42 ; 0.22 ; XL ; Bi-214 ;  ; 
53.2275 ; 0.0021 ; 1.060 ; 0.007 ; g ; Bi-214 ; 1 ; 0
74.8157 ;  ; 6.26 ; 0.12 ; XKa2 ; Bi-214 ;  ; 
77.1088 ;  ; 10.47 ; 0.20 ; XKa1 ; Bi-214 ;  ; 
87.347 ;  ; 3.59 ; 0.09 ; XK'b1 ; Bi-214 ;  ; 
90.0757 ;  ; 1.10 ; 0.04 ; XK'b2 ; Bi-214 ;  ; 
107.22 ; 0.09 ; 0.0068 ; 0.0014 ; g ; Bi-214 ; -1 ; 0
137.45 ; 0.30 ; 0.045 ; 0.018 ; g ; Bi-214 ; -1 ; 1
141.3 ; 0.6 ; 0.027 ; 0.014 ; g ; Bi-214 ; -1 ; 2
170.07 ; 0.06 ; 0.0146 ; 0.0027 ; g ; Bi-214 ; -1 ; 3
196.20 ; 0.05 ; 0.069 ; 0.009 ; g ; Bi-214 ; 3 ; 2
205.68 ; 0.09 ; 0.0114 ; 0.0023 ; g ; Bi-214 ; 3 ; 1
216.47 ; 0.07 ; 0.0100 ; 0.0023 ; g ; Bi-214 ; -1 ; 4
241.997 ; 0.003 ; 7.268 ; 0.022 ; g ; Bi-214 ; 4 ; 1
258.87 ; 0.03 ; 0.5318 ; 0.0036 ; g ; Bi-214 ; 3 ; 0
274.80 ; 0.05 ; 0.362 ; 0.010 ; g ; Bi-214 ; 7 ; 3
295.224 ; 0.002 ; 18.414 ; 0.036 ; g ; Bi-214 ; 4 ; 0
305.26 ; 0.03 ; 0.0315 ; 0.0021 ; g ; Bi-214 ; 9 ; 7
314.32 ; 0.07 ; 0.077 ; 0.006 ; g ; Bi-214 ; 6 ; 2
323.83 ; 0.04 ; 0.0287 ; 0.0032 ; g ; Bi-214 ; 6 ; 1
351.932 ; 0.002 ; 35.60 ; 0.07 ; g ; Bi-214 ; 5 ; 0
462.00 ; 0.07 ; 0.213 ; 0.006 ; g ; Bi-214 ; 9 ; 6
480.43 ; 0.02 ; 0.3371 ; 0.0041 ; g ; Bi-214 ; 7 ; 1
487.09 ; 0.07 ; 0.433 ; 0.006 ; g ; Bi-214 ; 9 ; 5
533.66 ; 0.02 ; 0.182 ; 0.006 ; g ; Bi-214 ; 7 ; 0
538.41 ; 0.08 ; 0.0196 ; 0.0027 ; g ; Bi-214 ; 8 ; 3
543.81 ; 0.07 ; 0.050 ; 0.009 ; g ; Bi-214 ; 9 ; 4
580.13 ; 0.03 ; 0.369 ; 0.006 ; g ; Bi-214 ; 9 ; 3
765.96 ; 0.09 ; 0.053 ; 0.008 ; g ; Bi-214 ; -1 ; 5
785.96 ; 0.09 ; 1.064 ; 0.013 ; g ; Bi-214 ; 9 ; 1
839.04 ; 0.09 ; 0.587 ; 0.008 ; g ; Bi-214 ; 9 ; 0
==========================================================================================================
