Nuclide ; Pm-151 
Element ; Promethium
Z ; 61
Daughter(s) ; (B-) ; Sm-151 ; 100
Q- ; 1190.2
Half-life (d) ; 1.183 ; 0.002
Half-life (s) ; 102.21E3 ; 0.17E3
Decay constant (1/s) ; 6.782E-6 ; 0.011E-6
Specific activity (Bq/g) ; 27.046E15 ; 0.046E15
Reference ; NDS 80 - 1999
Emissions (236 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.821 ; 0.003 ; 0.061 ; 0.016 ; g ; Sm-151 ; -1 ; 0 ; 
6.35 ;  ; 5.7 ; 0.8 ; XL ; Sm ;  ;  ; 
25.69 ; 0.20 ; 0.97 ; 0.08 ; g ; Sm-151 ; -1 ; 1 ; 
35.2 ; 0.3 ; 0.034 ; 0.025 ; g ; Sm-151 ; -1 ; 2 ; 
39.5229 ;  ; 8.5 ; 0.4 ; XKa2 ; Sm ;  ;  ; 
40.1186 ;  ; 15.3 ; 0.6 ; XKa1 ; Sm ;  ;  ; 
45.4777 ;  ; 4.78 ; 0.21 ; XK'b1 ; Sm ;  ;  ; 
46.6977 ;  ; 1.23 ; 0.06 ; XK'b2 ; Sm ;  ;  ; 
59.93 ; 0.04 ; 0.0247 ; 0.0025 ; g ; Sm-151 ; -1 ; 3 ; 
61.00 ; 0.08 ; 0.0070 ; 0.0023 ; g ; Sm-151 ; -1 ; 4 ; 
62.91 ; 0.20 ; 0.207 ; 0.018 ; g ; Sm-151 ; -1 ; 5 ; 
64.88 ; 0.10 ; 1.89 ; 0.18 ; g ; Sm-151 ; -1 ; 6 ; 
65.83 ; 0.10 ; 1.15 ; 0.11 ; g ; Sm-151 ; -1 ; 7 ; 
69.70 ; 0.02 ; 0.47 ; 0.05 ; g ; Sm-151 ; -1 ; 8 ; 
76.22 ; 0.20 ; 0.202 ; 0.018 ; g ; Sm-151 ; -1 ; 9 ; 
88.80 ; 0.09 ; 0.0124 ; 0.0017 ; g ; Sm-151 ; -1 ; 10 ; 
91.7 ; 0.3 ; 0.006 ; 0.004 ; g ; Sm-151 ; -1 ; 11 ; 
92.97 ; 0.04 ; 0.034 ; 0.003 ; g ; Sm-151 ; -1 ; 12 ; 
98.05 ; 0.02 ; 0.36 ; 0.04 ; g ; Sm-151 ; -1 ; 13 ; 
98.74 ; 0.08 ; 0.058 ; 0.010 ; g ; Sm-151 ; -1 ; 14 ; 
100.02 ; 0.01 ; 2.54 ; 0.19 ; g ; Sm-151 ; -1 ; 15 ; 
100.6 ; 0.3 ; 0.012 ; 0.004 ; g ; Sm-151 ; -1 ; 16 ; 
101.93 ; 0.01 ; 1.28 ; 0.11 ; g ; Sm-151 ; -1 ; 17 ; 
102.7 ; 0.5 ; 0.032 ; 0.016 ; g ; Sm-151 ; -1 ; 18 ; 
104.84 ; 0.01 ; 3.5 ; 0.3 ; g ; Sm-151 ; -1 ; 19 ; 
109.56 ; 0.02 ; 0.085 ; 0.008 ; g ; Sm-151 ; -1 ; 20 ; 
113.1 ; 0.2 ; 0.0097 ; 0.0017 ; g ; Sm-151 ; -1 ; 21 ; 
121.77 ; 0.04 ; 0.09 ; 0.01 ; g ; Sm-151 ; -1 ; 22 ; 
125.2 ; 0.3 ; 0.018 ; 0.006 ; g ; Sm-151 ;  ;  ; 
126.8 ; 0.5 ; 0.0029 ; 0.0014 ; g ; Sm-151 ; -1 ; 25 ; 
130.43 ; 0.02 ; 0.068 ; 0.006 ; g ; Sm-151 ; -1 ; 26 ; 
134.22 ; 0.20 ; 0.0203 ; 0.0022 ; g ; Sm-151 ; -1 ; 27 ; 
134.9 ; 0.6 ; 0.0040 ; 0.0021 ; g ; Sm-151 ; -1 ; 28 ; 
138.38 ; 0.12 ; 0.041 ; 0.005 ; g ; Sm-151 ; -1 ; 29 ; 
138.9 ; 0.3 ; 0.027 ; 0.007 ; g ; Sm-151 ; -1 ; 30 ; 
139.28 ; 0.02 ; 0.50 ; 0.05 ; g ; Sm-151 ; -1 ; 31 ; 
141.7 ; 0.5 ; 0.010 ; 0.004 ; g ; Sm-151 ; -1 ; 32 ; 
143.17 ; 0.03 ; 0.214 ; 0.016 ; g ; Sm-151 ; -1 ; 33 ; 
143.2 ; 0.3 ; 0.010 ; 0.004 ; g ; Sm-151 ; -1 ; 34 ; 
146.2 ; 0.4 ; 0.017 ; 0.003 ; g ; Sm-151 ; -1 ; 35 ; 
147.53 ; 0.03 ; 0.153 ; 0.011 ; g ; Sm-151 ; -1 ; 36 ; 
148.50 ; 0.12 ; 0.054 ; 0.005 ; g ; Sm-151 ; -1 ; 37 ; 
150.1 ; 0.4 ; 0.0090 ; 0.0023 ; g ; Sm-151 ; -1 ; 38 ; 
155.5 ; 0.2 ; 0.025 ; 0.005 ; g ; Sm-151 ; -1 ; 39 ; 
156.18 ; 0.05 ; 0.148 ; 0.015 ; g ; Sm-151 ; -1 ; 40 ; 
162.94 ; 0.02 ; 0.88 ; 0.08 ; g ; Sm-151 ; -1 ; 41 ; 
163.58 ; 0.02 ; 1.55 ; 0.13 ; g ; Sm-151 ; -1 ; 42 ; 
167.75 ; 0.02 ; 8.3 ; 0.6 ; g ; Sm-151 ; -1 ; 43 ; 
168.39 ; 0.05 ; 0.92 ; 0.10 ; g ; Sm-151 ; -1 ; 44 ; 
176.52 ; 0.03 ; 0.85 ; 0.08 ; g ; Sm-151 ; -1 ; 45 ; 
177.16 ; 0.01 ; 3.8 ; 0.3 ; g ; Sm-151 ; -1 ; 46 ; 
186.59 ; 0.02 ; 0.180 ; 0.024 ; g ; Sm-151 ; -1 ; 47 ; 
192.9 ; 0.4 ; 0.0074 ; 0.0023 ; g ; Sm-151 ; -1 ; 48 ; 
195.5 ; 0.2 ; 0.027 ; 0.007 ; g ; Sm-151 ; -1 ; 49 ; 
201.96 ; 0.20 ; 0.88 ; 0.06 ; g ; Sm-151 ; -1 ; 50 ; 
204.17 ; 0.03 ; 0.13 ; 0.13 ; g ; Sm-151 ; -1 ; 51 ; 
205.7 ; 0.3 ; 0.0090 ; 0.0023 ; g ; Sm-151 ; -1 ; 52 ; 
206.7 ; 0.2 ; 0.036 ; 0.007 ; g ; Sm-151 ; -1 ; 53 ; 
207.0 ; 0.3 ; 0.0074 ; 0.0019 ; g ; Sm-151 ; -1 ; 54 ; 
209.00 ; 0.01 ; 1.73 ; 0.14 ; g ; Sm-151 ; -1 ; 55 ; 
215.3 ; 0.3 ; 0.009 ; 0.004 ; g ; Sm-151 ; -1 ; 56 ; 
227.18 ; 0.02 ; 0.34 ; 0.03 ; g ; Sm-151 ; -1 ; 57 ; 
227.81 ; 0.15 ; 0.049 ; 0.016 ; g ; Sm-151 ; -1 ; 58 ; 
229.01 ; 0.15 ; 0.022 ; 0.005 ; g ; Sm-151 ; -1 ; 59 ; 
232.43 ; 0.02 ; 1.03 ; 0.10 ; g ; Sm-151 ; -1 ; 60 ; 
232.7 ; 0.3 ; 0.088 ; 0.021 ; g ; Sm-151 ; -1 ; 61 ; 
236.2 ; 0.2 ; 0.094 ; 0.017 ; g ; Sm-151 ; -1 ; 62 ; 
236.6 ; 0.1 ; 0.16 ; 0.02 ; g ; Sm-151 ; -1 ; 63 ; 
236.7 ; 0.2 ; 0.19 ; 0.05 ; g ; Sm-151 ; -1 ; 64 ; 
237.1 ; 0.2 ; 0.52 ; 0.10 ; g ; Sm-151 ; -1 ; 65 ; 
240.09 ; 0.01 ; 3.8 ; 0.3 ; g ; Sm-151 ; -1 ; 66 ; 
247.1 ; 0.2 ; 0.018 ; 0.005 ; g ; Sm-151 ; -1 ; 67 ; 
247.8 ; 0.2 ; 0.029 ; 0.005 ; g ; Sm-151 ; -1 ; 68 ; 
250.5 ; 0.8 ; 0.009 ; 0.005 ; g ; Sm-151 ; -1 ; 69 ; 
254.28 ; 0.03 ; 0.169 ; 0.018 ; g ; Sm-151 ; -1 ; 70 ; 
258.11 ; 0.02 ; 0.56 ; 0.05 ; g ; Sm-151 ; -1 ; 71 ; 
261.4 ; 0.3 ; 0.011 ; 0.004 ; g ; Sm-151 ; -1 ; 72 ; 
270.72 ; 0.03 ; 0.068 ; 0.008 ; g ; Sm-151 ; -1 ; 73 ; 
275.21 ; 0.20 ; 6.8 ; 0.6 ; g ; Sm-151 ; -1 ; 74 ; 
277.62 ; 0.10 ; 0.061 ; 0.014 ; g ; Sm-151 ; -1 ; 75 ; 
278.2 ; 0.3 ; 0.008 ; 0.004 ; g ; Sm-151 ; -1 ; 76 ; 
280.09 ; 0.03 ; 0.232 ; 0.021 ; g ; Sm-151 ; -1 ; 77 ; 
285 ;  ; 0.0011 ; 0.0011 ; g ; Sm-151 ; -1 ; 78 ; 
290.75 ; 0.01 ; 0.83 ; 0.08 ; g ; Sm-151 ; -1 ; 79 ; 
292.4 ; 0.3 ; 0.011 ; 0.007 ; g ; Sm-151 ; -1 ; 80 ; 
294.8 ; 0.3 ; 0.013 ; 0.005 ; g ; Sm-151 ; -1 ; 81 ; 
295.2 ; 0.3 ; 0.016 ; 0.005 ; g ; Sm-151 ; -1 ; 82 ; 
297.80 ; 0.05 ; 0.038 ; 0.005 ; g ; Sm-151 ; -1 ; 83 ; 
298.6 ; 0.5 ; 0.006 ; 0.004 ; g ; Sm-151 ; -1 ; 84 ; 
301.8 ; 0.2 ; 0.013 ; 0.005 ; g ; Sm-151 ; -1 ; 85 ; 
302.5 ; 0.3 ; 0.027 ; 0.007 ; g ; Sm-151 ; -1 ; 86 ; 
302.8 ; 0.3 ; 0.025 ; 0.005 ; g ; Sm-151 ; -1 ; 87 ; 
306.74 ; 0.06 ; 0.238 ; 0.017 ; g ; Sm-151 ; -1 ; 88 ; 
308.97 ; 0.08 ; 0.081 ; 0.010 ; g ; Sm-151 ; -1 ; 89 ; 
310.8 ; 0.2 ; 0.053 ; 0.009 ; g ; Sm-151 ;  ;  ; 
314.92 ; 0.10 ; 0.063 ; 0.008 ; g ; Sm-151 ; -1 ; 92 ; 
315.1 ; 0.5 ; 0.0079 ; 0.0023 ; g ; Sm-151 ; -1 ; 93 ; 
321.87 ; 0.10 ; 0.097 ; 0.012 ; g ; Sm-151 ; -1 ; 94 ; 
323.94 ; 0.01 ; 1.22 ; 0.11 ; g ; Sm-151 ; -1 ; 95 ; 
325.2 ; 0.3 ; 0.015 ; 0.004 ; g ; Sm-151 ; -1 ; 96 ; 
325.8 ; 0.1 ; 0.106 ; 0.015 ; g ; Sm-151 ; -1 ; 97 ; 
329.0 ; 0.8 ; 0.013 ; 0.007 ; g ; Sm-151 ; -1 ; 98 ; 
329.75 ; 0.02 ; 0.220 ; 0.017 ; g ; Sm-151 ; -1 ; 99 ; 
340.08 ; 0.01 ; 22.5 ; 0.9 ; g ; Sm-151 ; -1 ; 100 ; 
341.0 ; 0.3 ; 0.074 ; 0.019 ; g ; Sm-151 ; -1 ; 101 ; 
344.90 ; 0.01 ; 2.11 ; 0.14 ; g ; Sm-151 ; -1 ; 102 ; 
346.1 ; 0.2 ; 0.038 ; 0.010 ; g ; Sm-151 ; -1 ; 103 ; 
348.8 ; 0.3 ; 0.0092 ; 0.0023 ; g ; Sm-151 ; -1 ; 104 ; 
349.81 ; 0.03 ; 0.142 ; 0.015 ; g ; Sm-151 ; -1 ; 105 ; 
352.3 ; 0.3 ; 0.016 ; 0.005 ; g ; Sm-151 ; -1 ; 106 ; 
353.32 ; 0.10 ; 0.106 ; 0.012 ; g ; Sm-151 ; -1 ; 107 ; 
