Nuclide ; Po-214 
Element ; Polonium
Z ; 84
Daughter(s) ; (alpha) ; Pb-210 ; 100
Qalpha ; 7833.46
Possible parent(s) ; (B-) ; Bi-214 ; 99.979 ; (alpha) ; Rn-218 ; 100
Half-life (s) ; 162.3E-6 ; 1.2E-6
Decay constant (1/s) ; 4.271E3 ; 0.032E3
Specific activity (Bq/g) ; 12.02E24 ; 0.09E24
Reference ; CEA/LNE-LNHB - 2007
Emissions (10 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.205 ;  ; 0.0000347 ; 0.0000013 ; XL ; Pb-210 ;  ; 
72.8049 ;  ; 0.0000246 ; 0.0000015 ; XKa2 ; Pb-210 ;  ; 
74.97 ;  ; 0.0000414 ; 0.0000025 ; XKa1 ; Pb-210 ;  ; 
84.9527 ;  ; 0.0000141 ; 0.0000009 ; XK'b1 ; Pb-210 ;  ; 
87.5763 ;  ; 0.00000427 ; 0.00000027 ; XK'b2 ; Pb-210 ;  ; 
298 ; 1 ; 0.000052 ; 0.000018 ; g ; Pb-210 ; 2 ; 1
799.7 ; 0.1 ; 0.0104 ; 0.0006 ; g ; Pb-210 ; 1 ; 0
6610.1 ; 1.0 ; 0.000058 ; 0.000002 ; a ; Po-214 ; 0 ; 2
6902.6 ; 0.3 ; 0.0105 ; 0.0007 ; a ; Po-214 ; 0 ; 1
7686.82 ; 0.06 ; 99.9895 ; 0.0007 ; a ; Po-214 ; 0 ; 0
==========================================================================================================
