Nuclide ; Pr-147 
Element ; Praseodymium
Z ; 59
Daughter(s) ; (B-) ; Nd-147 ; 100
Q- ; 2703
Half-life (min) ; 13.4 ; 0.4
Half-life (s) ; 804 ; 24
Decay constant (1/s) ; 862E-6 ; 26E-6
Specific activity (Bq/g) ; 3.53E18 ; 0.11E18
Reference ; NDS 66 - 1999
Emissions (102 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
5.767 ;  ; 15.8 ; 2.3 ; XL ; Nd ;  ;  ; 
36.8478 ;  ; 25.2 ; 1.3 ; XKa2 ; Nd ;  ;  ; 
37.3614 ;  ; 46.0 ; 2.3 ; XKa1 ; Nd ;  ;  ; 
42.3396 ;  ; 14.2 ; 0.8 ; XK'b1 ; Nd ;  ;  ; 
43.4447 ;  ; 3.6 ; 0.2 ; XK'b2 ; Nd ;  ;  ; 
49.9 ; 0.1 ; 5.6 ; 0.4 ; g ; Nd-147 ; -1 ; 0 ; 
77.99 ; 0.05 ; 14.3 ; 0.8 ; g ; Nd-147 ; -1 ; 1 ; 
86.68 ; 0.05 ; 4.3 ; 0.4 ; g ; Nd-147 ; -1 ; 2 ; 
100.0 ; 0.3 ; 0.70 ; 0.05 ; g ; Nd-147 ; -1 ; 3 ; 
127.78 ; 0.06 ; 5.7 ; 0.5 ; g ; Nd-147 ; -1 ; 4 ; 
140.62 ; 0.10 ; 0.35 ; 0.03 ; g ; Nd-147 ; -1 ; 5 ; 
186.8 ; 0.2 ; 0.47 ; 0.04 ; g ; Nd-147 ; -1 ; 6 ; 
190.47 ; 0.08 ; 0.60 ; 0.05 ; g ; Nd-147 ; -1 ; 7 ; 
214.6 ; 0.1 ; 0.96 ; 0.07 ; g ; Nd-147 ; -1 ; 8 ; 
249.5 ; 0.2 ; 0.89 ; 0.07 ; g ; Nd-147 ; -1 ; 9 ; 
264.7 ; 0.1 ; 0.086 ; 0.013 ; g ; Nd-147 ; -1 ; 10 ; 
306.0 ; 0.3 ; 0.057 ; 0.007 ; g ; Nd-147 ; -1 ; 11 ; 
314.68 ; 0.10 ; 12.5 ; 0.1 ; g ; Nd-147 ; -1 ; 12 ; 
328.99 ; 0.06 ; 2.45 ; 0.18 ; g ; Nd-147 ; -1 ; 13 ; 
335.85 ; 0.06 ; 2.96 ; 0.24 ; g ; Nd-147 ; -1 ; 14 ; 
366.5 ; 0.2 ; 0.285 ; 0.023 ; g ; Nd-147 ; -1 ; 15 ; 
372.4 ; 0.3 ; 0.131 ; 0.014 ; g ; Nd-147 ; -1 ; 16 ; 
388.82 ; 0.08 ; 0.83 ; 0.06 ; g ; Nd-147 ; -1 ; 17 ; 
413.7 ; 0.2 ; 0.63 ; 0.05 ; g ; Nd-147 ; -1 ; 18 ; 
466.88 ; 0.09 ; 0.95 ; 0.07 ; g ; Nd-147 ; -1 ; 19 ; 
477.74 ; 0.08 ; 2.85 ; 0.23 ; g ; Nd-147 ; -1 ; 20 ; 
503.3 ; 0.2 ; 0.336 ; 0.025 ; g ; Nd-147 ; -1 ; 21 ; 
516.6 ; 0.1 ; 0.67 ; 0.05 ; g ; Nd-147 ; -1 ; 22 ; 
525.4 ; 0.2 ; 0.131 ; 0.014 ; g ; Nd-147 ; -1 ; 23 ; 
554.61 ; 0.07 ; 3.36 ; 0.25 ; g ; Nd-147 ; -1 ; 24 ; 
577.91 ; 0.06 ; 8.0 ; 0.6 ; g ; Nd-147 ; -1 ; 25 ; 
581.4 ; 0.4 ; 0.125 ; 0.014 ; g ; Nd-147 ; -1 ; 26 ; 
604.4 ; 0.3 ; 0.40 ; 0.03 ; g ; Nd-147 ; -1 ; 27 ; 
614.5 ; 0.2 ; 0.325 ; 0.025 ; g ; Nd-147 ; -1 ; 28 ; 
627.5 ; 0.2 ; 0.217 ; 0.017 ; g ; Nd-147 ; -1 ; 29 ; 
631.5 ; 0.1 ; 0.40 ; 0.03 ; g ; Nd-147 ; -1 ; 30 ; 
641.48 ; 0.06 ; 9.5 ; 0.7 ; g ; Nd-147 ; -1 ; 31 ; 
664.6 ; 0.2 ; 0.228 ; 0.021 ; g ; Nd-147 ; -1 ; 32 ; 
699.5 ; 0.2 ; 0.182 ; 0.015 ; g ; Nd-147 ; -1 ; 33 ; 
706.0 ; 0.1 ; 0.319 ; 0.024 ; g ; Nd-147 ; -1 ; 34 ; 
719.1 ; 0.1 ; 0.41 ; 0.04 ; g ; Nd-147 ; -1 ; 35 ; 
769.1 ; 0.2 ; 0.262 ; 0.022 ; g ; Nd-147 ; -1 ; 36 ; 
794.24 ; 0.10 ; 0.83 ; 0.06 ; g ; Nd-147 ; -1 ; 37 ; 
796.8 ; 0.5 ; 0.142 ; 0.014 ; g ; Nd-147 ; -1 ; 38 ; 
800.3 ; 0.2 ; 0.120 ; 0.013 ; g ; Nd-147 ; -1 ; 39 ; 
814.1 ; 0.2 ; 0.057 ; 0.007 ; g ; Nd-147 ; -1 ; 40 ; 
847.1 ; 0.2 ; 0.120 ; 0.013 ; g ; Nd-147 ; -1 ; 41 ; 
853.9 ; 0.3 ; 0.057 ; 0.007 ; g ; Nd-147 ; -1 ; 42 ; 
881.5 ; 0.1 ; 0.228 ; 0.021 ; g ; Nd-147 ; -1 ; 43 ; 
887.0 ; 0.1 ; 0.268 ; 0.023 ; g ; Nd-147 ; -1 ; 44 ; 
903.76 ; 0.09 ; 0.58 ; 0.05 ; g ; Nd-147 ; -1 ; 45 ; 
918.8 ; 0.2 ; 0.257 ; 0.022 ; g ; Nd-147 ; -1 ; 46 ; 
942.10 ; 0.09 ; 0.56 ; 0.05 ; g ; Nd-147 ; -1 ; 47 ; 
949.4 ; 0.3 ; 0.050 ; 0.009 ; g ; Nd-147 ; -1 ; 48 ; 
995.97 ; 0.08 ; 0.83 ; 0.07 ; g ; Nd-147 ; -1 ; 49 ; 
1036.6 ; 0.2 ; 0.120 ; 0.013 ; g ; Nd-147 ; -1 ; 50 ; 
