Nuclide ; Pu-239 
Element ; Plutonium
Z ; 94
Daughter(s) ; (alpha) ; U-235 ; 100
Qalpha ; 5244.51
Possible parent(s) ; (B-) ; Np-239 ; 100 ; (alpha) ; Cm-243 ; 99.71
Half-life (a) ; 24.100E3 ; 0.011E3
Half-life (s) ; 760.52E9 ; 0.35E9
Decay constant (1/s) ; 911.41E-15 ; 0.42E-15
Specific activity (Bq/g) ; 2.2965E9 ; 0.0010E9
Reference ; KRI - 2007
Emissions (266 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
0.0765 ; 0.0004 ; 0.00000001 ;  ; g ; U-235 ; 1 ; 0
12.975 ; 0.010 ; 0.0341 ; 0.0009 ; g ; U-235 ; 2 ; 1
14.22 ; 0.03 ; 0.0055 ; 0.0004 ; g ; U-235 ; -1 ; 1
16.1665 ;  ; 4.66 ; 0.05 ; XL ; U-235 ;  ; 
30.04 ; 0.02 ; 0.000219 ; 0.000008 ; g ; U-235 ; 5 ; 4
38.661 ; 0.002 ; 0.01047 ; 0.00021 ; g ; U-235 ; 4 ; 2
40.41 ; 0.05 ; 0.000163 ; 0.000016 ; g ; U-235 ; -1 ; 2
41.93 ; 0.05 ; 0.000163 ; 0.000008 ; g ; U-235 ; 10 ; 7
46.21 ; 0.05 ; 0.000726 ; 0.000013 ; g ; U-235 ; 3 ; 0
46.68 ; 0.03 ; 0.000050 ; 0.000006 ; g ; U-235 ; 11 ; 8
47.60 ; 0.03 ; 0.0000625 ; 0.0000025 ; g ; U-235 ; 7 ; 5
51.624 ; 0.001 ; 0.02694 ; 0.00026 ; g ; U-235 ; 4 ; 1
54.039 ; 0.008 ; 0.0001943 ; 0.0000028 ; g ; U-235 ; 12 ; 10
56.828 ; 0.003 ; 0.001136 ; 0.000015 ; g ; U-235 ; 6 ; 3
65.708 ; 0.030 ; 0.0000473 ; 0.0000025 ; g ; U-235 ; 14 ; 12
67.674 ; 0.012 ; 0.000158 ; 0.000005 ; g ; U-235 ; 9 ; 6
68.696 ; 0.006 ; 0.00036 ; 0.00010 ; g ; U-235 ; 5 ; 2
68.73 ; 0.02 ; 0.00013 ; 0.00006 ; g ; U-235 ; 8 ; 5
74.96 ; 0.10 ; 0.000038 ; 0.000006 ; g ; U-235 ; -1 ; 3
77.592 ; 0.014 ; 0.000380 ; 0.000006 ; g ; U-235 ; 7 ; 4
78.43 ; 0.02 ; 0.0001533 ; 0.0000028 ; g ; U-235 ; 13 ; 9
89.39 ; 0.06 ; 0.000002 ;  ; g ; U-235 ; 17 ; 13
89.64 ; 0.03 ; 0.000027 ; 0.000002 ; g ; U-235 ; 10 ; 5
94.666 ;  ; 0.00418 ; 0.00004 ; XKa2 ; U-235 ;  ; 
96.14 ; 0.03 ; 0.0000379 ; 0.0000019 ; g ; U-235 ; 12 ; 7
97.6 ; 0.3 ; 0.00009 ; 0.00006 ; g ; U-235 ; 15 ; 11
98.44 ;  ; 0.00661 ; 0.00009 ; XKa1 ; U-235 ;  ; 
98.78 ; 0.02 ; 0.00135 ; 0.00011 ; g ; U-235 ; 8 ; 4
103.06 ; 0.03 ; 0.000217 ; 0.000006 ; g ; U-235 ; 6 ; 0
111.2277 ;  ; 0.00239 ; 0.00003 ; XK'b1 ; U-235 ;  ; 
114.932 ;  ; 0.00131 ; 0.00006 ; XK'b2 ; U-235 ;  ; 
115.38 ; 0.05 ; 0.00046 ; 0.00005 ; g ; U-235 ; 11 ; 5
116.26 ; 0.02 ; 0.000581 ; 0.000019 ; g ; U-235 ; 7 ; 2
119.70 ; 0.03 ; 0.000021 ; 0.000003 ; g ; U-235 ; 10 ; 4
119.76 ; 0.02 ; 0.000009 ; 0.000002 ; g ; U-235 ; 14 ; 10
122.35 ; 0.12 ; 0.00000095 ; 0.00000013 ; g ; U-235 ; 12 ; 6
123.228 ; 0.005 ; 0.0000000016 ; 0.0000000004 ; g ; U-235 ; 37 ; 29
123.62 ; 0.05 ; 0.0000237 ; 0.0000009 ; g ; U-235 ; 21 ; 14
124.51 ; 0.03 ; 0.0000681 ; 0.0000019 ; g ; U-235 ; 9 ; 3
125.21 ; 0.10 ; 0.0000563 ; 0.0000016 ; g ; U-235 ; 10 ; 3
129.296 ; 0.001 ; 0.00631 ; 0.00004 ; g ; U-235 ; 7 ; 0
141.657 ; 0.020 ; 0.0000321 ; 0.0000010 ; g ; U-235 ; 19 ; 12
143.35 ; 0.20 ; 0.0000174 ; 0.0000008 ; g ; U-235 ; 12 ; 5
144.201 ; 0.003 ; 0.000285 ; 0.000007 ; g ; U-235 ; 15 ; 8
146.094 ; 0.006 ; 0.000121 ; 0.000003 ; g ; U-235 ; 13 ; 6
158.1 ; 0.3 ; 0.00000101 ; 0.00000010 ; g ; U-235 ; 10 ; 2
160.19 ; 0.05 ; 0.0000062 ; 0.0000013 ; g ; U-235 ; 18 ; 11
161.450 ; 0.015 ; 0.000122 ; 0.000006 ; g ; U-235 ; 16 ; 10
167.81 ; 0.05 ; 0.0000030 ; 0.0000008 ; g ; U-235 ; 17 ; 9
171.393 ; 0.006 ; 0.000110 ; 0.000003 ; g ; U-235 ; 10 ; 0
172.560 ; 0.008 ; 0.000000003 ;  ; g ; U-235 ; 42 ; 28
173.70 ; 0.05 ; 0.0000031 ; 0.0000008 ; g ; U-235 ; 12 ; 4
179.220 ; 0.012 ; 0.0000656 ; 0.0000019 ; g ; U-235 ; 12 ; 3
184.55 ; 0.05 ; 0.0000021 ; 0.0000006 ; g ; U-235 ; -1 ; 4
188.23 ; 0.10 ; 0.0000110 ; 0.0000011 ; g ; U-235 ; 14 ; 6
189.36 ; 0.01 ; 0.0000820 ; 0.0000014 ; g ; U-235 ; 21 ; 12
193.13 ; 0.12 ; 0.0000090 ; 0.0000009 ; g ; U-235 ; -1 ; 5
195.679 ; 0.008 ; 0.000106 ; 0.000002 ; g ; U-235 ; 19 ; 10
196.87 ; 0.05 ; 0.0000037 ; 0.0000004 ; g ; U-235 ; -1 ; 6
203.550 ; 0.005 ; 0.000563 ; 0.000009 ; g ; U-235 ; 16 ; 7
218.0 ; 0.5 ; 0.0000012 ; 0.0000010 ; g ; U-235 ; 21 ; 11
225.42 ; 0.04 ; 0.0000150 ; 0.0000004 ; g ; U-235 ; 12 ; 0
237.77 ; 0.10 ; 0.0000145 ; 0.0000006 ; g ; U-235 ; 19 ; 7
242.08 ; 0.03 ; 0.0000074 ; 0.0000005 ; g ; U-235 ; 26 ; 14
243.38 ; 0.03 ; 0.0000254 ; 0.0000007 ; g ; U-235 ; 21 ; 10
244.92 ; 0.05 ; 0.0000051 ; 0.0000005 ; g ; U-235 ; 14 ; 3
248.95 ; 0.05 ; 0.0000070 ; 0.0000006 ; g ; U-235 ; 24 ; 12
255.384 ; 0.015 ; 0.0000795 ; 0.0000020 ; g ; U-235 ; 22 ; 10
263.95 ; 0.03 ; 0.0000259 ; 0.0000010 ; g ; U-235 ; 20 ; 7
265.7 ; 0.3 ; 0.0000016 ; 0.0000004 ; g ; U-235 ; 30 ; 20
281.2 ; 0.2 ; 0.0000021 ; 0.0000003 ; g ; U-235 ; 16 ; 4
