Nuclide ; Pu-244 
Element ; Plutonium
Z ; 94
Daughter(s) ; (alpha) ; U-240 ; 99.88
Qalpha ; 4665.5
Possible parent(s) ; (B+, EC) ; Am-244m ; 0.036 ; (alpha) ; Cm-248 ; 91.61
Half-life (a) ; 81.1E6 ; 0.6E6
Half-life (s) ; 2.559E15 ; 0.019E15
Decay constant (1/s) ; 270.8E-18 ; 2.0E-18
Specific activity (Bq/g) ; 668.5E3 ; 4.9E3
Reference ; CEA/LNE-LNHB, NDS 49 &109 - 1999
Gamma emissions (387 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Pu-244 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
44.1 ; 0.7 ; 1.05 ; 0.05 ; g ; Np-240 ; -1 ; 0 ; U-240
49.1 ; 2.0 ; 0.007 ; 0.002 ; g ; Np-240 ; -1 ; 1 ; U-240
50.3 ; 2.0 ; 0.005 ; 0.001 ; g ; Np-240 ; -1 ; 2 ; U-240
66.5 ; 1.0 ; 0.154 ; 0.015 ; g ; Np-240 ; -1 ; 3 ; U-240
78.1 ; 2.0 ; 0.004 ; 0.001 ; g ; Np-240 ; -1 ; 4 ; U-240
82.6 ; 1.0 ; 0.014 ; 0.010 ; g ; Np-240 ; -1 ; 5 ; U-240
128.3 ; 1.0 ; 0.087 ; 0.020 ; g ; Np-240 ; -1 ; 6 ; U-240
145.4 ; 1.0 ; 0.081 ; 0.020 ; g ; Np-240 ; -1 ; 7 ; U-240
169.2 ; 1.0 ; 0.115 ; 0.008 ; g ; Np-240 ; -1 ; 8 ; U-240
189.7 ; 1.0 ; 0.24 ; 0.10 ; g ; Np-240 ; -1 ; 9 ; U-240
212.3 ; 0.5 ; 0.0015 ; 0.0003 ; g ; Np-240 ; -1 ; 10 ; U-240
255.6 ; 2.0 ; 0.004 ; 0.003 ; g ; Np-240 ; -1 ; 11 ; U-240
280.1 ; 1.0 ; 0.016 ; 0.010 ; g ; Np-240 ; -1 ; 12 ; U-240
294.8 ; 0.3 ; 0.0019 ; 0.0004 ; g ; Np-240 ; -1 ; 13 ; U-240
299.8 ; 2.0 ; 0.013 ; 0.010 ; g ; Np-240 ; -1 ; 14 ; U-240
----------------------------------------------------- Np-240 -----------------------------------------------------
42.8 ;  ; 0.11 ; 0.04 ; g ; Pu-240 ; -1 ; 0 ; Np-240
98.9 ;  ; 4.81 ; 0.24 ; g ; Pu-240 ; -1 ; 1 ; Np-240
139.9 ; 0.1 ; 0.24 ; 0.05 ; g ; Pu-240 ; -1 ; 2 ; Np-240
147.2 ; 0.1 ; 1.18 ; 0.14 ; g ; Pu-240 ; -1 ; 3 ; Np-240
152.7 ; 0.1 ; 6.7 ; 0.5 ; g ; Pu-240 ; -1 ; 4 ; Np-240
175.4 ; 0.1 ; 4.7 ; 0.3 ; g ; Pu-240 ; -1 ; 5 ; Np-240
193.3 ; 0.1 ; 5.6 ; 0.4 ; g ; Pu-240 ; -1 ; 6 ; Np-240
222.5 ; 0.3 ; 0.37 ; 0.05 ; g ; Pu-240 ; -1 ; 7 ; Np-240
239.3 ; 0.1 ; 0.41 ; 0.06 ; g ; Pu-240 ; -1 ; 8 ; Np-240
271.3 ; 0.1 ; 5.7 ; 0.4 ; g ; Pu-240 ; -1 ; 9 ; Np-240
295.2 ; 0.1 ; 0.44 ; 0.06 ; g ; Pu-240 ; -1 ; 10 ; Np-240
306.8 ; 0.1 ; 0.39 ; 0.05 ; g ; Pu-240 ; -1 ; 11 ; Np-240
388.7 ; 0.1 ; 0.89 ; 0.07 ; g ; Pu-240 ; -1 ; 12 ; Np-240
419.2 ; 0.1 ; 0.79 ; 0.07 ; g ; Pu-240 ; -1 ; 13 ; Np-240
448.01 ; 0.06 ; 12.3 ; 0.7 ; g ; Pu-240 ; -1 ; 14 ; Np-240
466.7 ; 0.1 ; 1.07 ; 0.07 ; g ; Pu-240 ; -1 ; 15 ; Np-240
507.3 ; 0.2 ; 1.67 ; 0.10 ; g ; Pu-240 ; -1 ; 16 ; Np-240
566.34 ; 0.06 ; 25.30 ; 0.15 ; g ; Pu-240 ; -1 ; 17 ; Np-240
583.9 ; 0.1 ; 0.37 ; 0.08 ; g ; Pu-240 ; -1 ; 18 ; Np-240
600.57 ; 0.06 ; 18.4 ; 1.1 ; g ; Pu-240 ; -1 ; 19 ; Np-240
606.1 ; 0.1 ; 1.62 ; 0.10 ; g ; Pu-240 ; -1 ; 20 ; Np-240
633.5 ; 0.2 ; 0.20 ; 0.04 ; g ; Pu-240 ; -1 ; 21 ; Np-240
821.2 ; 0.1 ; 1.06 ; 0.09 ; g ; Pu-240 ; -1 ; 22 ; Np-240
867.2 ; 0.1 ; 8.1 ; 0.5 ; g ; Pu-240 ; -1 ; 23 ; Np-240
888.8 ; 0.1 ; 2.30 ; 0.12 ; g ; Pu-240 ; -1 ; 24 ; Np-240
895.8 ; 0.1 ; 13.6 ; 0.8 ; g ; Pu-240 ; -1 ; 25 ; Np-240
916.0 ; 0.1 ; 1.22 ; 0.11 ; g ; Pu-240 ; -1 ; 26 ; Np-240
934.5 ; 0.1 ; 0.33 ; 0.04 ; g ; Pu-240 ; -1 ; 27 ; Np-240
938.2 ; 0.1 ; 0.17 ; 0.03 ; g ; Pu-240 ; -1 ; 28 ; Np-240
959.1 ; 0.1 ; 1.69 ; 0.13 ; g ; Pu-240 ; -1 ; 29 ; Np-240
973.9 ; 0.1 ; 23.8 ; 1.4 ; g ; Pu-240 ; -1 ; 30 ; Np-240
987.7 ; 0.1 ; 6.7 ; 0.5 ; g ; Pu-240 ; -1 ; 31 ; Np-240
1014.4 ; 0.1 ; 0.21 ; 0.06 ; g ; Pu-240 ; -1 ; 32 ; Np-240
