Nuclide ; Ra-224 
Element ; Radium
Z ; 88
Daughter(s) ; (alpha) ; Rn-220 ; 100
Qalpha ; 5788.85
Possible parent(s) ; (alpha) ; Th-228 ; 100
Half-life (d) ; 3.631 ; 0.002
Half-life (s) ; 313.72E3 ; 0.17E3
Decay constant (1/s) ; 2.2095E-6 ; 0.0012E-6
Specific activity (Bq/g) ; 5.9400E15 ; 0.0033E15
Reference ; Surrey Univ. - 2011
Emissions (15 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
13.7085 ;  ; 0.373 ; 0.016 ; XL ; Rn-220 ;  ; 
81.07 ;  ; 0.130 ; 0.003 ; XKa2 ; Rn-220 ;  ; 
83.78 ;  ; 0.214 ; 0.004 ; XKa1 ; Rn-220 ;  ; 
94.8547 ;  ; 0.0743 ; 0.0018 ; XK'b1 ; Rn-220 ;  ; 
97.8967 ;  ; 0.0238 ; 0.0007 ; XK'b2 ; Rn-220 ;  ; 
240.986 ; 0.006 ; 4.12 ; 0.04 ; g ; Rn-220 ; 1 ; 0
292.7 ; 0.1 ; 0.0063 ; 0.0007 ; g ; Rn-220 ; 2 ; 1
404.45 ; 0.09 ; 0.0022 ; 0.0005 ; g ; Rn-220 ; 3 ; 1
422.04 ; 0.10 ; 0.0030 ; 0.0005 ; g ; Rn-220 ; 4 ; 1
645.44 ; 0.09 ; 0.0054 ; 0.0009 ; g ; Rn-220 ; 3 ; 0
5034.29 ; 0.18 ; 0.0030 ; 0.0005 ; a ; Ra-224 ; 0 ; 4
5051.56 ; 0.17 ; 0.0076 ; 0.0010 ; a ; Ra-224 ; 0 ; 3
5161.32 ; 0.18 ; 0.0072 ; 0.0008 ; a ; Ra-224 ; 0 ; 2
5448.80 ; 0.15 ; 5.25 ; 0.05 ; a ; Ra-224 ; 0 ; 1
5685.48 ; 0.15 ; 94.73 ; 0.05 ; a ; Ra-224 ; 0 ; 0
==========================================================================================================
