Nuclide ; Ra-225 
Element ; Radium
Z ; 88
Daughter(s) ; (B-) ; Ac-225 ; 100
Q- ; 356
Possible parent(s) ; (alpha) ; Th-229 ; 100
Half-life (d) ; 14.82 ; 0.19
Half-life (s) ; 1.280E6 ; 0.016E6
Decay constant (1/s) ; 541E-9 ; 7E-9
Specific activity (Bq/g) ; 1.449E15 ; 0.019E15
Reference ; CNDC - 2008
Emissions (321 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Ra-225 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
14.89645 ;  ; 13.6 ; 0.6 ; XL ; Ac ;  ;  ; Ra-225
40.09 ; 0.05 ; 30.0 ; 0.7 ; g ; Ac-225 ; 1 ; 0 ; Ra-225
----------------------------------------------------- Ac-225 -----------------------------------------------------
10.79 ; 0.02 ; 0.015 ; 0.002 ; g ; Fr-221 ; 2 ; 1 ; Ac-225
14.08955 ;  ; 19.0 ; 0.6 ; XL ; Fr ;  ;  ; Ac-225
25.856 ; 0.017 ; 0.00159 ; 0.00021 ; g ; Fr-221 ; 1 ; 0 ; Ac-225
36.646 ; 0.011 ; 0.0181 ; 0.0015 ; g ; Fr-221 ; 2 ; 0 ; Ac-225
38.546 ; 0.012 ; 0.0107 ; 0.0010 ; g ; Fr-221 ; 3 ; 0 ; Ac-225
46.159 ; 0.024 ; 0.0049 ; 0.0007 ; g ; Fr-221 ; 8 ; 4 ; Ac-225
49.166 ; 0.017 ; 0.0080 ; 0.0008 ; g ; Fr-221 ; 9 ; 6 ; Ac-225
50.311 ; 0.021 ; 0.00062 ;  ; g ; Fr-221 ; 9 ; 5 ; Ac-225
53.036 ; 0.039 ; 0.004 ;  ; g ; Fr-221 ; 34 ; 32 ; Ac-225
57.762 ; 0.016 ; 0.0051 ; 0.0008 ; g ; Fr-221 ; 13 ; 10 ; Ac-225
62.351 ; 0.016 ; 0.0053 ; 0.0012 ; g ; Fr-221 ; 6 ; 3 ; Ac-225
62.950 ; 0.017 ; 0.49 ; 0.03 ; g ; Fr-221 ; 4 ; 2 ; Ac-225
63.106 ; 0.019 ; 0.021 ; 0.003 ; g ; Fr-221 ; 5 ; 2 ; Ac-225
64.251 ; 0.016 ; 0.047 ; 0.004 ; g ; Fr-221 ; 6 ; 2 ; Ac-225
69.858 ; 0.016 ; 0.0047 ; 0.0012 ; g ; Fr-221 ; 7 ; 3 ; Ac-225
71.758 ; 0.016 ; 0.0132 ; 0.0013 ; g ; Fr-221 ; 7 ; 2 ; Ac-225
73.740 ; 0.021 ; 0.019 ; 0.005 ; g ; Fr-221 ; 4 ; 1 ; Ac-225
73.896 ; 0.023 ; 0.309 ; 0.023 ; g ; Fr-221 ; 5 ; 1 ; Ac-225
75.041 ; 0.020 ; 0.015 ; 0.003 ; g ; Fr-221 ; 6 ; 1 ; Ac-225
78.812 ; 0.024 ; 0.0123 ; 0.0019 ; g ; Fr-221 ; 11 ; 8 ; Ac-225
83.23 ;  ; 1.06 ; 0.07 ; XKa2 ; Fr ;  ;  ; Ac-225
86.1 ;  ; 1.73 ; 0.12 ; XKa1 ; Fr ;  ;  ; Ac-225
