Nuclide ; Ra-226 
Element ; Radium
Z ; 88
Daughter(s) ; (alpha) ; Rn-222 ; 100
Qalpha ; 4870.62
Possible parent(s) ; (alpha) ; Th-230 ; 100
Half-life (a) ; 1.600E3 ; 0.007E3
Half-life (s) ; 50.49E9 ; 0.22E9
Decay constant (1/s) ; 13.73E-12 ; 0.06E-12
Specific activity (Bq/g) ; 36.58E9 ; 0.16E9
Reference ; CEA/LNE-LNHB - 2006
Emissions (15 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
13.7 ;  ; 0.807 ; 0.014 ; XL ; Rn-222 ;  ; 
81.07 ;  ; 0.192 ; 0.004 ; XKa2 ; Rn-222 ;  ; 
83.78 ;  ; 0.317 ; 0.006 ; XKa1 ; Rn-222 ;  ; 
94.8547 ;  ; 0.1098 ; 0.0025 ; XK'b1 ; Rn-222 ;  ; 
97.8967 ;  ; 0.0351 ; 0.0010 ; XK'b2 ; Rn-222 ;  ; 
186.211 ; 0.013 ; 3.555 ; 0.019 ; g ; Rn-222 ; 1 ; 0
262.27 ; 0.05 ; 0.0055 ; 0.0018 ; g ; Rn-222 ; 2 ; 1
414.60 ; 0.05 ; 0.0003 ;  ; g ; Rn-222 ; 3 ; 1
449.37 ; 0.10 ; 0.0002 ;  ; g ; Rn-222 ; 4 ; 1
600.66 ; 0.05 ; 0.0005 ;  ; g ; Rn-222 ; 3 ; 0
4160 ; 2 ; 0.0002 ;  ; a ; Ra-226 ; 0 ; 4
4191 ; 2 ; 0.0008 ;  ; a ; Ra-226 ; 0 ; 3
4340 ; 1 ; 0.0066 ; 0.0022 ; a ; Ra-226 ; 0 ; 2
4601 ; 1 ; 5.95 ; 0.04 ; a ; Ra-226 ; 0 ; 1
4784.34 ; 0.25 ; 94.038 ; 0.040 ; a ; Ra-226 ; 0 ; 0
==========================================================================================================
