Nuclide ; Ra-226 D
Element ; Radium
Z ; 88
Daughter(s) ; (alpha) ; Rn-222 ; 100
Qalpha ; 4870.62
In equilibrium with ; Rn-222 ; Rn-218 ; At-218 ; Po-218 ; Pb-214 ; Bi-214 ; Po-214 ; Po-210 ; Bi-210 ; Pb-210 ; Tl-210 ; Tl-206 ; Hg-206
Half-life (a) ; 1.600E3 ; 0.007E3
Half-life (s) ; 50.49E9 ; 0.22E9
Decay constant (1/s) ; 13.73E-12 ; 0.06E-12
Specific activity (Bq/g) ; 36.58E9 ; 0.16E9
Reference ; CEA/LNE-LNHB - 2008
Emissions (294 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
12.205 ;  ; 0.0047 ; 0.0006 ; XL ; Pb ;  ; 
12.89 ;  ; 34.7 ; 0.6 ; XL ; Bi ;  ; 
12.935 ;  ; 0.629 ; 0.015 ; XL ; Po ;  ; 
13.6685 ;  ; 0.807 ; 0.014 ; XL ; Rn ;  ; 
46.539 ; 0.001 ; 4.312 ; 0.041 ; g ; Bi-210* ;  ; 
53.228 ; 0.021 ; 1.060 ; 0.007 ; g ; Bi-214* ;  ; 
62.5 ; 3.1 ; 0.0116 ; 0.0007 ; g ; Tl-210* ;  ; 
74.8157 ;  ; 6.26 ; 0.12 ; XKa2 ; Bi ;  ; 
76.864 ;  ; 0.427 ; 0.013 ; XKa2 ; Po ;  ; 
77.1088 ;  ; 10.47 ; 0.20 ; XKa1 ; Bi ;  ; 
79.293 ;  ; 0.712 ; 0.022 ; XKa1 ; Po ;  ; 
81.07 ;  ; 0.192 ; 0.004 ; XKa2 ; Rn ;  ; 
83.78 ;  ; 0.317 ; 0.006 ; XKa1 ; Rn ;  ; 
87.344 ;  ; 3.59 ; 0.09 ; XK'b1 ; Bi ;  ; 
89.807 ;  ; 0.245 ; 0.009 ; XK'b1 ; Po ;  ; 
90.074 ;  ; 1.10 ; 0.04 ; XK'b2 ; Bi ;  ; 
92.618 ;  ; 0.0762 ; 0.0029 ; XK'b2 ; Po ;  ; 
94.868 ;  ; 0.1098 ; 0.0025 ; XK'b1 ; Rn ;  ; 
97.853 ;  ; 0.0351 ; 0.0010 ; XK'b2 ; Rn ;  ; 
107.22 ; 0.09 ; 0.0068 ; 0.0014 ; g ; Bi-214* ;  ; 
137.45 ; 0.30 ; 0.045 ; 0.018 ; g ; Bi-214* ;  ; 
141.3 ; 0.6 ; 0.027 ; 0.014 ; g ; Bi-214* ;  ; 
170.07 ; 0.06 ; 0.0146 ; 0.0027 ; g ; Bi-214* ;  ; 
186.211 ; 0.013 ; 3.555 ; 0.019 ; g ; Rn-222 ;  ; 
191.1 ; 3.1 ; 0.00125 ; 0.00007 ; g ; Tl-210* ;  ; 
196.20 ; 0.05 ; 0.069 ; 0.009 ; g ; Bi-214* ;  ; 
205.68 ; 0.09 ; 0.0114 ; 0.0023 ; g ; Bi-214* ;  ; 
216.47 ; 0.07 ; 0.0100 ; 0.0023 ; g ; Bi-214* ;  ; 
221 ; 1 ; 0.059 ; 0.006 ; g ; Po-214* ;  ; 
230 ; 1 ; 0.0029 ; 0.0010 ; g ; Po-214* ;  ; 
241.997 ; 0.003 ; 7.268 ; 0.022 ; g ; Bi-214* ;  ; 
252.80 ; 0.06 ; 0.0117 ; 0.0018 ; g ; Po-214* ;  ; 
258.87 ; 0.03 ; 0.5318 ; 0.0036 ; g ; Bi-214* ;  ; 
262.27 ; 0.05 ; 0.0055 ; 0.0018 ; g ; Rn-222 ;  ; 
268.8 ; 0.2 ; 0.0161 ; 0.0018 ; g ; Po-214* ;  ; 
273.80 ; 0.05 ; 0.120 ; 0.008 ; g ; Po-214* ;  ; 
274.80 ; 0.05 ; 0.362 ; 0.010 ; g ; Bi-214* ;  ; 
280.95 ; 0.05 ; 0.062 ; 0.006 ; g ; Po-214* ;  ; 
295.224 ; 0.002 ; 18.414 ; 0.036 ; g ; Bi-214* ;  ; 
298 ; 1 ; 0.0166 ; 0.0021 ; g ; Pb-210* ;  ; 
304.2 ; 0.2 ; 0.0225 ; 0.0023 ; g ; Po-214* ;  ; 
305.26 ; 0.03 ; 0.0315 ; 0.0021 ; g ; Bi-214* ;  ; 
314.32 ; 0.07 ; 0.077 ; 0.006 ; g ; Bi-214* ;  ; 
323.83 ; 0.04 ; 0.0287 ; 0.0032 ; g ; Bi-214* ;  ; 
333.350 ; 0.042 ; 0.063 ; 0.004 ; g ; Po-214* ;  ; 
334.78 ; 0.08 ; 0.033 ; 0.005 ; g ; Po-214* ;  ; 
348.92 ; 0.06 ; 0.123 ; 0.032 ; g ; Po-214* ;  ; 
351.932 ; 0.002 ; 35.60 ; 0.07 ; g ; Bi-214* ;  ; 
386.77 ; 0.05 ; 0.296 ; 0.005 ; g ; Po-214* ;  ; 
388.88 ; 0.05 ; 0.394 ; 0.005 ; g ; Po-214* ;  ; 
394.05 ; 0.08 ; 0.0127 ; 0.0018 ; g ; Po-214* ;  ; 
396.01 ; 0.08 ; 0.0259 ; 0.0018 ; g ; Po-214* ;  ; 
405.74 ; 0.03 ; 0.171 ; 0.007 ; g ; Po-214* ;  ; 
452.92 ; 0.10 ; 0.031 ; 0.004 ; g ; Po-214* ;  ; 
454.770 ; 0.012 ; 0.288 ; 0.005 ; g ; Po-214* ;  ; 
