Nuclide ; Rb-81 
Element ; Rubidium
Z ; 37
Daughter(s) ; (B+, EC) ; Kr-81 ; 100
Q+ ; 2262
Possible parent(s) ; (I.T.) ; Rb-81m ; 96.2
Half-life (h) ; 4.25 ; 0.25
Half-life (s) ; 15.3E3 ; 0.9E3
Decay constant (1/s) ; 45.3E-6 ; 2.7E-6
Specific activity (Bq/g) ; 337E15 ; 20E15
Reference ; CEA/LNE-LNHB - 1998
Emissions (52 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
1.645 ;  ; 2.2 ; 0.3 ; XL ; Kr ;  ;  ; 
12.599 ;  ; 16.0 ; 1.6 ; XKa2 ; Kr ;  ;  ; 
12.65 ;  ; 31 ; 3 ; XKa1 ; Kr ;  ;  ; 
14.152 ;  ; 7.5 ; 0.7 ; XK'b1 ; Kr ;  ;  ; 
14.3215 ;  ; 0.60 ; 0.05 ; XK'b2 ; Kr ;  ;  ; 
49.57 ; 0.05 ; 0.065 ; 0.004 ; g ; Kr-81 ; 1 ; 0 ; 
59.4 ; 0.1 ; 0.008 ; 0.002 ; g ; Kr-81 ; 5 ; 4 ; 
63.96 ; 0.04 ; 0.056 ; 0.004 ; g ; Kr-81 ; 7 ; 6 ; 
190.30 ; 0.03 ; 64.6 ; 0.5 ; g ; Kr-81 ; 2 ; 0 ; 
218.8 ; 0.6 ; 0.019 ; 0.005 ; g ; Kr-81 ; 8 ; 7 ; 
243.80 ; 0.08 ; 0.28 ; 0.05 ; g ; Kr-81 ; 7 ; 3 ; 
266.4 ; 0.1 ; 0.037 ; 0.005 ; g ; Kr-81 ; 3 ; 2 ; 
283.0 ; 0.2 ; 0.044 ; 0.010 ; g ; Kr-81 ; 8 ; 6 ; 
319.06 ; 0.10 ; 0.047 ; 0.012 ; g ; Kr-81 ; 12 ; 8 ; 
339.7 ; 0.2 ; 0.060 ; 0.006 ; g ; Kr-81 ; 9 ; 6 ; 
357.7 ; 0.2 ; 0.74 ; 0.06 ; g ; Kr-81 ; 10 ; 6 ; 
