Nuclide ; Rb-91 
Element ; Rubidium
Z ; 37
Daughter(s) ; (B-) ; Sr-91 ; 100
Q- ; 5907
Possible parent(s) ; (B-) ; Kr-91 ; 100
Half-life (s) ; 58.4 ; 0.4
Decay constant (1/s) ; 11.87E-3 ; 0.08E-3
Specific activity (Bq/g) ; 78.5E18 ; 0.5E18
Reference ; NDS 86 - 1999
Emissions (130 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
1.9 ;  ; 0.72 ; 0.24 ; XL ; Sr ;  ;  ; 
14.098 ;  ; 7.1 ; 0.7 ; XKa2 ; Sr ;  ;  ; 
14.1652 ;  ; 13.8 ; 1.3 ; XKa1 ; Sr ;  ;  ; 
15.8767 ;  ; 3.4 ; 0.4 ; XK'b1 ; Sr ;  ;  ; 
16.0943 ;  ; 0.4 ; 0.5 ; XK'b2 ; Sr ;  ;  ; 
93.628 ; 0.004 ; 33.8 ; 2.5 ; g ; Sr-91 ; -1 ; 0 ; 
345.52 ; 0.03 ; 8.3 ; 0.6 ; g ; Sr-91 ; -1 ; 1 ; 
439.15 ; 0.03 ; 2.10 ; 0.15 ; g ; Sr-91 ; -1 ; 2 ; 
509.6 ; 0.5 ; 0.17 ; 0.03 ; g ; Sr-91 ; -1 ; 3 ; 
593.23 ; 0.03 ; 1.29 ; 0.10 ; g ; Sr-91 ; -1 ; 4 ; 
602.85 ; 0.03 ; 2.84 ; 0.21 ; g ; Sr-91 ; -1 ; 5 ; 
702.66 ; 0.25 ; 0.105 ; 0.018 ; g ; Sr-91 ; -1 ; 6 ; 
749.73 ; 0.25 ; 0.112 ; 0.022 ; g ; Sr-91 ; -1 ; 7 ; 
816.5 ; 0.5 ; 0.101 ; 0.025 ; g ; Sr-91 ; -1 ; 8 ; 
875.0 ; 0.3 ; 0.108 ; 0.018 ; g ; Sr-91 ; -1 ; 9 ; 
912.8 ; 0.4 ; 0.071 ; 0.024 ; g ; Sr-91 ; -1 ; 10 ; 
917.59 ; 0.22 ; 0.19 ; 0.04 ; g ; Sr-91 ; -1 ; 11 ; 
948.49 ; 0.05 ; 1.17 ; 0.09 ; g ; Sr-91 ; -1 ; 12 ; 
