Nuclide ; Re-188 
Element ; Rhenium
Z ; 75
Daughter(s) ; (B-) ; Os-188 ; 100
Q- ; 2120.4
Possible parent(s) ; (I.T.) ; Re-188m ; 100 ; (B-) ; W-188 ; 100
Half-life (h) ; 17.005 ; 0.004
Half-life (s) ; 61.218E3 ; 0.014E3
Decay constant (1/s) ; 11.3226E-6 ; 0.0027E-6
Specific activity (Bq/g) ; 36.269E15 ; 0.009E15
Reference ; LBNL - 1998
Emissions (57 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
10.37 ;  ; 3.00 ; 0.15 ; XL ; Os-188 ;  ; 
61.4873 ;  ; 1.36 ; 0.09 ; XKa2 ; Os-188 ;  ; 
63.0011 ;  ; 2.35 ; 0.16 ; XKa1 ; Os-188 ;  ; 
71.449 ;  ; 0.79 ; 0.05 ; XK'b1 ; Os-188 ;  ; 
73.5843 ;  ; 0.22 ; 0.02 ; XK'b2 ; Os-188 ;  ; 
155 ;  ; 0.0059 ; 0.0006 ; g ; Os-188 ; 3 ; 2
155.041 ; 0.004 ; 15.2 ; 0.6 ; g ; Os-188 ; 1 ; 0
312.001 ; 0.024 ; 0.043 ; 0.012 ; g ; Os-188 ; 4 ; 2
322.93 ; 0.04 ; 0.0162 ; 0.0015 ; g ; Os-188 ; 2 ; 1
453.34 ; 0.02 ; 0.073 ; 0.008 ; g ; Os-188 ; 5 ; 3
477.992 ; 0.025 ; 1.02 ; 0.09 ; g ; Os-188 ; 3 ; 1
486.087 ; 0.011 ; 0.079 ; 0.006 ; g ; Os-188 ; 21 ; 10
514.88 ; 0.06 ; 0.0054 ; 0.0005 ; g ; Os-188 ; 6 ; 4
557.71 ; 0.10 ; 0.00095 ; 0.00009 ; g ; Os-188 ; 24 ; 10
623.8 ; 0.3 ; 0.0024 ; 0.0005 ; g ; Os-188 ; 7 ; 4
632.981 ; 0.021 ; 1.28 ; 0.10 ; g ; Os-188 ; 3 ; 0
634.98 ; 0.07 ; 0.148 ; 0.012 ; g ; Os-188 ; 4 ; 1
672.535 ; 0.016 ; 0.112 ; 0.009 ; g ; Os-188 ; 10 ; 4
810.49 ; 0.04 ; 0.00092 ; 0.00022 ; g ; Os-188 ; 8 ; 3
825.2 ; 0.7 ; 0.0176 ; 0.0015 ; g ; Os-188 ; 9 ; 3
829.47 ; 0.04 ; 0.41 ; 0.03 ; g ; Os-188 ; 10 ; 3
845.07 ; 0.04 ; 0.0065 ; 0.0005 ; g ; Os-188 ; 11 ; 3
931.345 ; 0.010 ; 0.55 ; 0.04 ; g ; Os-188 ; 5 ; 1
979.25 ; 0.17 ; 0.00104 ; 0.00020 ; g ; Os-188 ; -1 ; 0
984.1 ; 0.5 ; 0.00034 ; 0.00021 ; g ; Os-188 ; 10 ; 2
1017.7 ; 0.1 ; 0.0147 ; 0.0011 ; g ; Os-188 ; 16 ; 4
1071.4 ; 0.3 ; 0.00067 ; 0.00013 ; g ; Os-188 ; 13 ; 3
1096.8 ; 0.4 ; 0.00064 ; 0.00017 ; g ; Os-188 ; 14 ; 3
1132.31 ; 0.02 ; 0.083 ; 0.007 ; g ; Os-188 ; 15 ; 3
1149.7 ; 0.4 ; 0.015 ; 0.001 ; g ; Os-188 ; 6 ; 1
1150.5 ; 0.4 ; 0.015 ; 0.001 ; g ; Os-188 ; 20 ; 4
1174.57 ; 0.03 ; 0.0180 ; 0.0015 ; g ; Os-188 ; 16 ; 3
1191.84 ; 0.12 ; 0.0134 ; 0.0011 ; g ; Os-188 ; 17 ; 3
1209.790 ; 0.024 ; 0.00300 ; 0.00024 ; g ; Os-188 ; 18 ; 3
1302.4 ; 0.3 ; 0.0057 ; 0.0008 ; g ; Os-188 ; 9 ; 1
1304.86 ; 0.20 ; 0.0028 ; 0.0004 ; g ; Os-188 ; 6 ; 0
1308.03 ; 0.06 ; 0.065 ; 0.005 ; g ; Os-188 ; 20 ; 3
1322.91 ; 0.20 ; 0.011 ; 0.003 ; g ; Os-188 ; 11 ; 1
1331.95 ; 0.07 ; 0.00174 ; 0.00024 ; g ; Os-188 ; 23 ; 3
1457.54 ; 0.13 ; 0.0186 ; 0.0015 ; g ; Os-188 ; 9 ; 0
1463.0 ; 0.6 ; 0.0008 ; 0.0003 ; g ; Os-188 ; 10 ; 0
1530.5 ; 0.3 ; 0.00055 ; 0.00017 ; g ; Os-188 ; 12 ; 1
1549.26 ; 0.10 ; 0.0016 ; 0.0009 ; g ; Os-188 ; 13 ; 1
