Nuclide ; Ru-106 
Element ; Ruthenium
Z ; 44
Daughter(s) ; (B-) ; Rh-106 ; 100
Q- ; 39.4
Half-life (d) ; 371.5 ; 2.1
Half-life (s) ; 32.10E6 ; 0.18E6
Decay constant (1/s) ; 21.59E-9 ; 0.12E-9
Specific activity (Bq/g) ; 122.7E12 ; 0.7E12
Reference ; NPL - 2013
Emissions (92 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Ru-106 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
3.0295 ;  ; 0.00785 ; 0.00014 ; XL ; Pd ;  ;  ; Rh-106
21.0203 ;  ; 0.0310 ; 0.0005 ; XKa2 ; Pd ;  ;  ; Rh-106
21.1774 ;  ; 0.0586 ; 0.0009 ; XKa1 ; Pd ;  ;  ; Rh-106
23.8745 ;  ; 0.01608 ; 0.00029 ; XK'b1 ; Pd ;  ;  ; Rh-106
24.3217 ;  ; 0.00273 ; 0.00010 ; XK'b2 ; Pd ;  ;  ; Rh-106
428.49 ; 0.05 ; 0.0704 ; 0.0024 ; g ; Pd-106 ; 6 ; 3 ; Rh-106
434.23 ; 0.04 ; 0.020 ; 0.004 ; g ; Pd-106 ; 6 ; 2 ; Rh-106
439.23 ; 0.06 ; 0.0111 ; 0.0016 ; g ; Pd-106 ; 9 ; 6 ; Rh-106
511.8534 ; 0.0023 ; 20.52 ; 0.23 ; g ; Pd-106 ; 1 ; 0 ; Rh-106
578.42 ; 0.06 ; 0.0090 ; 0.0006 ; g ; Pd-106 ; 7 ; 2 ; Rh-106
616.16 ; 0.03 ; 0.731 ; 0.017 ; g ; Pd-106 ; 2 ; 1 ; Rh-106
621.90 ; 0.04 ; 9.87 ; 0.15 ; g ; Pd-106 ; 3 ; 1 ; Rh-106
680.23 ; 0.06 ; 0.0103 ; 0.0006 ; g ; Pd-106 ; 10 ; 6 ; Rh-106
684.80 ; 0.06 ; 0.00552 ; 0.00021 ; g ; Pd-106 ; 10 ; 5 ; Rh-106
702.8 ; 1.0 ; 0.00029 ; 0.00018 ; g ; Pd-106 ; 17 ; 9 ; Rh-106
715.86 ; 0.09 ; 0.0099 ; 0.0004 ; g ; Pd-106 ; 11 ; 6 ; Rh-106
717.44 ; 0.04 ; 0.0067 ; 0.0004 ; g ; Pd-106 ; 4 ; 1 ; Rh-106
751.26 ; 0.20 ; 0.00121 ; 0.00023 ; g ; Pd-106 ; 12 ; 5 ; Rh-106
873.46 ; 0.06 ; 0.435 ; 0.008 ; g ; Pd-106 ; 9 ; 2 ; Rh-106
942.63 ; 0.09 ; 0.00060 ; 0.00018 ; g ; Pd-106 ; 15 ; 5 ; Rh-106
1045.82 ; 0.04 ; 0.0131 ; 0.0016 ; g ; Pd-106 ; 5 ; 1 ; Rh-106
1050.39 ; 0.03 ; 1.490 ; 0.025 ; g ; Pd-106 ; 6 ; 1 ; Rh-106
1062.14 ; 0.06 ; 0.0304 ; 0.0019 ; g ; Pd-106 ; 16 ; 6 ; Rh-106
1108.71 ; 0.06 ; 0.0056 ; 0.0003 ; g ; Pd-106 ; 10 ; 3 ; Rh-106
1114.45 ; 0.06 ; 0.0117 ; 0.0003 ; g ; Pd-106 ; 10 ; 2 ; Rh-106
1128.01 ; 0.03 ; 0.398 ; 0.008 ; g ; Pd-106 ; 2 ; 0 ; Rh-106
1150.08 ; 0.09 ; 0.00287 ; 0.00017 ; g ; Pd-106 ; 11 ; 2 ; Rh-106
1159.90 ; 0.21 ; 0.00023 ; 0.00012 ; g ; Pd-106 ; 18 ; 5 ; Rh-106
1180.79 ; 0.06 ; 0.0144 ; 0.0003 ; g ; Pd-106 ; 12 ; 2 ; Rh-106
1194.58 ; 0.05 ; 0.0573 ; 0.0008 ; g ; Pd-106 ; 7 ; 1 ; Rh-106
1209.79 ; 0.08 ; 0.00039 ; 0.00008 ; g ; Pd-106 ; 13 ; 4 ; Rh-106
1258.71 ; 0.09 ; 0.00066 ; 0.00008 ; g ; Pd-106 ; 20 ; 6 ; Rh-106
1266.03 ; 0.09 ; 0.00109 ; 0.00010 ; g ; Pd-106 ; 21 ; 6 ; Rh-106
1305.33 ; 0.08 ; 0.00109 ; 0.00012 ; g ; Pd-106 ; 13 ; 3 ; Rh-106
1315.66 ; 0.08 ; 0.0030 ; 0.0005 ; g ; Pd-106 ; 22 ; 6 ; Rh-106
1355.60 ; 0.09 ; 0.00060 ; 0.00025 ; g ; Pd-106 ; 24 ; 6 ; Rh-106
1360.17 ; 0.09 ; 0.0018 ; 0.0004 ; g ; Pd-106 ; 24 ; 5 ; Rh-106
1372.28 ; 0.09 ; 0.00199 ; 0.00015 ; g ; Pd-106 ; 15 ; 2 ; Rh-106
1397.51 ; 0.16 ; 0.00277 ; 0.00021 ; g ; Pd-106 ; 8 ; 1 ; Rh-106
1489.61 ; 0.05 ; 0.0018 ; 0.0003 ; g ; Pd-106 ; 9 ; 1 ; Rh-106
1496.37 ; 0.06 ; 0.0240 ; 0.0017 ; g ; Pd-106 ; 16 ; 2 ; Rh-106
1498.73 ; 0.16 ; 0.0068 ; 0.0004 ; g ; Pd-106 ; 27 ; 5 ; Rh-106
1562.24 ; 0.03 ; 0.156 ; 0.008 ; g ; Pd-106 ; 6 ; 0 ; Rh-106
1572.47 ; 0.20 ; 0.00185 ; 0.00019 ; g ; Pd-106 ; 17 ; 3 ; Rh-106
1577.27 ; 0.09 ; 0.00105 ; 0.00016 ; g ; Pd-106 ; 17 ; 2 ; Rh-106
1687.2 ; 0.1 ; 0.00055 ; 0.00016 ; g ; Pd-106 ; 20 ; 3 ; Rh-106
1693.2 ; 0.3 ; 0.00082 ; 0.00014 ; g ; Pd-106 ; 20 ; 2 ; Rh-106
1730.44 ; 0.20 ; 0.00209 ; 0.00013 ; g ; Pd-106 ; 10 ; 1 ; Rh-106
1766.24 ; 0.09 ; 0.030 ; 0.005 ; g ; Pd-106 ; 11 ; 1 ; Rh-106
1774.44 ; 0.10 ; 0.00094 ; 0.00008 ; g ; Pd-106 ; 23 ; 2 ; Rh-106
1784.08 ; 0.09 ; 0.00043 ; 0.00012 ; g ; Pd-106 ; 24 ; 3 ; Rh-106
1796.95 ; 0.05 ; 0.0274 ; 0.0005 ; g ; Pd-106 ; 12 ; 1 ; Rh-106
1854.89 ; 0.20 ; 0.00125 ; 0.00010 ; g ; Pd-106 ; 28 ; 4 ; Rh-106
1909.28 ; 0.17 ; 0.00107 ; 0.00025 ; g ; Pd-106 ; 26 ; 2 ; Rh-106
1927.23 ; 0.07 ; 0.0147 ; 0.0004 ; g ; Pd-106 ; 13 ; 1 ; Rh-106
1954.9 ; 0.4 ; 0.00020 ; 0.00004 ; g ; Pd-106 ; 28 ; 2 ; Rh-106
1973.4 ; 0.8 ; 0.00017 ; 0.00004 ; g ; Pd-106 ; 14 ; 1 ; Rh-106
1988.44 ; 0.08 ; 0.0258 ; 0.0005 ; g ; Pd-106 ; 15 ; 1 ; Rh-106
2093.33 ; 0.25 ; 0.00029 ; 0.00006 ; g ; Pd-106 ; 30 ; 2 ; Rh-106
2112.52 ; 0.05 ; 0.0351 ; 0.0007 ; g ; Pd-106 ; 16 ; 1 ; Rh-106
2185.7 ; 0.5 ; 0.00025 ; 0.00006 ; g ; Pd-106 ; 35 ; 3 ; Rh-106
2193.17 ; 0.10 ; 0.00495 ; 0.00021 ; g ; Pd-106 ; 17 ; 1 ; Rh-106
2242.45 ; 0.05 ; 0.00195 ; 0.00008 ; g ; Pd-106 ; 10 ; 0 ; Rh-106
2271.86 ; 0.21 ; 0.00117 ; 0.00008 ; g ; Pd-106 ; 19 ; 1 ; Rh-106
2309.09 ; 0.09 ; 0.00575 ; 0.00016 ; g ; Pd-106 ; 20 ; 1 ; Rh-106
2316.41 ; 0.09 ; 0.00622 ; 0.00016 ; g ; Pd-106 ; 21 ; 1 ; Rh-106
2366.04 ; 0.07 ; 0.0232 ; 0.0007 ; g ; Pd-106 ; 22 ; 1 ; Rh-106
