Nuclide ; Sb-124 
Element ; Antimony
Z ; 51
Daughter(s) ; (B-) ; Te-124 ; 100
Q- ; 2904.3
Half-life (d) ; 60.208 ; 0.011
Half-life (s) ; 5.2020E6 ; 0.0010E6
Decay constant (1/s) ; 133.247E-9 ; 0.024E-9
Specific activity (Bq/g) ; 647.12E12 ; 0.12E12
Reference ; CEA/LNE-LNHB - 2008
Emissions (74 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.0788 ;  ; 0.0449 ; 0.0009 ; XL ; Te-124 ;  ; 
27.202 ;  ; 0.1252 ; 0.0018 ; XKa2 ; Te-124 ;  ; 
27.4726 ;  ; 0.233 ; 0.003 ; XKa1 ; Te-124 ;  ; 
31.0589 ;  ; 0.0667 ; 0.0012 ; XK'b1 ; Te-124 ;  ; 
31.7623 ;  ; 0.0145 ; 0.0005 ; XK'b2 ; Te-124 ;  ; 
148.02 ; 0.05 ; 0.0037 ; 0.0006 ; g ; Te-124 ; 14 ; 12
159.867 ; 0.035 ; 0.0049 ; 0.0006 ; g ; Te-124 ; -1 ; 1
189.57 ; 0.02 ; 0.0043 ; 0.0005 ; g ; Te-124 ; 14 ; 10
210.40 ; 0.02 ; 0.0053 ; 0.0007 ; g ; Te-124 ; 20 ; 14
254.42 ; 0.01 ; 0.0142 ; 0.0009 ; g ; Te-124 ; 10 ; 6
291.79 ; 0.03 ; 0.0069 ; 0.0007 ; g ; Te-124 ; 23 ; 14
335.80 ; 0.02 ; 0.0725 ; 0.0009 ; g ; Te-124 ; 10 ; 5
370.27 ; 0.03 ; 0.0286 ; 0.0011 ; g ; Te-124 ; 20 ; 11
399.97 ; 0.01 ; 0.1264 ; 0.0031 ; g ; Te-124 ; 20 ; 10
444.00 ; 0.02 ; 0.195 ; 0.016 ; g ; Te-124 ; 14 ; 6
468.84 ; 0.03 ; 0.0459 ; 0.0026 ; g ; Te-124 ; 20 ; 9
481.36 ; 0.02 ; 0.0232 ; 0.0031 ; g ; Te-124 ; 23 ; 10
525.36 ; 0.03 ; 0.1451 ; 0.0035 ; g ; Te-124 ; 14 ; 5
530.46 ; 0.07 ; 0.036 ; 0.009 ; g ; Te-124 ; 26 ; 12
572.01 ; 0.05 ; 0.0176 ; 0.0008 ; g ; Te-124 ; 26 ; 10
602.7260 ; 0.0023 ; 97.775 ; 0.020 ; g ; Te-124 ; 1 ; 0
632.40 ; 0.02 ; 0.1029 ; 0.0021 ; g ; Te-124 ; 5 ; 3
645.8520 ; 0.0019 ; 7.422 ; 0.015 ; g ; Te-124 ; 2 ; 1
662.33 ; 0.01 ; 0.024 ; 0.011 ; g ; Te-124 ; 21 ; 6
709.33 ; 0.02 ; 1.363 ; 0.005 ; g ; Te-124 ; 5 ; 2
713.776 ; 0.004 ; 2.273 ; 0.007 ; g ; Te-124 ; 6 ; 3
722.782 ; 0.003 ; 10.708 ; 0.022 ; g ; Te-124 ; 3 ; 1
