Nuclide ; Sm-153 
Element ; Samarium
Z ; 62
Daughter(s) ; (B-) ; Eu-153 ; 100
Q- ; 807.6
Half-life (d) ; 1.92855 ; 0.00005
Half-life (s) ; 166.6267E3 ; 0.0043E3
Decay constant (1/s) ; 4.15988E-6 ; 0.00011E-6
Specific activity (Bq/g) ; 16.37346E15 ; 0.00042E15
Reference ; LNHB, INEEL - 2006
Emissions (66 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
6.483 ;  ; 10.88 ; 0.21 ; XL ; Eu-153 ;  ; 
19.81296 ; 0.00021 ; 0.000105 ; 0.000022 ; g ; Eu-153 ; 3 ; 1
40.9024 ;  ; 16.6 ; 0.4 ; XKa2 ; Eu-153 ;  ; 
41.5427 ;  ; 30.0 ; 0.7 ; XKa1 ; Eu-153 ;  ; 
47.1051 ;  ; 9.45 ; 0.25 ; XK'b1 ; Eu-153 ;  ; 
48.38 ;  ; 2.44 ; 0.08 ; XK'b2 ; Eu-153 ;  ; 
54.1936 ; 0.0012 ; 0.0019 ; 0.0004 ; g ; Eu-153 ; 4 ; 2
68.2574 ; 0.0012 ; 0.0013 ; 0.0004 ; g ; Eu-153 ; 4 ; 1
69.67300 ; 0.00013 ; 4.691 ; 0.041 ; g ; Eu-153 ; 5 ; 3
75.42213 ; 0.00023 ; 0.169 ; 0.007 ; g ; Eu-153 ; 5 ; 2
83.36717 ; 0.00021 ; 0.193 ; 0.006 ; g ; Eu-153 ; 1 ; 0
89.48595 ; 0.00022 ; 0.158 ; 0.015 ; g ; Eu-153 ; 5 ; 1
96.8824 ; 0.0007 ; 0.007 ; 0.001 ; g ; Eu-153 ; 6 ; 5
97.43100 ; 0.00021 ; 0.767 ; 0.014 ; g ; Eu-153 ; 2 ; 0
103.18012 ; 0.00017 ; 29.19 ; 0.16 ; g ; Eu-153 ; 3 ; 0
118.1105 ; 0.0010 ; 0.00023 ; 0.00006 ; g ; Eu-153 ; 6 ; 4
151.6244 ; 0.0012 ; 0.01033 ; 0.00027 ; g ; Eu-153 ; 4 ; 0
166.5546 ; 0.0015 ; 0.00061 ; 0.00006 ; g ; Eu-153 ; 6 ; 3
172.3032 ; 0.0013 ; 0.0004 ;  ; g ; Eu-153 ; 6 ; 2
172.85307 ; 0.00021 ; 0.0736 ; 0.0021 ; g ; Eu-153 ; 5 ; 0
412.05 ; 0.20 ; 0.00191 ; 0.00005 ; g ; Eu-153 ; 7 ; 5
424.4 ; 0.3 ; 0.00195 ; 0.00006 ; g ; Eu-153 ; 12 ; 6
