Nuclide ; Sn-129m 
Element ; Tin
Z ; 50
Daughter(s) ; (B-) ; Sb-129 ; 100
Q- ; 4074
Half-life (min) ; 6.96 ; 0.09
Half-life (s) ; 418 ; 5
Decay constant (1/s) ; 1.660E-3 ; 0.021E-3
Specific activity (Bq/g) ; 7.75E18 ; 0.10E18
Reference ; LNE-LNHB - 2024
X and gamma emissions (101 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
3.89105 ;  ; 3.15 ; 0.08 ; XL ; Sb ;  ;  ; 
9.75 ; 0.08 ; 0.000360 ; 0.000011 ; g ; Sb-129 ; 4 ; 3 ; 
26.1111 ;  ; 6.5 ; 0.1 ; XKa2 ; Sb ;  ;  ; 
26.3594 ;  ; 12.14 ; 0.17 ; XKa1 ; Sb ;  ;  ; 
29.7884 ;  ; 3.45 ; 0.07 ; XK'b1 ; Sb ;  ;  ; 
30.4466 ;  ; 0.715 ; 0.022 ; XK'b2 ; Sb ;  ;  ; 
39.06 ; 0.07 ; 0.0395 ; 0.0019 ; g ; Sb-129 ; 11 ; 10 ; 
44.07 ; 0.07 ; 0.835 ; 0.025 ; g ; Sb-129 ; 9 ; 7 ; 
50.14 ; 0.07 ; 1.389 ; 0.016 ; g ; Sb-129 ; 5 ; 4 ; 
61.50 ; 0.07 ; 0.526 ; 0.008 ; g ; Sb-129 ; 9 ; 5 ; 
67.57 ; 0.07 ; 1.83 ; 0.09 ; g ; Sb-129 ; 7 ; 4 ; 
69.65 ; 0.07 ; 1.480 ; 0.047 ; g ; Sb-129 ; 10 ; 6 ; 
77.32 ; 0.08 ; 4.03 ; 0.09 ; g ; Sb-129 ; 7 ; 3 ; 
79.32 ; 0.09 ; 0.12 ; 0.06 ; g ; Sb-129 ; 8 ; 4 ; 
80.76 ; 0.07 ; 0.95 ; 0.14 ; g ; Sb-129 ; 10 ; 5 ; 
82.50 ; 0.22 ; 0.2326 ; 0.0035 ; g ; Sb-129 ; 22 ; 16 ; 
108.71 ; 0.07 ; 0.716 ; 0.020 ; g ; Sb-129 ; 11 ; 6 ; 
