Nuclide ; Ta-182 
Element ; Tantalum
Z ; 73
Daughter(s) ; (B-) ; W-182 ; 100
Q- ; 1814.3
Possible parent(s) ; (I.T.) ; Ta-182m ; 100
Half-life (d) ; 114.61 ; 0.13
Half-life (s) ; 9.902E6 ; 0.011E6
Decay constant (1/s) ; 70.00E-9 ; 0.08E-9
Specific activity (Bq/g) ; 231.62E12 ; 0.26E12
Reference ; CEA/LNE-LNHB - 2009
Emissions (47 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
9.5321 ;  ; 24.4 ; 0.5 ; XL ; W-182 ;  ; 
31.7377 ; 0.0015 ; 0.84 ; 0.06 ; g ; W-182 ; 7 ; 6
42.7148 ; 0.0014 ; 0.269 ; 0.007 ; g ; W-182 ; 9 ; 8
57.9823 ;  ; 10.06 ; 0.17 ; XKa2 ; W-182 ;  ; 
59.3189 ;  ; 17.48 ; 0.29 ; XKa1 ; W-182 ;  ; 
65.72215 ; 0.00015 ; 2.97 ; 0.08 ; g ; W-182 ; 13 ; 11
67.287 ;  ; 5.79 ; 0.13 ; XK'b1 ; W-182 ;  ; 
67.7497 ; 0.0001 ; 43.6 ; 1.5 ; g ; W-182 ; 7 ; 5
69.2707 ;  ; 1.59 ; 0.05 ; XK'b2 ; W-182 ;  ; 
84.68024 ; 0.00026 ; 2.62 ; 0.06 ; g ; W-182 ; 9 ; 7
100.10595 ; 0.00007 ; 14.22 ; 0.16 ; g ; W-182 ; 1 ; 0
110.388 ; 0.009 ; 0.1073 ; 0.0033 ; g ; W-182 ; 13 ; 10
113.67170 ; 0.00022 ; 1.869 ; 0.020 ; g ; W-182 ; 11 ; 9
116.4179 ; 0.0006 ; 0.445 ; 0.005 ; g ; W-182 ; 9 ; 6
121.50 ; 0.14 ; 0.0021 ; 0.0007 ; g ; W-182 ; 6 ; 4
152.42991 ; 0.00026 ; 7.01 ; 0.13 ; g ; W-182 ; 9 ; 5
156.3864 ; 0.0003 ; 2.662 ; 0.027 ; g ; W-182 ; 11 ; 8
179.39381 ; 0.00025 ; 3.099 ; 0.031 ; g ; W-182 ; 13 ; 9
198.35187 ; 0.00029 ; 1.461 ; 0.015 ; g ; W-182 ; 11 ; 7
222.1085 ; 0.0003 ; 7.54 ; 0.07 ; g ; W-182 ; 13 ; 8
229.3207 ; 0.0006 ; 3.634 ; 0.036 ; g ; W-182 ; 2 ; 1
264.0740 ; 0.0003 ; 3.602 ; 0.036 ; g ; W-182 ; 13 ; 7
351.02 ; 0.06 ; 0.01157 ; 0.00037 ; g ; W-182 ; 3 ; 2
829.80 ; 0.09 ; 0.0141 ; 0.0025 ; g ; W-182 ; 12 ; 3
891.9710 ; 0.0012 ; 0.0570 ; 0.0025 ; g ; W-182 ; 5 ; 2
927.9828 ; 0.0013 ; 0.614 ; 0.007 ; g ; W-182 ; 6 ; 2
959.7203 ; 0.0012 ; 0.348 ; 0.005 ; g ; W-182 ; 7 ; 2
1001.6856 ; 0.0012 ; 2.07 ; 0.05 ; g ; W-182 ; 8 ; 2
1035.80 ; 0.14 ; 0.0060 ; 0.0021 ; g ; W-182 ; 4 ; 1
1044.4001 ; 0.0012 ; 0.2381 ; 0.0042 ; g ; W-182 ; 9 ; 2
1113.406 ; 0.009 ; 0.442 ; 0.008 ; g ; W-182 ; 10 ; 2
1121.290 ; 0.003 ; 35.17 ; 0.33 ; g ; W-182 ; 5 ; 1
1157.3022 ; 0.0011 ; 0.83 ; 0.13 ; g ; W-182 ; 6 ; 1
1158.0711 ; 0.0012 ; 0.295 ; 0.018 ; g ; W-182 ; 11 ; 2
1180.82 ; 0.07 ; 0.0869 ; 0.0029 ; g ; W-182 ; 12 ; 2
1189.040 ; 0.003 ; 16.58 ; 0.16 ; g ; W-182 ; 7 ; 1
1221.395 ; 0.003 ; 27.27 ; 0.27 ; g ; W-182 ; 5 ; 0
1223.7928 ; 0.0012 ; 0.204 ; 0.021 ; g ; W-182 ; 13 ; 2
1231.004 ; 0.003 ; 11.62 ; 0.11 ; g ; W-182 ; 8 ; 1
1257.407 ; 0.003 ; 1.511 ; 0.015 ; g ; W-182 ; 6 ; 0
1273.719 ; 0.003 ; 0.658 ; 0.007 ; g ; W-182 ; 9 ; 1
1289.145 ; 0.003 ; 1.374 ; 0.017 ; g ; W-182 ; 7 ; 0
1342.72 ; 0.05 ; 0.2562 ; 0.0028 ; g ; W-182 ; 10 ; 1
1373.824 ; 0.003 ; 0.2226 ; 0.0032 ; g ; W-182 ; 9 ; 0
1387.390 ; 0.003 ; 0.0725 ; 0.0011 ; g ; W-182 ; 11 ; 1
1410.14 ; 0.07 ; 0.0400 ; 0.0008 ; g ; W-182 ; 12 ; 1
1453.1118 ; 0.0010 ; 0.037 ; 0.007 ; g ; W-182 ; 13 ; 1
==========================================================================================================
