Nuclide ; Tc-104 
Element ; Technetium
Z ; 43
Daughter(s) ; (B-) ; Ru-104 ; 100
Q- ; 5587
Half-life (min) ; 18.3 ; 0.3
Half-life (s) ; 1.098E3 ; 0.018E3
Decay constant (1/s) ; 631E-6 ; 10E-6
Specific activity (Bq/g) ; 3.66E18 ; 0.06E18
Reference ; NDS 41 & 64 - 1999
Coincidence threshold ; 0%
Emissions (168 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of
2.717 ;  ; 0.072 ; 0.005 ; XL ; Ru ;  ;  ;  ; 
19.1506 ;  ; 0.289 ; 0.012 ; XKa2 ; Ru ;  ;  ;  ; 
19.2794 ;  ; 0.551 ; 0.023 ; XKa1 ; Ru ;  ;  ;  ; 
21.7078 ;  ; 0.147 ; 0.007 ; XK'b1 ; Ru ;  ;  ;  ; 
22.089 ;  ; 0.024 ; 0.001 ; XK'b2 ; Ru ;  ;  ;  ; 
135.3 ; 0.8 ; 0.18 ; 0.09 ; g ; Ru-104 ; -1 ; 0 ;  ; 
150.8 ; 0.7 ; 0.44 ; 0.09 ; g ; Ru-104 ; -1 ; 1 ;  ; 
153.4 ; 0.8 ; 0.27 ; 0.09 ; g ; Ru-104 ; -1 ; 2 ;  ; 
160.4 ; 0.3 ; 1.9 ; 0.4 ; g ; Ru-104 ; -1 ; 3 ;  ; 
163.2 ; 0.8 ; 0.36 ; 0.09 ; g ; Ru-104 ; -1 ; 4 ;  ; 
170.0 ; 0.7 ; 0.27 ; 0.09 ; g ; Ru-104 ; -1 ; 5 ;  ; 
176.8 ; 0.4 ; 0.62 ; 0.18 ; g ; Ru-104 ; -1 ; 6 ;  ; 
179.1 ; 0.7 ; 0.44 ; 0.18 ; g ; Ru-104 ; -1 ; 7 ;  ; 
219.0 ; 0.6 ; 0.36 ; 0.18 ; g ; Ru-104 ; -1 ; 8 ;  ; 
245.5 ; 0.6 ; 0.44 ; 0.18 ; g ; Ru-104 ; -1 ; 9 ;  ; 
272 ; 1 ; 0.18 ; 0.09 ; g ; Ru-104 ; -1 ; 10 ;  ; 
277.1 ; 1.0 ; 0.27 ; 0.09 ; g ; Ru-104 ; -1 ; 11 ;  ; 
280.8 ; 1.0 ; 0.18 ; 0.09 ; g ; Ru-104 ; -1 ; 12 ;  ; 
285.5 ; 0.5 ; 0.4 ; 0.3 ; g ; Ru-104 ; -1 ; 13 ;  ; 
294.9 ; 0.5 ; 0.6 ; 0.4 ; g ; Ru-104 ; -1 ; 14 ;  ; 
298.6 ; 0.2 ; 0.11 ; 0.03 ; g ; Ru-104 ; -1 ; 15 ;  ; 
314.7 ; 0.3 ; 0.19 ; 0.05 ; g ; Ru-104 ; -1 ; 16 ;  ; 
333.8 ; 0.3 ; 0.63 ; 0.10 ; g ; Ru-104 ; -1 ; 17 ;  ; 
349.1 ; 0.3 ; 0.09 ; 0.05 ; g ; Ru-104 ; -1 ; 18 ;  ; 
349.3 ; 1.0 ; 2.5 ; 0.3 ; g ; Ru-104 ; -1 ; 19 ;  ; 
353.7 ; 0.3 ; 0.98 ; 0.19 ; g ; Ru-104 ; -1 ; 20 ;  ; 
358.0 ; 0.1 ; 89 ; 3 ; g ; Ru-104 ; -1 ; 21 ;  ; 
407.1 ; 0.7 ; 0.27 ; 0.09 ; g ; Ru-104 ; -1 ; 22 ;  ; 
413.2 ; 0.2 ; 0.12 ; 0.05 ; g ; Ru-104 ; -1 ; 23 ;  ; 
421.8 ; 0.8 ; 0.27 ; 0.09 ; g ; Ru-104 ; -1 ; 24 ;  ; 
459.6 ; 0.2 ; 0.11 ; 0.03 ; g ; Ru-104 ; -1 ; 25 ;  ; 
475.0 ; 0.2 ; 0.25 ; 0.08 ; g ; Ru-104 ; -1 ; 26 ;  ; 
511.6 ; 0.3 ; 0.14 ; 0.04 ; g ; Ru-104 ; -1 ; 27 ;  ; 
519.4 ; 0.1 ; 0.89 ; 0.10 ; g ; Ru-104 ; -1 ; 28 ;  ; 
527.2 ; 0.2 ; 0.39 ; 0.08 ; g ; Ru-104 ; -1 ; 29 ;  ; 
530.5 ; 0.1 ; 15.6 ; 1.2 ; g ; Ru-104 ; -1 ; 30 ;  ; 
535.1 ; 0.1 ; 14.7 ; 1.2 ; g ; Ru-104 ; -1 ; 31 ;  ; 
542.7 ; 0.6 ; 0.267 ; 0.009 ; g ; Ru-104 ; -1 ; 32 ;  ; 
553.8 ; 0.1 ; 0.30 ; 0.07 ; g ; Ru-104 ; -1 ; 33 ;  ; 
565.5 ; 0.3 ; 0.089 ; 0.003 ; g ; Ru-104 ; -1 ; 34 ;  ; 
581.2 ; 0.4 ; 0.27 ; 0.09 ; g ; Ru-104 ; -1 ; 35 ;  ; 
584.0 ; 0.3 ; 0.62 ; 0.10 ; g ; Ru-104 ; -1 ; 36 ;  ; 
585.1 ; 0.3 ; 0.20 ; 0.06 ; g ; Ru-104 ; -1 ; 37 ;  ; 
605.2 ; 0.6 ; 0.71 ; 0.18 ; g ; Ru-104 ; -1 ; 38 ;  ; 
609.5 ; 0.1 ; 2.0 ; 0.3 ; g ; Ru-104 ; -1 ; 39 ;  ; 
614.2 ; 0.1 ; 1.16 ; 0.10 ; g ; Ru-104 ; -1 ; 40 ;  ; 
627.0 ; 0.2 ; 0.22 ; 0.05 ; g ; Ru-104 ; -1 ; 41 ;  ; 
630.0 ; 0.3 ; 0.44 ; 0.18 ; g ; Ru-104 ; -1 ; 42 ;  ; 
630.3 ; 0.1 ; 0.9 ; 0.5 ; g ; Ru-104 ; -1 ; 43 ;  ; 
648.7 ; 0.3 ; 0.23 ; 0.05 ; g ; Ru-104 ; -1 ; 44 ;  ; 
659.3 ; 0.3 ; 0.089 ; 0.003 ; g ; Ru-104 ; -1 ; 45 ;  ; 
668.0 ; 0.1 ; 0.35 ; 0.05 ; g ; Ru-104 ; -1 ; 46 ;  ; 
792.5 ; 0.1 ; 2.5 ; 0.3 ; g ; Ru-104 ; -1 ; 47 ;  ; 
795.4 ; 0.3 ; 0.17 ; 0.05 ; g ; Ru-104 ; -1 ; 48 ;  ; 
838.6 ; 0.1 ; 0.78 ; 0.09 ; g ; Ru-104 ; -1 ; 49 ;  ; 
884.4 ; 0.1 ; 10.9 ; 1.3 ; g ; Ru-104 ; -1 ; 50 ;  ; 
893.1 ; 0.1 ; 10.2 ; 1.2 ; g ; Ru-104 ; -1 ; 51 ;  ; 
919.0 ; 0.2 ; 0.12 ; 0.05 ; g ; Ru-104 ; -1 ; 52 ;  ; 
977.2 ; 0.2 ; 0.13 ; 0.03 ; g ; Ru-104 ; -1 ; 53 ;  ; 
980.8 ; 0.2 ; 0.51 ; 0.07 ; g ; Ru-104 ; -1 ; 54 ;  ; 
984.0 ; 0.2 ; 0.15 ; 0.03 ; g ; Ru-104 ; -1 ; 55 ;  ; 
986.6 ; 0.2 ; 0.21 ; 0.04 ; g ; Ru-104 ; -1 ; 56 ;  ; 
1021.8 ; 0.1 ; 0.46 ; 0.05 ; g ; Ru-104 ; -1 ; 57 ;  ; 
1092.9 ; 0.1 ; 0.45 ; 0.05 ; g ; Ru-104 ; -1 ; 58 ;  ; 
1119.4 ; 0.1 ; 0.61 ; 0.07 ; g ; Ru-104 ; -1 ; 59 ;  ; 
1128.0 ; 0.3 ; 0.31 ; 0.09 ; g ; Ru-104 ; -1 ; 60 ;  ; 
1133.4 ; 0.3 ; 0.22 ; 0.09 ; g ; Ru-104 ; -1 ; 61 ;  ; 
1142.3 ; 0.2 ; 0.33 ; 0.05 ; g ; Ru-104 ; -1 ; 62 ;  ; 
1144.7 ; 0.2 ; 0.41 ; 0.05 ; g ; Ru-104 ; -1 ; 63 ;  ; 
1157.4 ; 0.1 ; 2.8 ; 0.3 ; g ; Ru-104 ; -1 ; 64 ;  ; 
1187.7 ; 0.2 ; 0.34 ; 0.04 ; g ; Ru-104 ; -1 ; 65 ;  ; 
1201.6 ; 0.2 ; 0.44 ; 0.06 ; g ; Ru-104 ; -1 ; 66 ;  ; 
1210.0 ; 0.3 ; 0.29 ; 0.04 ; g ; Ru-104 ; -1 ; 67 ;  ; 
1239.6 ; 0.2 ; 0.18 ; 0.03 ; g ; Ru-104 ; -1 ; 68 ;  ; 
1247.6 ; 0.1 ; 0.56 ; 0.07 ; g ; Ru-104 ; -1 ; 69 ;  ; 
1269.0 ; 0.2 ; 0.44 ; 0.06 ; g ; Ru-104 ; -1 ; 70 ;  ; 
1281.8 ; 0.1 ; 2.05 ; 0.19 ; g ; Ru-104 ; -1 ; 71 ;  ; 
1343.9 ; 0.1 ; 0.67 ; 0.08 ; g ; Ru-104 ; -1 ; 72 ;  ; 
1363.3 ; 0.3 ; 0.24 ; 0.05 ; g ; Ru-104 ; -1 ; 73 ;  ; 
1376.1 ; 0.2 ; 0.36 ; 0.06 ; g ; Ru-104 ; -1 ; 74 ;  ; 
1380.5 ; 0.1 ; 1.69 ; 0.19 ; g ; Ru-104 ; -1 ; 75 ;  ; 
1396.6 ; 0.1 ; 2.4 ; 0.3 ; g ; Ru-104 ; -1 ; 76 ;  ; 
1436.3 ; 0.3 ; 0.36 ; 0.09 ; g ; Ru-104 ; -1 ; 77 ;  ; 
1466.7 ; 0.1 ; 0.89 ; 0.10 ; g ; Ru-104 ; -1 ; 78 ;  ; 
1472.5 ; 0.1 ; 0.69 ; 0.08 ; g ; Ru-104 ; -1 ; 79 ;  ; 
1515.5 ; 0.2 ; 0.79 ; 0.10 ; g ; Ru-104 ; -1 ; 80 ;  ; 
1517.4 ; 0.2 ; 0.74 ; 0.10 ; g ; Ru-104 ; -1 ; 81 ;  ; 
1531.2 ; 0.3 ; 0.40 ; 0.09 ; g ; Ru-104 ; -1 ; 82 ;  ; 
1536.7 ; 0.4 ; 0.17 ; 0.05 ; g ; Ru-104 ; -1 ; 83 ;  ; 
1541.3 ; 0.1 ; 1.07 ; 0.10 ; g ; Ru-104 ; -1 ; 84 ;  ; 
1580.9 ; 0.3 ; 0.29 ; 0.05 ; g ; Ru-104 ; -1 ; 85 ;  ; 
1593.6 ; 0.3 ; 0.34 ; 0.05 ; g ; Ru-104 ; -1 ; 86 ;  ; 
1596.7 ; 0.1 ; 4.2 ; 0.4 ; g ; Ru-104 ; -1 ; 87 ;  ; 
1601.5 ; 0.2 ; 0.19 ; 0.05 ; g ; Ru-104 ; -1 ; 88 ;  ; 
1609.0 ; 0.3 ; 0.12 ; 0.04 ; g ; Ru-104 ; -1 ; 89 ;  ; 
1612.4 ; 0.1 ; 5.8 ; 0.6 ; g ; Ru-104 ; -1 ; 90 ;  ; 
1633.7 ; 0.2 ; 0.12 ; 0.04 ; g ; Ru-104 ; -1 ; 91 ;  ; 
