Nuclide ; Te-132 
Element ; Tellurium
Z ; 52
Daughter(s) ; (B-) ; I-132 ; 100
Q- ; 518
Possible parent(s) ; (B-) ; Sb-132 ; 100 ; (B-) ; Sb-132m ; 100
Half-life (d) ; 3.230 ; 0.013
Half-life (s) ; 279.1E3 ; 1.1E3
Decay constant (1/s) ; 2.484E-6 ; 0.010E-6
Specific activity (Bq/g) ; 11.331E15 ; 0.046E15
Reference ; IAEA - 2009
Emissions (169 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Te-132 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
4.275 ;  ; 7.9 ; 0.4 ; XL ; I ;  ;  ; Te-132
28.3175 ;  ; 20.6 ; 0.5 ; XKa2 ; I ;  ;  ; Te-132
28.6123 ;  ; 38.2 ; 0.9 ; XKa1 ; I ;  ;  ; Te-132
32.3596 ;  ; 11.0 ; 0.3 ; XK'b1 ; I ;  ;  ; Te-132
33.1093 ;  ; 2.49 ; 0.09 ; XK'b2 ; I ;  ;  ; Te-132
49.72 ; 0.01 ; 15.1 ; 0.3 ; g ; I-132 ; 2 ; 0 ; Te-132
111.81 ; 0.08 ; 1.85 ; 0.18 ; g ; I-132 ; 4 ; 2 ; Te-132
116.34 ; 0.13 ; 1.97 ; 0.07 ; g ; I-132 ; 5 ; 4 ; Te-132
228.327 ; 0.003 ; 88.12 ; 0.13 ; g ; I-132 ; 5 ; 2 ; Te-132
------------------------------------------------------ I-132 -----------------------------------------------------
4.58 ;  ; 0.12 ; 0.04 ; XL ; Xe ;  ;  ; I-132
29.459 ;  ; 0.298 ; 0.008 ; XKa2 ; Xe ;  ;  ; I-132
29.779 ;  ; 0.553 ; 0.014 ; XKa1 ; Xe ;  ;  ; I-132
33.6893 ;  ; 0.163 ; 0.004 ; XK'b1 ; Xe ;  ;  ; I-132
34.4877 ;  ; 0.038 ; 0.001 ; XK'b2 ; Xe ;  ;  ; I-132
136.7 ; 0.4 ; 0.079 ; 0.010 ; g ; Xe-132 ; -1 ; 0 ; I-132
147.4 ; 0.2 ; 0.237 ; 0.020 ; g ; Xe-132 ; -1 ; 1 ; I-132
183.6 ; 0.3 ; 0.138 ; 0.020 ; g ; Xe-132 ; -1 ; 2 ; I-132
234.3 ; 0.6 ; 0.03 ; 0.01 ; g ; Xe-132 ; -1 ; 3 ; I-132
250.8 ; 0.6 ; 0.018 ; 0.005 ; g ; Xe-132 ; -1 ; 159 ; I-132
255.1 ; 0.2 ; 0.24 ; 0.02 ; g ; Xe-132 ; -1 ; 6 ; I-132
262.9 ; 0.1 ; 1.3 ; 0.1 ; g ; Xe-132 ; -1 ; 7 ; I-132
278.4 ; 0.4 ; 0.039 ; 0.010 ; g ; Xe-132 ; -1 ; 9 ; I-132
284.9 ; 0.2 ; 0.71 ; 0.07 ; g ; Xe-132 ; -1 ; 10 ; I-132
302.0 ; 0.7 ; 0.01 ; 0.01 ; g ; Xe-132 ; -1 ; 11 ; I-132
306.7 ; 0.4 ; 0.099 ; 0.020 ; g ; Xe-132 ; -1 ; 12 ; I-132
310.1 ; 0.4 ; 0.09 ; 0.02 ; g ; Xe-132 ; -1 ; 13 ; I-132
316.7 ; 0.4 ; 0.13 ; 0.02 ; g ; Xe-132 ; -1 ; 15 ; I-132
343.6 ; 0.4 ; 0.09 ; 0.02 ; g ; Xe-132 ; -1 ; 16 ; I-132
351.8 ; 0.4 ; 0.08 ; 0.02 ; g ; Xe-132 ; -1 ; 158 ; I-132
363.34 ; 0.05 ; 0.49 ; 0.10 ; g ; Xe-132 ; -1 ; 18 ; I-132
387.9 ; 0.3 ; 0.30 ; 0.05 ; g ; Xe-132 ; -1 ; 19 ; I-132
416.8 ; 0.4 ; 0.47 ; 0.05 ; g ; Xe-132 ; -1 ; 20 ; I-132
431.8 ; 0.4 ; 0.47 ; 0.05 ; g ; Xe-132 ; -1 ; 21 ; I-132
445.0 ; 0.6 ; 0.0987 ;  ; g ; Xe-132 ; -1 ; 22 ; I-132
446.2 ; 0.6 ; 0.60 ; 0.05 ; g ; Xe-132 ; -1 ; 177 ; I-132
473.4 ; 0.7 ; 0.17 ; 0.04 ; g ; Xe-132 ; -1 ; 24 ; I-132
478.2 ; 0.7 ; 0.17 ; 0.04 ; g ; Xe-132 ; -1 ; 25 ; I-132
488.0 ; 0.4 ; 0.41 ; 0.05 ; g ; Xe-132 ; -1 ; 165 ; I-132
505.79 ; 0.03 ; 4.94 ; 0.20 ; g ; Xe-132 ; -1 ; 27 ; I-132
522.65 ; 0.09 ; 16.0 ; 0.5 ; g ; Xe-132 ; -1 ; 28 ; I-132
535.5 ; 0.4 ; 0.523 ; 0.049 ; g ; Xe-132 ; -1 ; 29 ; I-132
547.2 ; 0.2 ; 1.14 ; 0.08 ; g ; Xe-132 ; -1 ; 30 ; I-132
559.7 ; 0.4 ; 0.09 ; 0.02 ; g ; Xe-132 ; -1 ; 31 ; I-132
572.5 ; 0.4 ; 0.06 ; 0.02 ; g ; Xe-132 ; -1 ; 32 ; I-132
591.1 ; 0.6 ; 0.07 ; 0.03 ; g ; Xe-132 ; -1 ; 33 ; I-132
600.0 ; 0.6 ; 0.13 ; 0.03 ; g ; Xe-132 ; -1 ; 34 ; I-132
609.8 ; 0.5 ; 0.04 ; 0.01 ; g ; Xe-132 ; -1 ; 174 ; I-132
620.90 ; 0.02 ; 0.39 ; 0.20 ; g ; Xe-132 ; -1 ; 36 ; I-132
621.2 ; 3.0 ; 1.6 ; 0.2 ; g ; Xe-132 ; -1 ; 37 ; I-132
630.19 ; 0.02 ; 13.3 ; 0.4 ; g ; Xe-132 ; -1 ; 38 ; I-132
642.2 ; 0.4 ; 0.0395 ;  ; g ; Xe-132 ; -1 ; 39 ; I-132
