Nuclide ; Te-133 
Element ; Tellurium
Z ; 52
Daughter(s) ; (B-) ; I-133 ; 100
Q- ; 2920
Possible parent(s) ; (I.T.) ; Te-133m ; 17.5
Half-life (min) ; 12.45 ; 0.30
Half-life (s) ; 747 ; 18
Decay constant (1/s) ; 928E-6 ; 22E-6
Specific activity (Bq/g) ; 4.20E18 ; 0.10E18
Reference ; CEA/LNE-LNHB - 1998
Gamma emissions (207 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
67.22 ; 0.02 ; 0.11 ; 0.03 ; g ; I-133 ; 3 ; 2 ; 
170.91 ; 0.13 ; 0.09 ; 0.03 ; g ; I-133 ; 33 ; 31 ; 
183.3 ; 0.4 ; 0.018 ; 0.012 ; g ; I-133 ; 25 ; 19 ; 
190.5 ; 0.1 ; 0.05 ; 0.03 ; g ; I-133 ; 11 ; 10 ; 
199.6 ; 0.3 ; 0.04 ; 0.02 ; g ; I-133 ; 20 ; 14 ; 
207.4 ; 0.1 ; 0.025 ; 0.015 ; g ; I-133 ; 26 ; 19 ; 
230.9 ; 0.2 ; 0.019 ; 0.005 ; g ; I-133 ; 11 ; 9 ; 
242.0 ; 0.1 ; 0.03 ; 0.01 ; g ; I-133 ; 27 ; 20 ; 
251.4 ; 0.3 ; 0.03 ; 0.01 ; g ; I-133 ; 11 ; 8 ; 
302 ; 1 ; 0.031 ; 0.015 ; g ; I-133 ; 33 ; 27 ; 
312.072 ; 0.003 ; 62.4 ; 0.5 ; g ; I-133 ; 1 ; 0 ; 
324.3 ; 0.2 ; 0.05 ; 0.01 ; g ; I-133 ; 11 ; 6 ; 
331.5 ; 0.2 ; 0.12 ; 0.04 ; g ; I-133 ; 30 ; 19 ; 
338.22 ; 0.02 ; 0.27 ; 0.01 ; g ; I-133 ; 12 ; 9 ; 
341 ; 1 ; 0.03 ; 0.01 ; g ; I-133 ; 34 ; 27 ; 
343.9 ; 0.1 ; 0.06 ; 0.02 ; g ; I-133 ; 13 ; 10 ; 
358.7 ; 0.2 ; 0.09 ; 0.01 ; g ; I-133 ; 12 ; 8 ; 
368.9 ; 0.2 ; 0.10 ; 0.05 ; g ; I-133 ; 15 ; 12 ; 
384.25 ; 0.05 ; 0.27 ; 0.07 ; g ; I-133 ; 13 ; 9 ; 
392.44 ; 0.03 ; 0.6 ; 0.2 ; g ; I-133 ; 7 ; 5 ; 
394 ; 1 ; 0.03 ; 0.01 ; g ; I-133 ; -1 ; 21 ; 
404.85 ; 0.07 ; 0.26 ; 0.05 ; g ; I-133 ; 13 ; 8 ; 
407.63 ; 0.03 ; 27.1 ; 0.5 ; g ; I-133 ; 2 ; 1 ; 
410.40 ; 0.06 ; 0.93 ; 0.06 ; g ; I-133 ; 13 ; 7 ; 
418.4 ; 0.2 ; 0.025 ; 0.008 ; g ; I-133 ; 9 ; 5 ; 
431.61 ; 0.13 ; 0.125 ; 0.030 ; g ; I-133 ; 12 ; 6 ; 
452.9 ; 0.1 ; 0.125 ; 0.030 ; g ; I-133 ; 6 ; 3 ; 
461.30 ; 0.04 ; 0.62 ; 0.15 ; g ; I-133 ; 14 ; 11 ; 
474.85 ; 0.01 ; 0.88 ; 0.04 ; g ; I-133 ; 3 ; 1 ; 
477.77 ; 0.06 ; 0.38 ; 0.03 ; g ; I-133 ; 13 ; 6 ; 
484.5 ;  ; 0.05 ; 0.03 ; g ; I-133 ; 33 ; 23 ; 
485.0 ; 0.2 ; 0.56 ; 0.03 ; g ; I-133 ; -1 ; 32 ; 
488 ; 2 ; 0.09 ; 0.03 ; g ; I-133 ; 30 ; 16 ; 
