Nuclide ; Th-231 
Element ; Thorium
Z ; 90
Daughter(s) ; (B-) ; Pa-231 ; 100
Q- ; 391.6
Possible parent(s) ; (alpha) ; U-235 ; 100
Half-life (h) ; 25.522 ; 0.010
Half-life (s) ; 91.879E3 ; 0.036E3
Decay constant (1/s) ; 7.5441E-6 ; 0.0030E-6
Specific activity (Bq/g) ; 19.667E15 ; 0.008E15
Reference ; CNDC - 2008
Emissions (50 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
15.7401 ;  ; 65 ; 3 ; XL ; Pa-231 ;  ; 
25.64 ; 0.02 ; 13.9 ; 0.7 ; g ; Pa-231 ; 4 ; 2
42.86 ; 0.07 ; 0.0596 ; 0.0015 ; g ; Pa-231 ; 5 ; 2
44.08 ; 0.17 ; 0.00074 ; 0.00021 ; g ; Pa-231 ; 10 ; 8
58.5700 ; 0.0024 ; 0.480 ; 0.016 ; g ; Pa-231 ; 2 ; 0
63.86 ; 0.03 ; 0.0235 ; 0.0021 ; g ; Pa-231 ; 11 ; 9
68.5 ; 0.1 ; 0.00590 ; 0.00015 ; g ; Pa-231 ; 3 ; 1
72.7510 ; 0.0025 ; 0.260 ; 0.017 ; g ; Pa-231 ; 8 ; 5
77.69 ;  ; 0.0042 ; 0.0007 ; g ; Pa-231 ; 3 ; 0
81.2280 ; 0.0014 ; 0.905 ; 0.023 ; g ; Pa-231 ; 9 ; 6
82.0870 ; 0.0013 ; 0.418 ; 0.013 ; g ; Pa-231 ; 9 ; 5
84.2140 ; 0.0013 ; 6.70 ; 0.07 ; g ; Pa-231 ; 4 ; 0
89.95 ; 0.02 ; 1.01 ; 0.03 ; g ; Pa-231 ; 8 ; 4
92.288 ;  ; 0.37 ; 0.04 ; XKa2 ; Pa-231 ;  ; 
93.02 ; 0.04 ; 0.040 ; 0.003 ; g ; Pa-231 ; 6 ; 1
95.869 ;  ; 0.59 ; 0.07 ; XKa1 ; Pa-231 ;  ; 
99.278 ; 0.003 ; 0.137 ; 0.006 ; g ; Pa-231 ; 9 ; 4
102.2700 ; 0.0013 ; 0.441 ; 0.011 ; g ; Pa-231 ; 6 ; 0
105.81 ; 0.03 ; 0.0079 ; 0.0005 ; g ; Pa-231 ; 9 ; 3
106.61 ; 0.03 ; 0.0179 ; 0.0007 ; g ; Pa-231 ; 10 ; 7
108.363 ;  ; 0.21 ; 0.02 ; XK'b1 ; Pa-231 ;  ; 
111.885 ;  ; 0.071 ; 0.008 ; XK'b2 ; Pa-231 ;  ; 
115.63 ; 0.03 ; 0.00110 ; 0.00016 ; g ; Pa-231 ; 8 ; 2
116.82 ; 0.02 ; 0.0225 ; 0.0009 ; g ; Pa-231 ; 10 ; 5
124.914 ; 0.017 ; 0.0590 ; 0.0015 ; g ; Pa-231 ; 9 ; 2
134.03 ; 0.02 ; 0.0255 ; 0.0008 ; g ; Pa-231 ; 10 ; 4
135.664 ; 0.011 ; 0.0797 ; 0.0022 ; g ; Pa-231 ; 11 ; 7
136.75 ; 0.07 ; 0.00442 ; 0.00015 ; g ; Pa-231 ; 13 ; 9
140.54 ; 0.04 ; 0.00074 ; 0.00007 ; g ; Pa-231 ; 10 ; 3
145.06 ; 0.04 ; 0.0058 ; 0.0003 ; g ; Pa-231 ; 11 ; 6
145.94 ; 0.02 ; 0.0324 ; 0.0012 ; g ; Pa-231 ; 11 ; 5
163.101 ; 0.004 ; 0.156 ; 0.005 ; g ; Pa-231 ; 11 ; 4
165.00 ; 0.05 ; 0.00348 ; 0.00014 ; g ; Pa-231 ; 8 ; 1
169.66 ; 0.03 ; 0.00141 ; 0.00007 ; g ; Pa-231 ; 11 ; 3
174.15 ; 0.02 ; 0.0180 ; 0.0006 ; g ; Pa-231 ; 8 ; 0
183.480 ; 0.025 ; 0.0335 ; 0.0008 ; g ; Pa-231 ; 9 ; 0
188.76 ; 0.02 ; 0.0034 ; 0.0003 ; g ; Pa-231 ; 11 ; 2
217.94 ; 0.03 ; 0.0402 ; 0.0008 ; g ; Pa-231 ; 13 ; 6
236.01 ; 0.03 ; 0.0094 ; 0.0003 ; g ; Pa-231 ; 13 ; 4
240.27 ; 0.05 ; 0.00029 ; 0.00004 ; g ; Pa-231 ; 12 ; 3
242.50 ; 0.04 ; 0.00082 ; 0.00005 ; g ; Pa-231 ; 13 ; 3
249.60 ; 0.07 ; 0.00080 ; 0.00007 ; g ; Pa-231 ; 14 ; 6
250.45 ; 0.07 ; 0.00067 ; 0.00007 ; g ; Pa-231 ; 14 ; 5
267.62 ; 0.08 ; 0.00141 ; 0.00014 ; g ; Pa-231 ; 14 ; 4
274.1 ; 0.1 ; 0.000034 ; 0.000012 ; g ; Pa-231 ; 14 ; 3
308.78 ; 0.07 ; 0.0003618 ; 0.0000018 ; g ; Pa-231 ; 12 ; 1
311.00 ; 0.05 ; 0.00315 ; 0.00014 ; g ; Pa-231 ; 13 ; 1
317.87 ; 0.08 ; 0.0001005 ; 0.0000005 ; g ; Pa-231 ; 12 ; 0
320.15 ; 0.08 ; 0.00015 ; 0.00003 ; g ; Pa-231 ; 13 ; 0
351.8 ; 0.1 ; 0.000067 ; 0.000013 ; g ; Pa-231 ; 14 ; 0
==========================================================================================================
