Nuclide ; Th-233 
Element ; Thorium
Z ; 90
Daughter(s) ; (B-) ; Pa-233 ; 100
Q- ; 1243.1
Half-life (min) ; 22.15 ; 0.08
Half-life (s) ; 1.3290E3 ; 0.0048E3
Decay constant (1/s) ; 521.6E-6 ; 1.9E-6
Specific activity (Bq/g) ; 1.3480E18 ; 0.0049E18
Reference ; KRI - 2009
Emissions (143 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
6.65 ; 0.05 ; 0.0165 ; 0.0018 ; g ; Pa-233 ; 1 ; 0
16.483 ;  ; 8.2 ; 0.9 ; XL ; Pa-233 ;  ; 
29.373 ; 0.010 ; 2.17 ; 0.07 ; g ; Pa-233 ; 4 ; 2
57.10 ; 0.02 ; 0.0498 ; 0.0015 ; g ; Pa-233 ; 2 ; 0
63.92 ; 0.06 ; 0.0007 ; 0.0003 ; g ; Pa-233 ; 3 ; 1
70.49 ; 0.10 ; 0.0007 ; 0.0004 ; g ; Pa-233 ; 3 ; 0
74.51 ; 0.05 ; 0.0402 ; 0.0017 ; g ; Pa-233 ; 7 ; 5
86.477 ; 0.010 ; 1.843 ; 0.022 ; g ; Pa-233 ; 4 ; 0
87.99 ; 0.03 ; 0.1698 ; 0.0020 ; g ; Pa-233 ; 5 ; 1
92.288 ;  ; 0.39 ; 0.01 ; XKa2 ; Pa-233 ;  ; 
94.65 ; 0.05 ; 0.775 ; 0.009 ; g ; Pa-233 ; 5 ; 0
95.869 ;  ; 0.615 ; 0.013 ; XKa1 ; Pa-233 ;  ; 
105.2 ; 0.1 ; 0.041 ;  ; g ; Pa-233 ; -1 ; 2
108.363 ;  ; 0.235 ; 0.006 ; XK'b1 ; Pa-233 ;  ; 
108.5 ; 0.1 ; 0.0006 ;  ; g ; Pa-233 ; 9 ; 6
111.885 ;  ; 0.079 ; 0.003 ; XK'b2 ; Pa-233 ;  ; 
115.14 ; 0.05 ; 0.003 ; 0.007 ; g ; Pa-233 ; 8 ; 4
117.692 ; 0.020 ; 0.0029 ; 0.0003 ; g ; Pa-233 ; 9 ; 5
131.101 ; 0.025 ; 0.0508 ; 0.0013 ; g ; Pa-233 ; 8 ; 3
