Nuclide ; Th-234 
Element ; Thorium
Z ; 90
Daughter(s) ; (B-) ; Pa-234 ; 100
Q- ; 272
Possible parent(s) ; (alpha) ; U-238 ; 100
Half-life (d) ; 24.10 ; 0.03
Half-life (s) ; 2.0822E6 ; 0.0026E6
Decay constant (1/s) ; 332.89E-9 ; 0.41E-9
Specific activity (Bq/g) ; 856.7E12 ; 1.1E12
Reference ; IFIN-HH - 2009
Emissions (15 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
15.7401 ;  ; 7.1 ; 0.3 ; XL ; Pa-234 ;  ; 
20.01 ; 0.02 ; 0.0051 ; 0.0021 ; g ; Pa-234 ; 7 ; 5
29.50 ; 0.02 ; 0.00123 ; 0.00014 ; g ; Pa-234 ; 3 ; 2
62.88 ; 0.02 ; 0.0164 ; 0.0028 ; g ; Pa-234 ; 4 ; 3
63.30 ; 0.02 ; 3.75 ; 0.08 ; g ; Pa-234 ; 5 ; 3
73.92 ; 0.02 ; 0.0133 ; 0.0014 ; g ; Pa-234 ; 1 ; 0
83.31 ; 0.05 ; 0.061 ; 0.005 ; g ; Pa-234 ; 7 ; 3
92.288 ;  ; 0.013 ; 0.009 ; XKa2 ; Pa-234 ;  ; 
92.38 ; 0.01 ; 2.18 ; 0.19 ; g ; Pa-234 ; 4 ; 2
92.80 ; 0.02 ; 2.15 ; 0.19 ; g ; Pa-234 ; 5 ; 2
95.869 ;  ; 0.021 ; 0.013 ; XKa1 ; Pa-234 ;  ; 
103.35 ; 0.10 ; 0.0032 ; 0.0010 ; g ; Pa-234 ; 6 ; 2
108.363 ;  ; 0.007 ; 0.005 ; XK'b1 ; Pa-234 ;  ; 
111.885 ;  ; 0.0025 ; 0.0016 ; XK'b2 ; Pa-234 ;  ; 
112.81 ; 0.05 ; 0.215 ; 0.022 ; g ; Pa-234 ; 7 ; 2
==========================================================================================================
