Nucléide ; Tl-200 
Élément ; Thallium
Z ; 81
Fils ; (B+, EC) ; Hg-200 ; 100
Q+ ; 2456
Père(s) possible(s) ; (B+, EC) ; Pb-200 ; 100
Période (d) ; 1,088 ; 0,005
Période (s) ; 94,00E3 ; 0,43E3
Constante radioactive (1/s) ; 7,374E-6 ; 0,034E-6
Activité spécifique (Bq/g) ; 22,20E15 ; 0,10E15
Référence ; NDS 108 - 2014
Émissions X et gamma (100 raies) triées par énergie croissante
------------------------------------------------------------------------------------------------------------------
Énergie (keV) ; Éner. inc. (keV) ; Intensité (%) ; Int. inc. (%) ; Type ; Origine ; Niv. déb. ; Niv. fin
11,495 ;  ; 31,8 ; 1,6 ; XL ; Hg ;  ;  ; 
68,89 ;  ; 24 ; 1 ; XKa2 ; Hg ;  ;  ; 
70,82 ;  ; 40,4 ; 1,7 ; XKa1 ; Hg ;  ;  ; 
76,857 ;  ; 0,031 ; 0,013 ; g ; Hg-200 ; -1 ; 0 ; 
80,2797 ;  ; 14,2 ; 0,6 ; XK'b1 ; Hg ;  ;  ; 
82,7463 ;  ; 3,38 ; 0,14 ; XK'b2 ; Hg ;  ;  ; 
115,7 ;  ; 0,017 ; 0,006 ; g ; Hg-200 ; -1 ; 1 ; 
116,51 ; 0,15 ; 0,113 ; 0,035 ; g ; Hg-200 ; -1 ; 2 ; 
148,026 ;  ; 0,0131 ; 0,0044 ; g ; Hg-200 ; -1 ; 3 ; 
182,17 ; 0,20 ; 0,052 ; 0,018 ; g ; Hg-200 ; -1 ; 4 ; 
203,135 ;  ; 0,0079 ; 0,0018 ; g ; Hg-200 ; -1 ; 5 ; 
252,01 ; 0,12 ; 0,279 ; 0,044 ; g ; Hg-200 ; -1 ; 6 ; 
252,3 ;  ; 0,096 ; 0,018 ; g ; Hg-200 ; -1 ; 7 ; 
272,0 ; 0,4 ; 0,035 ; 0,018 ; g ; Hg-200 ; -1 ; 8 ; 
289,35 ; 0,12 ; 0,514 ; 0,044 ; g ; Hg-200 ; -1 ; 9 ; 
309,18 ; 0,12 ; 0,262 ; 0,035 ; g ; Hg-200 ; -1 ; 10 ; 
338,75 ;  ; 0,026 ; 0,009 ; g ; Hg-200 ; -1 ; 11 ; 
341,375 ;  ; 0,017 ; 0,009 ; g ; Hg-200 ; -1 ; 12 ; 
367,942 ; 0,010 ; 87,0 ; 0,4 ; g ; Hg-200 ; -1 ; 13 ; 
383,2 ; 0,4 ; 0,052 ; 0,018 ; g ; Hg-200 ; -1 ; 14 ; 
387,3 ; 0,3 ; 0,157 ; 0,026 ; g ; Hg-200 ; -1 ; 15 ; 
398,25 ;  ; 0,023 ; 0,013 ; g ; Hg-200 ; -1 ; 16 ; 
398,6 ;  ; 0,0209 ; 0,0035 ; g ; Hg-200 ; -1 ; 17 ; 
464,0 ; 0,8 ; 0,026 ; 0,018 ; g ; Hg-200 ; -1 ; 18 ; 
469,0 ; 0,6 ; 0,061 ; 0,018 ; g ; Hg-200 ; -1 ; 19 ; 
476,82 ; 0,20 ; 0,323 ; 0,035 ; g ; Hg-200 ; -1 ; 20 ; 
480,3 ; 0,3 ; 0,079 ; 0,035 ; g ; Hg-200 ; -1 ; 21 ; 
485,62 ;  ; 0,0148 ; 0,0001 ; g ; Hg-200 ; -1 ; 22 ; 
496,2 ; 0,6 ; 0,079 ; 0,035 ; g ; Hg-200 ; -1 ; 23 ; 
511 ;  ; 0,80 ; 0,02 ; g511 ; Hg-200 ; -1 ; -1 ; 
520,91 ;  ; 0,026 ; 0,009 ; g ; Hg-200 ; -1 ; 24 ; 
521,40 ; 0,16 ; 0,28 ; 0,08 ; g ; Hg-200 ; -1 ; 25 ; 
533,0 ; 0,4 ; 0,044 ; 0,018 ; g ; Hg-200 ; -1 ; 26 ; 
541,2 ; 0,6 ; 0,026 ; 0,018 ; g ; Hg-200 ; -1 ; 27 ; 
544,5 ; 0,8 ; 0,061 ; 0,026 ; g ; Hg-200 ; -1 ; 28 ; 
556,7 ; 0,3 ; 0,096 ; 0,035 ; g ; Hg-200 ; -1 ; 29 ; 
565,1 ; 1,0 ; 0,035 ; 0,018 ; g ; Hg-200 ; -1 ; 30 ; 
579,28 ; 0,09 ; 13,7 ; 1,2 ; g ; Hg-200 ; -1 ; 31 ; 
591,65 ; 0,13 ; 0,29 ; 0,06 ; g ; Hg-200 ; -1 ; 32 ; 
612,08 ; 0,13 ; 0,244 ; 0,035 ; g ; Hg-200 ; -1 ; 33 ; 
626,5 ;  ; 0,079 ; 0,035 ; g ; Hg-200 ; -1 ; 34 ; 
628,63 ; 0,13 ; 0,84 ; 0,08 ; g ; Hg-200 ; -1 ; 35 ; 
661,35 ; 0,09 ; 2,27 ; 0,20 ; g ; Hg-200 ; -1 ; 36 ; 
689,05 ; 0,18 ; 0,113 ; 0,035 ; g ; Hg-200 ; -1 ; 37 ; 
694,3 ; 0,4 ; 0,035 ; 0,018 ; g ; Hg-200 ; -1 ; 38 ; 
701,56 ; 0,14 ; 1,56 ; 0,18 ; g ; Hg-200 ; -1 ; 39 ; 
711,75 ; 0,14 ; 0,270 ; 0,035 ; g ; Hg-200 ; -1 ; 40 ; 
718,6 ; 0,6 ; 0,044 ; 0,026 ; g ; Hg-200 ; -1 ; 41 ; 
720,6 ; 0,6 ; 0,044 ; 0,026 ; g ; Hg-200 ; -1 ; 42 ; 
