Nuclide ; U-235 
Element ; Uranium
Z ; 92
Daughter(s) ; (alpha) ; Th-231 ; 100
Qalpha ; 4678.3
Possible parent(s) ; (B+, EC) ; Np-235 ; 99.9986 ; (alpha) ; Pu-239 ; 100
Half-life (a) ; 704E6 ; 1E6
Half-life (s) ; 22.216E15 ; 0.032E15
Decay constant (1/s) ; 31.200E-18 ; 0.044E-18
Specific activity (Bq/g) ; 79.95E3 ; 0.11E3
Reference ; CNDC - 2014
Emissions (1051 lines) sorted by nuclide and by increasing energy
------------------------------------------------------ U-235 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
15.311 ;  ; 40 ; 22 ; XL ; Th ;  ;  ; U-235
19.592 ; 0.006 ; 0.006 ; 0.006 ; g ; Th-231 ; 5 ; 4 ; U-235
31.60 ; 0.05 ; 0.017 ; 0.006 ; g ; Th-231 ; 7 ; 5 ; U-235
41.4 ; 0.3 ; 0.029 ; 0.011 ; g ; Th-231 ; 10 ; 7 ; U-235
42.01 ; 0.06 ; 0.056 ; 0.009 ; g ; Th-231 ; 1 ; 0 ; U-235
51.21 ; 0.04 ; 0.034 ; 0.007 ; g ; Th-231 ; 7 ; 4 ; U-235
54.1 ; 0.1 ; 0.00115 ;  ; g ; Th-231 ; 9 ; 6 ; U-235
54.25 ; 0.05 ; 0.0285 ;  ; g ; Th-231 ; 2 ; 1 ; U-235
64.45 ; 0.05 ; 0.018 ;  ; g ; Th-231 ; 19 ; 18 ; U-235
72.7 ; 0.2 ; 0.116 ; 0.020 ; g ; Th-231 ; 10 ; 5 ; U-235
74.94 ; 0.03 ; 0.051 ; 0.006 ; g ; Th-231 ; 7 ; 3 ; U-235
89.954 ;  ; 3.56 ; 0.07 ; XKa2 ; Th ;  ;  ; U-235
93.351 ;  ; 5.75 ; 0.11 ; XKa1 ; Th ;  ;  ; U-235
96.09 ; 0.02 ; 0.091 ; 0.011 ; g ; Th-231 ; 2 ; 0 ; U-235
97 ; 4 ; 0.016 ; 0.004 ; g ; Th-231 ; 14 ; 7 ; U-235
