Nuclide ; U-239 
Element ; Uranium
Z ; 92
Daughter(s) ; (B-) ; Np-239 ; 100
Q- ; 1261.5
Half-life (min) ; 23.46 ; 0.05
Half-life (s) ; 1.4076E3 ; 0.0030E3
Decay constant (1/s) ; 492.4E-6 ; 1.0E-6
Specific activity (Bq/g) ; 1.2408E18 ; 0.0026E18
Reference ; KRI - 2009
Emissions (158 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
16.681 ;  ; 16.1 ; 0.5 ; XL ; Np-239 ;  ; 
31.1310 ; 0.0012 ; 0.072 ; 0.004 ; g ; Np-239 ; 1 ; 0
43.06 ; 0.02 ; 0.013 ; 0.002 ; g ; Np-239 ; 4 ; 3
43.533 ; 0.001 ; 4.35 ; 0.28 ; g ; Np-239 ; 3 ; 1
46.6 ;  ; 0.009 ; 0.004 ; g ; Np-239 ; -1 ; 1
55.37 ; 0.05 ; 0.0000836 ; 0.0000020 ; g ; Np-239 ; 6 ; 4
71.210 ; 0.002 ; 0.00193 ; 0.00004 ; g ; Np-239 ; 2 ; 0
74.664 ; 0.001 ; 51.6 ; 1.3 ; g ; Np-239 ; 3 ; 0
86.72 ; 0.07 ; 0.055 ; 0.005 ; g ; Np-239 ; 4 ; 1
97.069 ;  ; 0.091 ; 0.003 ; XKa2 ; Np-239 ;  ; 
101.059 ;  ; 0.144 ; 0.005 ; XKa1 ; Np-239 ;  ; 
111.0 ; 0.2 ; 0.0202 ; 0.0005 ; g ; Np-239 ; 15 ; 11
114.1497 ;  ; 0.052 ; 0.002 ; XK'b1 ; Np-239 ;  ; 
117.727 ; 0.020 ; 0.113 ; 0.009 ; g ; Np-239 ; 4 ; 0
117.9227 ;  ; 0.018 ; 0.001 ; XK'b2 ; Np-239 ;  ; 
134.71 ; 0.13 ; 0.0019 ; 0.0003 ; g ; Np-239 ; -1 ; 2
142.5 ; 0.1 ; 0.0045 ; 0.0006 ; g ; Np-239 ; -1 ; 3
170.15 ; 0.05 ; 0.031 ; 0.001 ; g ; Np-239 ; 7 ; 2
174.07 ; 0.06 ; 0.0097 ; 0.0003 ; g ; Np-239 ; -1 ; 4
186.15 ; 0.04 ; 0.0288 ; 0.0007 ; g ; Np-239 ; 8 ; 3
187.28 ; 0.08 ; 0.0056 ; 0.0003 ; g ; Np-239 ; 10 ; 8
197.28 ; 0.12 ; 0.0024 ; 0.0003 ; g ; Np-239 ; 9 ; 7
201.18 ; 0.06 ; 0.0005 ; 0.0002 ; g ; Np-239 ; 24 ; 17
220.52 ; 0.04 ; 0.0282 ; 0.0007 ; g ; Np-239 ; -1 ; 5
236.28 ; 0.14 ; 0.00092 ; 0.00018 ; g ; Np-239 ; -1 ; 6
239.86 ; 0.05 ; 0.00087 ; 0.00023 ; g ; Np-239 ; 21 ; 16
255.37 ; 0.05 ; 0.0011 ; 0.0002 ; g ; Np-239 ; 21 ; 15
258.44 ; 0.06 ; 0.00073 ; 0.00018 ; g ; Np-239 ; 30 ; 19
260.80 ; 0.02 ; 0.0031 ; 0.0002 ; g ; Np-239 ; 8 ; 0
262.89 ; 0.19 ; 0.0008 ; 0.0003 ; g ; Np-239 ; -1 ; 7
265.44 ; 0.17 ; 0.0009 ; 0.0003 ; g ; Np-239 ; -1 ; 8
296.93 ; 0.13 ; 0.0014 ; 0.0002 ; g ; Np-239 ; 28 ; 18
301.95 ; 0.03 ; 0.0011 ; 0.0003 ; g ; Np-239 ; 26 ; 17
312.05 ; 0.03 ; 0.0006 ;  ; g ; Np-239 ; 32 ; 20
326.21 ; 0.07 ; 0.0044 ; 0.0002 ; g ; Np-239 ; 22 ; 13
330.14 ; 0.14 ; 0.00069 ; 0.00013 ; g ; Np-239 ; -1 ; 9
332.06 ; 0.14 ; 0.0012 ; 0.0002 ; g ; Np-239 ; -1 ; 10
345.13 ; 0.08 ; 0.0039 ; 0.0002 ; g ; Np-239 ; 30 ; 18
348.23 ; 0.18 ; 0.0007 ; 0.0003 ; g ; Np-239 ; -1 ; 11
351.33 ; 0.15 ; 0.0007 ; 0.0002 ; g ; Np-239 ; -1 ; 12
361.83 ; 0.08 ; 0.0044 ; 0.0003 ; g ; Np-239 ; -1 ; 13
373.51 ; 0.04 ; 0.025 ; 0.006 ; g ; Np-239 ; 10 ; 3
378.06 ; 0.06 ; 0.0101 ; 0.0004 ; g ; Np-239 ; 11 ; 3
381.27 ; 0.16 ; 0.0006 ; 0.0002 ; g ; Np-239 ; 11 ; 2
393.01 ; 0.18 ; 0.0006 ; 0.0002 ; g ; Np-239 ; -1 ; 14
395.19 ; 0.11 ; 0.0021 ; 0.0002 ; g ; Np-239 ; 25 ; 15
399.13 ; 0.13 ; 0.0016 ; 0.0003 ; g ; Np-239 ; 12 ; 3
400.55 ; 0.15 ; 0.0009 ; 0.0002 ; g ; Np-239 ; -1 ; 15
404.84 ; 0.18 ; 0.0009 ; 0.0003 ; g ; Np-239 ; -1 ; 16
