Nuclide ; W-188 
Element ; Tungsten
Z ; 74
Daughter(s) ; (B-) ; Re-188 ; 100
Q- ; 349
Half-life (d) ; 69.78 ; 0.05
Half-life (s) ; 6.0290E6 ; 0.0043E6
Decay constant (1/s) ; 114.97E-9 ; 0.08E-9
Specific activity (Bq/g) ; 368.28E12 ; 0.26E12
Reference ; NDS 59 & 95 - 2000
Emissions (69 lines) sorted by nuclide and by increasing energy
------------------------------------------------------ W-188 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
9.843 ;  ; 0.151 ; 0.023 ; XL ; Re ;  ;  ; W-188
59.7186 ;  ; 0.050 ; 0.009 ; XKa2 ; Re ;  ;  ; W-188
61.141 ;  ; 0.087 ; 0.015 ; XKa1 ; Re ;  ;  ; W-188
63.58 ; 0.03 ; 0.109 ; 0.017 ; g ; Re-188 ; -1 ; 0 ; W-188
69.3527 ;  ; 0.029 ; 0.005 ; XK'b1 ; Re ;  ;  ; W-188
71.3993 ;  ; 0.008 ; 0.002 ; XK'b2 ; Re ;  ;  ; W-188
85.31 ; 0.06 ; 0.0024 ; 0.0009 ; g ; Re-188 ; -1 ; 1 ; W-188
105.85 ; 0.07 ; 0.0006 ; 0.0006 ; g ; Re-188 ; -1 ; 2 ; W-188
141.78 ; 0.03 ; 0.0064 ; 0.0009 ; g ; Re-188 ; -1 ; 3 ; W-188
207.86 ; 0.04 ; 0.0080 ; 0.0017 ; g ; Re-188 ; -1 ; 4 ; W-188
227.09 ; 0.02 ; 0.221 ; 0.013 ; g ; Re-188 ; -1 ; 5 ; W-188
290.669 ; 0.013 ; 0.402 ; 0.021 ; g ; Re-188 ; -1 ; 6 ; W-188
----------------------------------------------------- Re-188 -----------------------------------------------------
10.37 ;  ; 3.00 ; 0.15 ; XL ; Os ;  ;  ; Re-188
61.4873 ;  ; 1.36 ; 0.09 ; XKa2 ; Os ;  ;  ; Re-188
63.0011 ;  ; 2.35 ; 0.16 ; XKa1 ; Os ;  ;  ; Re-188
71.449 ;  ; 0.79 ; 0.05 ; XK'b1 ; Os ;  ;  ; Re-188
73.5843 ;  ; 0.22 ; 0.02 ; XK'b2 ; Os ;  ;  ; Re-188
155 ;  ; 0.0059 ; 0.0006 ; g ; Os-188 ; 3 ; 2 ; Re-188
155.041 ; 0.004 ; 15.2 ; 0.6 ; g ; Os-188 ; 1 ; 0 ; Re-188
