Nuclide ; Xe-123 
Element ; Xenon
Z ; 54
Daughter(s) ; (B+, EC) ; I-123 ; 100
Q+ ; 2695
Half-life (h) ; 2.08 ; 0.02
Half-life (s) ; 7.49E3 ; 0.07E3
Decay constant (1/s) ; 92.6E-6 ; 0.9E-6
Specific activity (Bq/g) ; 453.2E15 ; 4.4E15
Reference ; NDS 70 - 1999
Emissions (114 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.33 ;  ; 8.4 ; 0.5 ; XL ; I ;  ;  ; 
28.3175 ;  ; 20.8 ; 0.4 ; XKa2 ; I ;  ;  ; 
28.6123 ;  ; 38.6 ; 0.7 ; XKa1 ; I ;  ;  ; 
32.3596 ;  ; 11.3 ; 0.3 ; XK'b1 ; I ;  ;  ; 
33.1093 ;  ; 2.55 ; 0.06 ; XK'b2 ; I ;  ;  ; 
39.9 ; 0.3 ; 0.0029 ; 0.0010 ; g ; I-123 ; -1 ; 0 ; 
138.1 ; 0.2 ; 0.245 ; 0.025 ; g ; I-123 ; -1 ; 1 ; 
148.9 ; 0.2 ; 48.9 ; 0.6 ; g ; I-123 ; -1 ; 2 ; 
178.1 ; 0.2 ; 14.9 ; 0.8 ; g ; I-123 ; -1 ; 3 ; 
192.3 ; 0.3 ; 0.083 ; 0.015 ; g ; I-123 ; -1 ; 4 ; 
330.2 ; 0.2 ; 8.6 ; 0.5 ; g ; I-123 ; -1 ; 5 ; 
474.2 ; 0.2 ; 0.103 ; 0.015 ; g ; I-123 ; -1 ; 6 ; 
511 ;  ; 45.1 ; 1.6 ; g511 ; I-123 ; -1 ; 7 ; 
671.7 ; 0.2 ; 0.049 ; 0.010 ; g ; I-123 ; -1 ; 8 ; 
680.5 ; 0.2 ; 0.200 ; 0.015 ; g ; I-123 ; -1 ; 9 ; 
691.5 ; 0.3 ; 0.112 ; 0.015 ; g ; I-123 ; -1 ; 10 ; 
718.5 ; 0.2 ; 0.17 ; 0.02 ; g ; I-123 ; -1 ; 11 ; 
728.3 ; 0.2 ; 0.12 ; 0.01 ; g ; I-123 ; -1 ; 12 ; 
752.4 ; 0.2 ; 0.06 ; 0.01 ; g ; I-123 ; -1 ; 13 ; 
782.9 ; 0.2 ; 0.45 ; 0.05 ; g ; I-123 ; -1 ; 14 ; 
802.7 ; 0.3 ; 0.020 ; 0.005 ; g ; I-123 ; -1 ; 15 ; 
816.34 ; 0.08 ; 0.07 ; 0.01 ; g ; I-123 ; -1 ; 16 ; 
820.1 ; 0.3 ; 0.06 ; 0.01 ; g ; I-123 ; -1 ; 17 ; 
823.5 ; 0.3 ; 0.015 ; 0.005 ; g ; I-123 ; -1 ; 18 ; 
833.3 ; 0.3 ; 0.040 ; 0.005 ; g ; I-123 ; -1 ; 19 ; 
842.7 ; 0.3 ; 0.040 ; 0.005 ; g ; I-123 ; -1 ; 20 ; 
853.5 ; 0.3 ; 0.029 ; 0.005 ; g ; I-123 ; -1 ; 21 ; 
859.7 ; 0.3 ; 0.044 ; 0.005 ; g ; I-123 ; -1 ; 22 ; 
862.2 ; 0.3 ; 0.034 ; 0.005 ; g ; I-123 ; -1 ; 23 ; 
870.7 ; 0.3 ; 0.28 ; 0.03 ; g ; I-123 ; -1 ; 24 ; 
899.6 ; 0.4 ; 2.45 ; 0.25 ; g ; I-123 ; -1 ; 25 ; 
909.0 ; 0.4 ; 0.09 ; 0.01 ; g ; I-123 ; -1 ; 26 ; 
912.0 ; 0.4 ; 0.083 ; 0.010 ; g ; I-123 ; -1 ; 27 ; 
934.9 ; 0.3 ; 0.314 ; 0.030 ; g ; I-123 ; -1 ; 28 ; 
943.5 ; 0.3 ; 0.049 ; 0.010 ; g ; I-123 ; -1 ; 29 ; 
949.5 ; 0.3 ; 0.029 ; 0.005 ; g ; I-123 ; -1 ; 30 ; 
964.0 ; 0.3 ; 0.54 ; 0.05 ; g ; I-123 ; -1 ; 31 ; 
979.4 ; 0.3 ; 0.28 ; 0.03 ; g ; I-123 ; -1 ; 32 ; 
1004.2 ; 0.3 ; 0.074 ; 0.010 ; g ; I-123 ; -1 ; 33 ; 
