Nuclide ; Xe-137 
Element ; Xenon
Z ; 54
Daughter(s) ; (B-) ; Cs-137 ; 100
Q- ; 4162.43
Possible parent(s) ; (B-) ; I-137 ; 100
Half-life (min) ; 3.818 ; 0.013
Half-life (s) ; 229.1 ; 0.8
Decay constant (1/s) ; 3.026E-3 ; 0.010E-3
Specific activity (Bq/g) ; 13.301E18 ; 0.045E18
Reference ; NDS 59 - 1999
Emissions (92 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Xe-137 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
4.674 ;  ; 0.042 ; 0.013 ; XL ; Cs ;  ;  ; Xe-137
30.6254 ;  ; 0.094 ; 0.025 ; XKa2 ; Cs ;  ;  ; Xe-137
30.9731 ;  ; 0.174 ; 0.025 ; XKa1 ; Cs ;  ;  ; Xe-137
35.053 ;  ; 0.051 ; 0.008 ; XK'b1 ; Cs ;  ;  ; Xe-137
35.9003 ;  ; 0.012 ; 0.002 ; XK'b2 ; Cs ;  ;  ; Xe-137
298.00 ; 0.07 ; 0.119 ; 0.010 ; g ; Cs-137 ; -1 ; 0 ; Xe-137
393.35 ; 0.06 ; 0.14 ; 0.10 ; g ; Cs-137 ; -1 ; 1 ; Xe-137
455.490 ; 0.003 ; 31.2 ; 0.5 ; g ; Cs-137 ; -1 ; 2 ; Xe-137
482.14 ; 0.12 ; 0.015 ; 0.004 ; g ; Cs-137 ; -1 ; 3 ; Xe-137
594.70 ; 0.06 ; 0.084 ; 0.010 ; g ; Cs-137 ; -1 ; 4 ; Xe-137
633.4 ; 0.5 ; 0.0025 ; 0.0013 ; g ; Cs-137 ; -1 ; 5 ; Xe-137
683.2 ; 0.1 ; 0.0203 ; 0.0022 ; g ; Cs-137 ; -1 ; 6 ; Xe-137
715.2 ; 0.2 ; 0.0066 ; 0.0016 ; g ; Cs-137 ; -1 ; 7 ; Xe-137
750.65 ; 0.10 ; 0.0209 ; 0.0022 ; g ; Cs-137 ; -1 ; 8 ; Xe-137
802.4 ; 0.4 ; 0.0041 ; 0.0013 ; g ; Cs-137 ; -1 ; 9 ; Xe-137
848.95 ; 0.06 ; 0.62 ; 0.04 ; g ; Cs-137 ; -1 ; 10 ; Xe-137
933.82 ; 0.06 ; 0.084 ; 0.007 ; g ; Cs-137 ; -1 ; 11 ; Xe-137
982.25 ; 0.05 ; 0.209 ; 0.013 ; g ; Cs-137 ; -1 ; 12 ; Xe-137
1009.9 ; 0.2 ; 0.0041 ; 0.0010 ; g ; Cs-137 ; -1 ; 13 ; Xe-137
1066.6 ; 0.2 ; 0.054 ; 0.010 ; g ; Cs-137 ; -1 ; 14 ; Xe-137
1067.4 ; 0.2 ; 0.049 ; 0.010 ; g ; Cs-137 ; -1 ; 15 ; Xe-137
1102.42 ; 0.10 ; 0.0165 ; 0.0016 ; g ; Cs-137 ; -1 ; 16 ; Xe-137
1108.63 ; 0.06 ; 0.051 ; 0.005 ; g ; Cs-137 ; -1 ; 17 ; Xe-137
1114.32 ; 0.06 ; 0.092 ; 0.007 ; g ; Cs-137 ; -1 ; 18 ; Xe-137
1119.33 ; 0.06 ; 0.107 ; 0.007 ; g ; Cs-137 ; -1 ; 19 ; Xe-137
1184.70 ; 0.06 ; 0.084 ; 0.010 ; g ; Cs-137 ; -1 ; 20 ; Xe-137
1195.75 ; 0.06 ; 0.048 ; 0.004 ; g ; Cs-137 ; -1 ; 21 ; Xe-137
1219.0 ; 0.4 ; 0.0028 ; 0.0007 ; g ; Cs-137 ; -1 ; 22 ; Xe-137
1232.1 ; 0.7 ; 0.0016 ; 0.0007 ; g ; Cs-137 ; -1 ; 23 ; Xe-137
1236.2 ; 0.4 ; 0.0034 ; 0.0007 ; g ; Cs-137 ; -1 ; 24 ; Xe-137
1250.6 ; 0.4 ; 0.0066 ; 0.0010 ; g ; Cs-137 ; -1 ; 25 ; Xe-137
1273.23 ; 0.10 ; 0.228 ; 0.023 ; g ; Cs-137 ; -1 ; 26 ; Xe-137
1280.05 ; 0.15 ; 0.0094 ; 0.0010 ; g ; Cs-137 ; -1 ; 27 ; Xe-137
1327.98 ; 0.06 ; 0.029 ; 0.003 ; g ; Cs-137 ; -1 ; 28 ; Xe-137
1461.16 ; 0.20 ; 0.0172 ; 0.0022 ; g ; Cs-137 ; -1 ; 29 ; Xe-137
1518.8 ; 0.5 ; 0.0019 ; 0.0007 ; g ; Cs-137 ; -1 ; 30 ; Xe-137
1564.0 ; 0.2 ; 0.0100 ; 0.0013 ; g ; Cs-137 ; -1 ; 31 ; Xe-137
1569.77 ; 0.07 ; 0.085 ; 0.007 ; g ; Cs-137 ; -1 ; 32 ; Xe-137
1574.83 ; 0.15 ; 0.072 ; 0.010 ; g ; Cs-137 ; -1 ; 33 ; Xe-137
1576.75 ; 0.10 ; 0.103 ; 0.010 ; g ; Cs-137 ; -1 ; 34 ; Xe-137
1594.0 ; 0.6 ; 0.0031 ; 0.0007 ; g ; Cs-137 ; -1 ; 35 ; Xe-137
1612.52 ; 0.06 ; 0.125 ; 0.010 ; g ; Cs-137 ; -1 ; 36 ; Xe-137
1651.14 ; 0.20 ; 0.0044 ; 0.0007 ; g ; Cs-137 ; -1 ; 37 ; Xe-137
1665.30 ; 0.07 ; 0.053 ; 0.004 ; g ; Cs-137 ; -1 ; 38 ; Xe-137
1720.9 ; 0.6 ; 0.0011 ; 0.0005 ; g ; Cs-137 ; -1 ; 39 ; Xe-137
