Nuclide ; Xe-138 
Element ; Xenon
Z ; 54
Daughter(s) ; (B-) ; Cs-138 ; 100
Q- ; 2915
Possible parent(s) ; (B-) ; I-138 ; 100
Half-life (min) ; 14.08 ; 0.08
Half-life (s) ; 844.8 ; 4.8
Decay constant (1/s) ; 820.5E-6 ; 4.7E-6
Specific activity (Bq/g) ; 3.580E18 ; 0.020E18
Reference ; NDS 69 - 1999
Emissions (102 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
4.674 ;  ; 5.9 ; 1.7 ; XL ; Cs ;  ;  ; 
4.85 ; 0.05 ; 0.19 ; 0.03 ; g ; Cs-138 ; -1 ; 0 ; 
10.85 ; 0.05 ; 0.70 ; 0.05 ; g ; Cs-138 ; -1 ; 1 ; 
30.6254 ;  ; 0.63 ; 0.03 ; XKa2 ; Cs ;  ;  ; 
30.9731 ;  ; 1.16 ; 0.05 ; XKa1 ; Cs ;  ;  ; 
35.053 ;  ; 0.34 ; 0.02 ; XK'b1 ; Cs ;  ;  ; 
35.9003 ;  ; 0.084 ; 0.004 ; XK'b2 ; Cs ;  ;  ; 
68.3 ; 0.2 ; 0.047 ; 0.016 ; g ; Cs-138 ; -1 ; 2 ; 
137.2 ; 0.2 ; 0.07 ; 0.04 ; g ; Cs-138 ; -1 ; 3 ; 
153.858 ; 0.003 ; 5.95 ; 0.25 ; g ; Cs-138 ; -1 ; 4 ; 
242.56 ; 0.05 ; 3.50 ; 0.14 ; g ; Cs-138 ; -1 ; 5 ; 
258.411 ; 0.020 ; 31.5 ; 1.3 ; g ; Cs-138 ; -1 ; 6 ; 
282.51 ; 0.06 ; 0.428 ; 0.020 ; g ; Cs-138 ; -1 ; 7 ; 
325.3 ; 0.3 ; 0.023 ; 0.008 ; g ; Cs-138 ; -1 ; 8 ; 
329.4 ; 0.5 ; 0.015 ; 0.008 ; g ; Cs-138 ; -1 ; 9 ; 
335.28 ; 0.09 ; 0.107 ; 0.011 ; g ; Cs-138 ; -1 ; 10 ; 
371.44 ; 0.05 ; 0.50 ; 0.03 ; g ; Cs-138 ; -1 ; 11 ; 
396.513 ; 0.010 ; 6.3 ; 0.3 ; g ; Cs-138 ; -1 ; 12 ; 
401.36 ; 0.05 ; 2.17 ; 0.13 ; g ; Cs-138 ; -1 ; 13 ; 
434.56 ; 0.05 ; 20.3 ; 0.9 ; g ; Cs-138 ; -1 ; 14 ; 
500.22 ; 0.06 ; 0.362 ; 0.018 ; g ; Cs-138 ; -1 ; 15 ; 
530.07 ; 0.07 ; 0.252 ; 0.016 ; g ; Cs-138 ; -1 ; 16 ; 
534.0 ; 0.6 ; 0.015 ; 0.006 ; g ; Cs-138 ; -1 ; 17 ; 
537.76 ; 0.13 ; 0.117 ; 0.017 ; g ; Cs-138 ; -1 ; 18 ; 
540.8 ; 0.6 ; 0.022 ; 0.013 ; g ; Cs-138 ; -1 ; 19 ; 
555.95 ; 0.09 ; 0.117 ; 0.014 ; g ; Cs-138 ; -1 ; 20 ; 
568.53 ; 0.06 ; 0.306 ; 0.019 ; g ; Cs-138 ; -1 ; 21 ; 
579.68 ; 0.14 ; 0.076 ; 0.013 ; g ; Cs-138 ; -1 ; 22 ; 
586.0 ; 0.4 ; 0.019 ; 0.007 ; g ; Cs-138 ; -1 ; 23 ; 
588.84 ; 0.08 ; 0.123 ; 0.011 ; g ; Cs-138 ; -1 ; 24 ; 
619.7 ; 0.5 ; 0.022 ; 0.013 ; g ; Cs-138 ; -1 ; 25 ; 
647.2 ; 0.5 ; 0.016 ; 0.010 ; g ; Cs-138 ; -1 ; 26 ; 
654.08 ; 0.08 ; 0.145 ; 0.014 ; g ; Cs-138 ; -1 ; 27 ; 
675.37 ; 0.15 ; 0.072 ; 0.013 ; g ; Cs-138 ; -1 ; 28 ; 
680.24 ; 0.19 ; 0.054 ; 0.013 ; g ; Cs-138 ; -1 ; 29 ; 
691.5 ; 0.4 ; 0.032 ; 0.013 ; g ; Cs-138 ; -1 ; 30 ; 
693.53 ; 0.16 ; 0.088 ; 0.013 ; g ; Cs-138 ; -1 ; 31 ; 
697.6 ; 0.4 ; 0.022 ; 0.010 ; g ; Cs-138 ; -1 ; 32 ; 
703.58 ; 0.17 ; 0.057 ; 0.010 ; g ; Cs-138 ; -1 ; 33 ; 
733.9 ; 0.4 ; 0.032 ; 0.010 ; g ; Cs-138 ; -1 ; 34 ; 
755.0 ; 0.6 ; 0.025 ; 0.013 ; g ; Cs-138 ; -1 ; 35 ; 
774.21 ; 0.15 ; 0.066 ; 0.010 ; g ; Cs-138 ; -1 ; 36 ; 
778.10 ; 0.19 ; 0.044 ; 0.010 ; g ; Cs-138 ; -1 ; 37 ; 
792.9 ; 0.4 ; 0.022 ; 0.010 ; g ; Cs-138 ; -1 ; 38 ; 
799.6 ; 0.6 ; 0.016 ; 0.010 ; g ; Cs-138 ; -1 ; 39 ; 
