Nuclide ; Xe-140 
Element ; Xenon
Z ; 54
Daughter(s) ; (B-) ; Cs-140 ; 100
Q- ; 4064
Half-life (s) ; 13.6 ; 0.1
Decay constant (1/s) ; 50.97E-3 ; 0.37E-3
Specific activity (Bq/g) ; 219.2E18 ; 1.6E18
Reference ; NDS 73 - 1999
Emissions (426 lines) sorted by nuclide and by increasing energy
----------------------------------------------------- Xe-140 -----------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Parent
4.674 ;  ; 6.2 ; 1.8 ; XL ; Cs ;  ;  ; Xe-140
9.4 ;  ; 0.07 ; 0.07 ; g ; Cs-140 ; -1 ; 0 ; Xe-140
13.93 ; 0.05 ; 0.88 ; 0.12 ; g ; Cs-140 ; -1 ; 1 ; Xe-140
30.6254 ;  ; 6.2 ; 0.4 ; XKa2 ; Cs ;  ;  ; Xe-140
30.9731 ;  ; 11.6 ; 0.8 ; XKa1 ; Cs ;  ;  ; Xe-140
35.053 ;  ; 3.45 ; 0.24 ; XK'b1 ; Cs ;  ;  ; Xe-140
35.9003 ;  ; 0.84 ; 0.06 ; XK'b2 ; Cs ;  ;  ; Xe-140
38.33 ; 0.03 ; 0.20 ; 0.05 ; g ; Cs-140 ;  ;  ; Xe-140
45.89 ; 0.10 ; 0.016 ; 0.007 ; g ; Cs-140 ; -1 ; 4 ; Xe-140
47.75 ; 0.03 ; 0.048 ; 0.010 ; g ; Cs-140 ; -1 ; 5 ; Xe-140
50.82 ; 0.03 ; 1.66 ; 0.20 ; g ; Cs-140 ; -1 ; 6 ; Xe-140
80.109 ; 0.003 ; 4.4 ; 0.6 ; g ; Cs-140 ; -1 ; 7 ; Xe-140
84.5 ; 0.2 ; 0.022 ; 0.005 ; g ; Cs-140 ; -1 ; 8 ; Xe-140
89.17 ; 0.03 ; 0.38 ; 0.05 ; g ; Cs-140 ; -1 ; 9 ; Xe-140
93.64 ; 0.05 ; 0.100 ; 0.016 ; g ; Cs-140 ; -1 ; 10 ; Xe-140
99.56 ; 0.10 ; 0.034 ; 0.011 ; g ; Cs-140 ; -1 ; 11 ; Xe-140
103.080 ; 0.004 ; 0.96 ; 0.19 ; g ; Cs-140 ; -1 ; 12 ; Xe-140
104.398 ; 0.004 ; 1.28 ; 0.21 ; g ; Cs-140 ; -1 ; 13 ; Xe-140
108.95 ; 0.05 ; 0.050 ; 0.025 ; g ; Cs-140 ; -1 ; 14 ; Xe-140
112.606 ; 0.004 ; 3.7 ; 0.7 ; g ; Cs-140 ; -1 ; 15 ; Xe-140
118.310 ; 0.003 ; 4.5 ; 0.7 ; g ; Cs-140 ; -1 ; 16 ; Xe-140
119.69 ; 0.10 ; 0.12 ; 0.05 ; g ; Cs-140 ; -1 ; 17 ; Xe-140
121.51 ; 0.20 ; 0.040 ; 0.021 ; g ; Cs-140 ; -1 ; 18 ; Xe-140
128.7 ; 0.3 ; 0.038 ; 0.009 ; g ; Cs-140 ; -1 ; 19 ; Xe-140
133.0 ; 0.3 ; 0.062 ; 0.012 ; g ; Cs-140 ; -1 ; 20 ; Xe-140
138.2 ; 0.3 ; 0.032 ; 0.009 ; g ; Cs-140 ; -1 ; 21 ; Xe-140
147.3 ; 0.3 ; 0.028 ; 0.009 ; g ; Cs-140 ; -1 ; 22 ; Xe-140
158.7 ; 0.2 ; 0.108 ; 0.018 ; g ; Cs-140 ; -1 ; 23 ; Xe-140
167.092 ; 0.010 ; 1.24 ; 0.18 ; g ; Cs-140 ; -1 ; 24 ; Xe-140
176.4 ; 0.2 ; 0.116 ; 0.019 ; g ; Cs-140 ; -1 ; 25 ; Xe-140
182.4 ; 0.2 ; 0.24 ; 0.04 ; g ; Cs-140 ; -1 ; 26 ; Xe-140
196.2 ; 0.2 ; 0.22 ; 0.03 ; g ; Cs-140 ; -1 ; 27 ; Xe-140
198.1 ; 0.2 ; 0.56 ; 0.07 ; g ; Cs-140 ; -1 ; 28 ; Xe-140
202.8 ; 0.2 ; 0.096 ; 0.016 ; g ; Cs-140 ; -1 ; 29 ; Xe-140
211.887 ; 0.020 ; 2.3 ; 0.4 ; g ; Cs-140 ; -1 ; 30 ; Xe-140
214.8 ; 0.2 ; 0.31 ; 0.06 ; g ; Cs-140 ; -1 ; 31 ; Xe-140
