Nuclide ; Y-88 
Element ; Yttrium
Z ; 39
Daughter(s) ; (B+, EC) ; Sr-88 ; 100
Q+ ; 3622.6
Possible parent(s) ; (B+, EC) ; Zr-88 ; 100
Half-life (d) ; 106.63 ; 0.05
Half-life (s) ; 9.2128E6 ; 0.0043E6
Decay constant (1/s) ; 75.237E-9 ; 0.035E-9
Specific activity (Bq/g) ; 514.87E12 ; 0.24E12
Reference ; KRI - 2015
Emissions (13 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
1.8902 ;  ; 2.76 ; 0.05 ; XL ; Sr-88 ;  ; 
14.098 ;  ; 17.55 ; 0.16 ; XKa2 ; Sr-88 ;  ; 
14.1652 ;  ; 33.71 ; 0.26 ; XKa1 ; Sr-88 ;  ; 
15.8767 ;  ; 8.32 ; 0.10 ; XK'b1 ; Sr-88 ;  ; 
16.0943 ;  ; 1.08 ; 0.04 ; XK'b2 ; Sr-88 ;  ; 
484.352 ; 0.023 ; 0.0009 ; 0.0009 ; g ; Sr-88 ; 3 ; 2
511 ;  ; 0.46 ; 0.03 ; g511 ; Sr-88 ; -1 ; -1
850.643 ; 0.021 ; 0.048 ; 0.018 ; g ; Sr-88 ; 4 ; 2
898.042 ; 0.011 ; 93.7 ; 0.3 ; g ; Sr-88 ; 2 ; 1
1382.387 ; 0.023 ; 0.016 ; 0.003 ; g ; Sr-88 ; 3 ; 1
1836.070 ; 0.008 ; 99.346 ; 0.025 ; g ; Sr-88 ; 1 ; 0
2734.092 ; 0.008 ; 0.608 ; 0.025 ; g ; Sr-88 ; 2 ; 0
3218.426 ; 0.022 ; 0.0071 ; 0.0020 ; g ; Sr-88 ; 3 ; 0
==========================================================================================================
