Nuclide ; Zn-63 
Element ; Zinc
Z ; 30
Daughter(s) ; (B+, EC) ; Cu-63 ; 100
Q+ ; 3366.2
Half-life (min) ; 38.33 ; 0.10
Half-life (s) ; 2.300E3 ; 0.006E3
Decay constant (1/s) ; 301.4E-6 ; 0.8E-6
Specific activity (Bq/g) ; 2.881E18 ; 0.008E18
Reference ; Surrey Univ. - 2013
Emissions (71 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
0.9165 ;  ; 0.0958 ; 0.0016 ; XL ; Cu-63 ;  ; 
8.02792 ;  ; 0.865 ; 0.012 ; XKa2 ; Cu-63 ;  ; 
8.04787 ;  ; 1.686 ; 0.022 ; XKa1 ; Cu-63 ;  ; 
8.9293 ;  ; 0.355 ; 0.006 ; XK'b1 ; Cu-63 ;  ; 
244.40 ; 0.22 ; 0.0053 ; 0.0008 ; g ; Cu-63 ; 17 ; 14
364.74 ; 0.06 ; 0.0115 ; 0.0025 ; g ; Cu-63 ; 3 ; 2
443.70 ; 0.12 ; 0.013 ; 0.004 ; g ; Cu-63 ; 14 ; 10
450.14 ; 0.05 ; 0.229 ; 0.016 ; g ; Cu-63 ; 4 ; 2
475.91 ; 0.13 ; 0.006 ; 0.003 ; g ; Cu-63 ; 11 ; 6
511 ;  ; 185.6 ; 0.9 ; g511 ; Cu-63 ; -1 ; -1
515.45 ; 0.09 ; 0.021 ; 0.008 ; g ; Cu-63 ; 8 ; 5
534.32 ; 0.23 ; 0.005 ; 0.002 ; g ; Cu-63 ; 9 ; 5
584.98 ; 0.06 ; 0.033 ; 0.004 ; g ; Cu-63 ; 5 ; 2
624.13 ; 0.13 ; 0.011 ; 0.004 ; g ; Cu-63 ; 16 ; 10
669.93 ; 0.04 ; 8.19 ; 0.32 ; g ; Cu-63 ; 1 ; 0
675.20 ; 0.09 ; 0.015 ; 0.003 ; g ; Cu-63 ; 14 ; 6
683.74 ; 0.17 ; 0.004 ; 0.002 ; g ; Cu-63 ; 15 ; 7
742.23 ; 0.06 ; 0.067 ; 0.008 ; g ; Cu-63 ; 4 ; 1
754.56 ; 0.23 ; 0.016 ; 0.006 ; g ; Cu-63 ; 9 ; 3
765.37 ; 0.11 ; 0.007 ; 0.003 ; g ; Cu-63 ; 10 ; 3
877.06 ; 0.06 ; 0.003 ; 0.002 ; g ; Cu-63 ; 5 ; 1
898.60 ; 0.07 ; 0.009 ; 0.003 ; g ; Cu-63 ; 6 ; 2
924.37 ; 0.13 ; 0.0099 ; 0.0020 ; g ; Cu-63 ; 11 ; 4
962.01 ; 0.03 ; 6.50 ; 0.16 ; g ; Cu-63 ; 2 ; 0
988.82 ; 0.09 ; 0.0038 ; 0.0011 ; g ; Cu-63 ; 14 ; 5
1050.89 ; 0.11 ; 0.0044 ; 0.0011 ; g ; Cu-63 ; 7 ; 2
1123.66 ; 0.08 ; 0.112 ; 0.011 ; g ; Cu-63 ; 14 ; 4
1130.1 ; 0.1 ; 0.013 ; 0.002 ; g ; Cu-63 ; 10 ; 2
1149.65 ; 0.14 ; 0.019 ; 0.002 ; g ; Cu-63 ; 15 ; 5
